"","FY","VendorSize","Place","Area","CrisisFunding","Amount","Actions"
"42",2000,"Small","Regional Support","Services","Residual",0.000840158895500218,10
"43",2000,"Small","Rest of World","Products","Residual",0.043216229758817,426
"44",2000,"Small","Rest of World","Services","Residual",0.056984469775943,353
"45",2000,"Small","Rest of World","R&D","Residual",0.000116524968582545,1
"46",2001,"Big Five","Domestic","Products","Disaster",-0.010943282301172,32
"47",2001,"Big Five","Domestic","Products","Residual",40.6675928158463,13209
"48",2001,"Big Five","Domestic","Services","Disaster",0.283713346009295,545
"49",2001,"Big Five","Domestic","Services","Residual",12.8137200791915,13225
"50",2001,"Big Five","Domestic","R&D","Disaster",0.780786614876542,40
"51",2001,"Big Five","Domestic","R&D","Residual",16.8006328086904,3864
"52",2001,"Big Five","Regional Support","Products","Residual",0.000810656238384816,2
"53",2001,"Big Five","Regional Support","Services","Residual",0.0156300062244888,26
"54",2001,"Big Five","Rest of World","Products","Residual",0.0829978183911149,108
"55",2001,"Big Five","Rest of World","Services","Residual",0.425347485033732,699
"56",2001,"Big Five","Rest of World","R&D","Residual",0.0924488465780376,10
"57",2001,"Large","Domestic","Products","Disaster",0.0106186604148858,28
"58",2001,"Large","Domestic","Products","Residual",27.3008473623862,61663
"59",2001,"Large","Domestic","Services","Disaster",1.45568265699608,268
"60",2001,"Large","Domestic","Services","Residual",37.9938446914124,53311
"61",2001,"Large","Domestic","R&D","Disaster",0.0769041889445134,16
"62",2001,"Large","Domestic","R&D","Residual",20.9129032354334,6642
"63",2001,"Large","Regional Support","Products","Residual",0.214562773233374,15
"64",2001,"Large","Regional Support","Services","Residual",0.0265290334505137,29
"65",2001,"Large","Regional Support","R&D","Residual",0.000106559411441953,1
"66",2001,"Large","Rest of World","Products","Residual",1.1390702303277,1170
"67",2001,"Large","Rest of World","Services","Residual",2.04541858568805,2282
"68",2001,"Large","Rest of World","R&D","Residual",0.102415943392415,68
"69",2001,"Medium","Afghanistan","Products","Residual",4.72882805724476e-05,1
"70",2001,"Medium","Afghanistan","Services","Residual",6.35014053401439e-05,1
"71",2001,"Medium","Domestic","Products","Disaster",0.00131996723327484,13
"72",2001,"Medium","Domestic","Products","Residual",23.4534545209411,70445
"73",2001,"Medium","Domestic","Services","Disaster",0.443124057021019,700
"74",2001,"Medium","Domestic","Services","Residual",45.82497430055,114874
"75",2001,"Medium","Domestic","R&D","Residual",10.9376330721144,8832
"76",2001,"Medium","Regional Support","Products","Residual",0.0377305930181421,148
"77",2001,"Medium","Regional Support","Services","Residual",0.197899117056869,384
"78",2001,"Medium","Rest of World","Products","Residual",1.71756957516276,4566
"79",2001,"Medium","Rest of World","Services","Residual",4.80578995481254,12702
"80",2001,"Medium","Rest of World","R&D","Residual",0.150043759223748,279
"81",2001,"Small","Afghanistan","Products","Residual",6.48524990707853e-05,1
"82",2001,"Small","Domestic","Products","Disaster",0.000997235527117735,11
"83",2001,"Small","Domestic","Products","Residual",14.7387412973175,79559
"84",2001,"Small","Domestic","Services","Disaster",0.00991167765173424,74
"85",2001,"Small","Domestic","Services","Residual",32.8456945085786,169691
"86",2001,"Small","Domestic","R&D","Residual",4.07226731999399,11632
"87",2001,"Small","Regional Support","Products","Residual",0.00129975216887699,4
"88",2001,"Small","Regional Support","Services","Residual",0.000272920933589555,4
"89",2001,"Small","Rest of World","Products","Residual",0.103280499235213,817
"90",2001,"Small","Rest of World","Services","Residual",0.0883182892108005,465
"91",2001,"Small","Rest of World","R&D","Residual",0.000737697176930183,5
"92",2002,"Big Five","Afghanistan","Products","Residual",0.00109748508985966,4
"93",2002,"Big Five","Afghanistan","Services","Residual",0.00380132630880537,3
"94",2002,"Big Five","Domestic","Products","Disaster",0.0736223997074443,9
"95",2002,"Big Five","Domestic","Products","Residual",52.029319371151,16309
"96",2002,"Big Five","Domestic","Services","Disaster",0.629916104921682,734
"97",2002,"Big Five","Domestic","Services","Residual",17.5365572024458,16507
"98",2002,"Big Five","Domestic","R&D","Disaster",0.00454520014352254,7
"99",2002,"Big Five","Domestic","R&D","Residual",21.3879895572736,6264
"100",2002,"Big Five","Iraq","Products","Residual",0,1
"101",2002,"Big Five","Regional Support","Products","Residual",0.00592996181754117,20
"102",2002,"Big Five","Regional Support","Services","Residual",0.017280207706822,19
"103",2002,"Big Five","Regional Support","R&D","Residual",0.00215564755344841,2
"104",2002,"Big Five","Rest of World","Products","Residual",0.0904829797393331,152
"105",2002,"Big Five","Rest of World","Services","Residual",0.428164642677436,902
"106",2002,"Big Five","Rest of World","R&D","Residual",0.044909349724289,13
"107",2002,"Large","Afghanistan","Products","Residual",0.00114693208299998,2
"108",2002,"Large","Afghanistan","Services","Residual",0.000503928466321767,4
"109",2002,"Large","Domestic","Products","Disaster",0.00211868391263209,63
"110",2002,"Large","Domestic","Products","Residual",28.4365528605597,78490
"111",2002,"Large","Domestic","Services","Disaster",2.48652251870969,358
"112",2002,"Large","Domestic","Services","Residual",42.8249905138188,66456
"113",2002,"Large","Domestic","R&D","Disaster",0.000391258004986225,8
"114",2002,"Large","Domestic","R&D","Residual",22.6674525826157,8580
"115",2002,"Large","Regional Support","Products","Residual",0.808755583301595,39
"116",2002,"Large","Regional Support","Services","Residual",0.0686317340666976,43
"117",2002,"Large","Regional Support","R&D","Residual",0.000172580717847195,2
"118",2002,"Large","Rest of World","Products","Residual",1.87084536961383,1491
"119",2002,"Large","Rest of World","Services","Residual",2.55500534702501,2405
"120",2002,"Large","Rest of World","R&D","Residual",0.142773263409833,81
"121",2002,"Medium","Afghanistan","Products","Residual",0.000495719196939739,2
"122",2002,"Medium","Afghanistan","Services","Residual",0.181079846071827,14
"123",2002,"Medium","Domestic","Products","Disaster",0.0173840854651898,53
"124",2002,"Medium","Domestic","Products","Residual",19.9222339845783,85317
"125",2002,"Medium","Domestic","Services","Disaster",0.392885035130935,1236
"126",2002,"Medium","Domestic","Services","Residual",51.8782246556746,140161
"127",2002,"Medium","Domestic","R&D","Disaster",0.000157936401946179,1
"128",2002,"Medium","Domestic","R&D","Residual",11.930770427,10715
"129",2002,"Medium","Regional Support","Products","Residual",0.108975145839558,417
"130",2002,"Medium","Regional Support","Services","Residual",0.625540889158473,1395
"131",2002,"Medium","Regional Support","R&D","Residual",0.000201123777344982,32
"132",2002,"Medium","Rest of World","Products","Residual",3.08300526545688,5781
"133",2002,"Medium","Rest of World","Services","Residual",4.84512918990607,23329
"134",2002,"Medium","Rest of World","R&D","Residual",0.154360747482511,355
"135",2002,"Small","Afghanistan","Services","Residual",0.00725275194691289,8
"136",2002,"Small","Domestic","Products","Disaster",0.0234922669725691,266
"137",2002,"Small","Domestic","Products","Residual",18.0484689133931,111713
"138",2002,"Small","Domestic","Services","Disaster",0.11329735872984,917
"139",2002,"Small","Domestic","Services","Residual",42.0206109970862,213175
"140",2002,"Small","Domestic","R&D","Disaster",0.0103823920339238,57
"141",2002,"Small","Domestic","R&D","Residual",4.21963230224702,13606
"142",2002,"Small","Regional Support","Products","Residual",0.00144402204665012,12
"143",2002,"Small","Regional Support","Services","Residual",0.00234117145965752,18
"144",2002,"Small","Rest of World","Products","Residual",0.0616603563551473,936
"145",2002,"Small","Rest of World","Services","Residual",0.111121152296934,577
"146",2002,"Small","Rest of World","R&D","Residual",0.00285736266332557,5
"147",2003,"Big Five","Afghanistan","Products","Residual",0.00797603544144654,13
"148",2003,"Big Five","Afghanistan","Services","Residual",0.00637256000581312,29
"149",2003,"Big Five","Domestic","Products","Disaster",0.0136332952538533,21
"150",2003,"Big Five","Domestic","Products","Residual",53.6065463541665,20194
"151",2003,"Big Five","Domestic","Services","Disaster",0.745195271009909,835
"152",2003,"Big Five","Domestic","Services","Residual",22.110714260498,20574
"153",2003,"Big Five","Domestic","R&D","Disaster",0.0227368578682569,32
"154",2003,"Big Five","Domestic","R&D","Residual",25.0872937741485,7595
"155",2003,"Big Five","Iraq","Products","Residual",0.003911903351793,4
"156",2003,"Big Five","Iraq","Services","Residual",0.0821692944764953,5
"157",2003,"Big Five","Regional Support","Products","Residual",0.336107756010184,14
"158",2003,"Big Five","Regional Support","Services","Residual",0.0279991155210342,77
"159",2003,"Big Five","Rest of World","Products","Residual",0.284186155145459,273
"160",2003,"Big Five","Rest of World","Services","Residual",0.720037929171779,871
"161",2003,"Big Five","Rest of World","R&D","Residual",0.0049679400557484,21
"162",2003,"Large","Afghanistan","Products","Residual",0.000272724144890004,1
"163",2003,"Large","Afghanistan","Services","Residual",0.432285869474394,78
"164",2003,"Large","Domestic","Products","Disaster",0.0041091535588959,94
"165",2003,"Large","Domestic","Products","Residual",38.4410501988923,125395
"166",2003,"Large","Domestic","Services","Disaster",2.56337683715525,736
"167",2003,"Large","Domestic","Services","Residual",52.3642025974605,86288
"168",2003,"Large","Domestic","R&D","Disaster",0.00260794806197781,11
"169",2003,"Large","Domestic","R&D","Residual",28.7212742374589,9320
"170",2003,"Large","Iraq","Products","Residual",0.000135711947591303,1
"171",2003,"Large","Iraq","Services","Residual",4.97395308507766,114
"172",2003,"Large","Regional Support","Products","Residual",0.683371101322101,49
"173",2003,"Large","Regional Support","Services","Residual",0.895769344180673,228
"174",2003,"Large","Regional Support","R&D","Residual",0.0136601248596448,10
"175",2003,"Large","Rest of World","Products","Residual",2.38199561002921,1807
"176",2003,"Large","Rest of World","Services","Residual",2.77274524857104,3266
"177",2003,"Large","Rest of World","R&D","Residual",0.22776654169018,104
"178",2003,"Medium","Afghanistan","Products","Residual",0.00787087677698962,17
"179",2003,"Medium","Afghanistan","Services","Residual",0.291167748833737,144
"180",2003,"Medium","Domestic","Products","Disaster",0.0159446429156282,82
"181",2003,"Medium","Domestic","Products","Residual",26.2384435871743,133803
"182",2003,"Medium","Domestic","Services","Disaster",0.344356859400122,1327
"183",2003,"Medium","Domestic","Services","Residual",53.2355648234345,171645
"184",2003,"Medium","Domestic","R&D","Disaster",0.000925648542193891,6
"185",2003,"Medium","Domestic","R&D","Residual",19.1629580303829,10287
"186",2003,"Medium","Iraq","Products","Residual",0.0210630241890132,36
"187",2003,"Medium","Iraq","Services","Residual",0.122893126641711,46
"188",2003,"Medium","Iraq","R&D","Residual",0.00570311752574527,2
"189",2003,"Medium","Regional Support","Products","Residual",0.360929646670713,1513
"190",2003,"Medium","Regional Support","Services","Residual",1.26798397283142,2623
"191",2003,"Medium","Regional Support","R&D","Residual",0.00100114703738104,25
"192",2003,"Medium","Rest of World","Products","Residual",2.80583083357083,8377
"193",2003,"Medium","Rest of World","Services","Residual",6.19198318064046,26341
"194",2003,"Medium","Rest of World","R&D","Residual",0.228393577947786,397
"195",2003,"Small","Afghanistan","Services","Residual",0.0130466887616057,15
"196",2003,"Small","Domestic","Products","Disaster",0.0475562388372076,422
"197",2003,"Small","Domestic","Products","Residual",22.006501735708,219848
"198",2003,"Small","Domestic","Services","Disaster",0.150026792123444,1283
"199",2003,"Small","Domestic","Services","Residual",43.6873169451444,282203
"200",2003,"Small","Domestic","R&D","Disaster",0.027576463536384,91
"201",2003,"Small","Domestic","R&D","Residual",4.6998347602505,15267
"202",2003,"Small","Iraq","Products","Residual",0.000288868696674414,2
"203",2003,"Small","Iraq","Services","Residual",0.000324639781070003,2
"204",2003,"Small","Regional Support","Products","Residual",0.00243130533929318,21
"205",2003,"Small","Regional Support","Services","Residual",0.00329449541742113,24
"206",2003,"Small","Rest of World","Products","Residual",0.0750041164641676,1065
"207",2003,"Small","Rest of World","Services","Residual",0.136271308502933,717
"208",2003,"Small","Rest of World","R&D","Residual",0.0123343057288252,14
"209",2004,"Big Five","Afghanistan","Products","Residual",0.0027784005362893,20
"210",2004,"Big Five","Afghanistan","Services","Residual",0.108275867911366,26
"211",2004,"Big Five","Domestic","Products","Disaster",0.0013288460566893,11
"212",2004,"Big Five","Domestic","Products","Residual",58.982416857802,42081
"213",2004,"Big Five","Domestic","Services","Disaster",0.551546014210484,576
"214",2004,"Big Five","Domestic","Services","Residual",20.2536150621202,23071
"215",2004,"Big Five","Domestic","R&D","Disaster",0.872104028289495,101
"216",2004,"Big Five","Domestic","R&D","Residual",26.3118010942149,7342
"217",2004,"Big Five","Iraq","Products","Residual",0.0109453182653866,41
"218",2004,"Big Five","Iraq","Services","Residual",0.130119933581829,132
"219",2004,"Big Five","Regional Support","Products","Residual",0.395857773259103,37
"220",2004,"Big Five","Regional Support","Services","Residual",0.127880981895905,46
"221",2004,"Big Five","Regional Support","R&D","Residual",0.000748710858812749,1
"222",2004,"Big Five","Rest of World","Products","Residual",0.16521206383551,980
"223",2004,"Big Five","Rest of World","Services","Residual",0.527482522768659,1580
"224",2004,"Big Five","Rest of World","R&D","Residual",0.00559307318765181,29
"225",2004,"Large","Afghanistan","Products","Residual",0.0164283728006923,22
"226",2004,"Large","Afghanistan","Services","Residual",0.819349847234621,103
"227",2004,"Large","Domestic","Products","Disaster",0.00890577299430859,43
"228",2004,"Large","Domestic","Products","Residual",44.3986827633189,175002
"229",2004,"Large","Domestic","Services","Disaster",2.70856783271386,845
"230",2004,"Large","Domestic","Services","Residual",56.0573320583209,116634
"231",2004,"Large","Domestic","R&D","Disaster",0.0210166221984892,51
"232",2004,"Large","Domestic","R&D","Residual",18.799325890402,9571
"233",2004,"Large","Iraq","Products","Residual",0.0127406986166745,13
"234",2004,"Large","Iraq","Services","Residual",9.5965733839632,285
"235",2004,"Large","Regional Support","Products","Residual",0.653347742945058,96
"236",2004,"Large","Regional Support","Services","Residual",2.31960650609049,272
"237",2004,"Large","Regional Support","R&D","Residual",0.0375102093557509,25
"238",2004,"Large","Rest of World","Products","Residual",2.42591659888466,2334
"239",2004,"Large","Rest of World","Services","Residual",2.69362121096622,14984
"240",2004,"Large","Rest of World","R&D","Residual",0.206803135258414,81
"241",2004,"Medium","Afghanistan","Products","Residual",0.118121041403609,54
"242",2004,"Medium","Afghanistan","Services","Residual",0.466553000234274,263
"243",2004,"Medium","Domestic","Products","Disaster",0.00546905280076567,86
"244",2004,"Medium","Domestic","Products","Residual",23.1249999782873,289014
"245",2004,"Medium","Domestic","Services","Disaster",0.340464301021518,1444
"246",2004,"Medium","Domestic","Services","Residual",53.5542280673536,203659
"247",2004,"Medium","Domestic","R&D","Disaster",0.0181313538245054,51
"248",2004,"Medium","Domestic","R&D","Residual",11.9379275620449,13210
"249",2004,"Medium","Iraq","Products","Residual",0.502591159565472,104
"250",2004,"Medium","Iraq","Services","Residual",1.58123317723587,333
"251",2004,"Medium","Iraq","R&D","Residual",-0.000642347554083312,5
"252",2004,"Medium","Regional Support","Products","Residual",0.517838064107021,1862
"253",2004,"Medium","Regional Support","Services","Residual",1.35365527245312,2494
"254",2004,"Medium","Regional Support","R&D","Residual",0.000502113441683779,14
"255",2004,"Medium","Rest of World","Products","Residual",3.67576774531906,19252
"256",2004,"Medium","Rest of World","Services","Residual",6.37307549741559,33191
"257",2004,"Medium","Rest of World","R&D","Residual",0.251187784289838,397
"258",2004,"Small","Afghanistan","Products","Residual",0.000777763478687246,23
"259",2004,"Small","Afghanistan","Services","Residual",0.0164671834214784,21
"260",2004,"Small","Afghanistan","R&D","Residual",7.50046089337881e-05,3
"261",2004,"Small","Domestic","Products","Disaster",0.0487494329550406,539
"262",2004,"Small","Domestic","Products","Residual",24.0986385319314,624185
"263",2004,"Small","Domestic","Services","Disaster",0.180801571570725,1408
"264",2004,"Small","Domestic","Services","Residual",42.4814007147377,363253
"265",2004,"Small","Domestic","R&D","Disaster",0.0696979459488609,188
"266",2004,"Small","Domestic","R&D","Residual",5.22653285644599,18974
"267",2004,"Small","Iraq","Products","Residual",0.00150601164332071,19
"268",2004,"Small","Iraq","Services","Residual",0.483994916937877,52
"269",2004,"Small","Iraq","R&D","Residual",0.000344949718450609,8
"270",2004,"Small","Regional Support","Products","Residual",0.00423736022611331,37
"271",2004,"Small","Regional Support","Services","Residual",0.00609460396944507,33
"272",2004,"Small","Regional Support","R&D","Residual",9.63579396095838e-05,5
"273",2004,"Small","Rest of World","Products","Residual",0.110321097219028,1625
"274",2004,"Small","Rest of World","Services","Residual",0.306706496795412,1280
"275",2004,"Small","Rest of World","R&D","Residual",0.0101524450206708,48
"276",2005,"Big Five","Afghanistan","Products","Residual",0.0570466996234733,565
"277",2005,"Big Five","Afghanistan","Services","Residual",0.285865905642452,2180
"278",2005,"Big Five","Afghanistan","R&D","Residual",3.50417125981416e-05,1
"279",2005,"Big Five","Domestic","Products","Disaster",0.00724528132908777,167
"280",2005,"Big Five","Domestic","Products","Residual",53.548138285023,69675
"281",2005,"Big Five","Domestic","Services","Disaster",0.329671228113715,266
"282",2005,"Big Five","Domestic","Services","Residual",23.4781490691638,27212
"283",2005,"Big Five","Domestic","R&D","Disaster",0.803325076478124,58
"284",2005,"Big Five","Domestic","R&D","Residual",26.6646700918044,6533
"285",2005,"Big Five","Iraq","Products","Residual",6.74481850059529,15566
"286",2005,"Big Five","Iraq","Services","Residual",0.627097667353839,1022
"287",2005,"Big Five","Iraq","R&D","Residual",0.00329522126040677,24
"288",2005,"Big Five","Regional Support","Products","Residual",0.24874335977632,6644
"289",2005,"Big Five","Regional Support","Services","Residual",0.040439299103291,661
"290",2005,"Big Five","Regional Support","R&D","Residual",0.0829717834042062,3
"291",2005,"Big Five","Rest of World","Products","Residual",0.515823431539756,123450
"292",2005,"Big Five","Rest of World","Services","Residual",1.22107013393094,12830
"293",2005,"Big Five","Rest of World","R&D","Residual",0.447248208649621,115
"294",2005,"Large","Afghanistan","Products","Residual",0.00373761357865267,19
"295",2005,"Large","Afghanistan","Services","Residual",1.29843279363272,225
"296",2005,"Large","Afghanistan","R&D","Residual",0.0743022711009729,2
"297",2005,"Large","Domestic","Products","Disaster",0.209445924253324,255
"298",2005,"Large","Domestic","Products","Residual",49.9941329039009,571938
"299",2005,"Large","Domestic","Services","Disaster",3.27042074157283,1228
"300",2005,"Large","Domestic","Services","Residual",61.2026736903638,148253
"301",2005,"Large","Domestic","R&D","Disaster",0.0307688626936537,30
"302",2005,"Large","Domestic","R&D","Residual",19.7148900772619,12170
"303",2005,"Large","Iraq","Products","Residual",0.00266648762805171,19
"304",2005,"Large","Iraq","Services","Residual",7.83308084795685,393
"305",2005,"Large","Iraq","R&D","Residual",0.0545646362754665,2
"306",2005,"Large","Regional Support","Products","Residual",1.26451426350266,95
"307",2005,"Large","Regional Support","Services","Residual",1.22672471514111,356
"308",2005,"Large","Regional Support","R&D","Residual",0.00909523343892984,19
"309",2005,"Large","Rest of World","Products","Residual",2.71542915953782,3546
"310",2005,"Large","Rest of World","Services","Residual",2.85417204128769,18464
"311",2005,"Large","Rest of World","R&D","Residual",0.272422520002201,137
"312",2005,"Medium","Afghanistan","Products","Residual",0.0617512047429546,93
"313",2005,"Medium","Afghanistan","Services","Residual",0.92438036874408,4724
"314",2005,"Medium","Afghanistan","R&D","Residual",0.00534377959958348,2
"315",2005,"Medium","Domestic","Products","Disaster",1.99455277623995,602
"316",2005,"Medium","Domestic","Products","Residual",33.0892209938589,2324810
"317",2005,"Medium","Domestic","Services","Disaster",1.10644976117086,2370
"318",2005,"Medium","Domestic","Services","Residual",54.4796293843971,304119
"319",2005,"Medium","Domestic","R&D","Disaster",0.0647945761779311,62
"320",2005,"Medium","Domestic","R&D","Residual",12.7633268623046,16149
"321",2005,"Medium","Iraq","Products","Residual",0.170181315606292,175
"322",2005,"Medium","Iraq","Services","Residual",2.6383118859725,565
"323",2005,"Medium","Iraq","R&D","Residual",-8.86671476998629e-05,1
"324",2005,"Medium","Regional Support","Products","Residual",0.623689140613686,3053
"325",2005,"Medium","Regional Support","Services","Residual",1.11350690606107,3121
"326",2005,"Medium","Regional Support","R&D","Residual",0.003709980675254,14
"327",2005,"Medium","Rest of World","Products","Disaster",0.000178003913283437,5
"328",2005,"Medium","Rest of World","Products","Residual",4.49728731100092,53351
"329",2005,"Medium","Rest of World","Services","Disaster",4.23013444472208e-06,1
"330",2005,"Medium","Rest of World","Services","Residual",6.11617665539418,45523
"331",2005,"Medium","Rest of World","R&D","Disaster",0.0158334192321184,1
"332",2005,"Medium","Rest of World","R&D","Residual",0.215426168906862,644
"333",2005,"Small","Afghanistan","Products","Residual",0.0114215462446055,12
"334",2005,"Small","Afghanistan","Services","Residual",0.0132474281715049,29
"335",2005,"Small","Afghanistan","R&D","Residual",0.000301819912442835,3
"336",2005,"Small","Domestic","Products","Disaster",0.910611292695194,1452
"337",2005,"Small","Domestic","Products","Residual",30.4196989579699,3620162
"338",2005,"Small","Domestic","Services","Disaster",0.999821185540931,1747
"339",2005,"Small","Domestic","Services","Residual",48.0614408164742,489135
"340",2005,"Small","Domestic","R&D","Disaster",0.0157043217740871,46
"341",2005,"Small","Domestic","R&D","Residual",5.83519341123481,28050
"342",2005,"Small","Iraq","Products","Residual",0.0137227429414924,15
"343",2005,"Small","Iraq","Services","Residual",0.827878485135515,114
"344",2005,"Small","Regional Support","Products","Residual",0.00577159711200625,48
"345",2005,"Small","Regional Support","Services","Residual",0.0459974356497366,138
"346",2005,"Small","Regional Support","R&D","Residual",9.35030063073196e-06,1
"347",2005,"Small","Rest of World","Products","Disaster",0,2
"348",2005,"Small","Rest of World","Products","Residual",0.112126698492428,1946
"349",2005,"Small","Rest of World","Services","Residual",0.481503431566906,1841
"350",2005,"Small","Rest of World","R&D","Residual",0.00989913937057124,73
"351",2006,"Big Five","Afghanistan","Products","Residual",0.401754686050235,11663
"352",2006,"Big Five","Afghanistan","Services","Residual",0.310486208569558,268
"353",2006,"Big Five","Afghanistan","R&D","Residual",0.0366600778869134,9
"354",2006,"Big Five","Domestic","Products","Disaster",0.253473355840117,110
"355",2006,"Big Five","Domestic","Products","Residual",60.7360638839433,393757
"356",2006,"Big Five","Domestic","Services","Disaster",0.404559551282985,367
"357",2006,"Big Five","Domestic","Services","Residual",24.2165072827541,28745
"358",2006,"Big Five","Domestic","R&D","Disaster",0.913977752814375,71
"359",2006,"Big Five","Domestic","R&D","Residual",31.3847317533454,7448
"360",2006,"Big Five","Iraq","Products","Residual",5.97908869528261,12818
"361",2006,"Big Five","Iraq","Services","Disaster",0.000975358083598927,2
"362",2006,"Big Five","Iraq","Services","Residual",0.623724109784826,1032
"363",2006,"Big Five","Iraq","R&D","Residual",0.00242772460974774,7
"364",2006,"Big Five","Regional Support","Products","Residual",0.117501634253554,5177
"365",2006,"Big Five","Regional Support","Services","Residual",0.167008941663971,626
"366",2006,"Big Five","Rest of World","Products","Disaster",0.00162341384910734,7
"367",2006,"Big Five","Rest of World","Products","Residual",0.385443922310746,136277
"368",2006,"Big Five","Rest of World","Services","Disaster",1.16973539057984e-06,1
"369",2006,"Big Five","Rest of World","Services","Residual",2.04460071077123,14634
"370",2006,"Big Five","Rest of World","R&D","Residual",0.0238546082565944,157
"371",2006,"Large","Afghanistan","Products","Residual",0.000127193084928247,13
"372",2006,"Large","Afghanistan","Services","Residual",1.70910164627676,248
"373",2006,"Large","Afghanistan","R&D","Residual",9.24168289364631e-05,3
"374",2006,"Large","Domestic","Products","Disaster",0.135963343774355,539
"375",2006,"Large","Domestic","Products","Residual",53.0046719871183,541452
"376",2006,"Large","Domestic","Services","Disaster",6.88796534152342,2057
"377",2006,"Large","Domestic","Services","Residual",65.1088288920724,151501
"378",2006,"Large","Domestic","R&D","Disaster",0.513825768612825,129
"379",2006,"Large","Domestic","R&D","Residual",18.8722490100774,13796
"380",2006,"Large","Iraq","Products","Residual",-0.00162560963896042,10
"381",2006,"Large","Iraq","Services","Disaster",0.0913882016445034,1
"382",2006,"Large","Iraq","Services","Residual",6.97232888880619,463
"383",2006,"Large","Iraq","R&D","Residual",0.00274771696424425,1
"384",2006,"Large","Regional Support","Products","Disaster",0,1
"385",2006,"Large","Regional Support","Products","Residual",3.55571556496394,4066
"386",2006,"Large","Regional Support","Services","Residual",1.14395856102101,537
"387",2006,"Large","Regional Support","R&D","Residual",9.91662594500822e-05,2
"388",2006,"Large","Rest of World","Products","Disaster",0.000282035856522629,16
"389",2006,"Large","Rest of World","Products","Residual",4.99207555431095,4153
"390",2006,"Large","Rest of World","Services","Disaster",0.000549007844563264,5
"391",2006,"Large","Rest of World","Services","Residual",3.06661132001539,7286
"392",2006,"Large","Rest of World","R&D","Residual",0.209684445241235,116
"393",2006,"Medium","Afghanistan","Products","Residual",0.279829765163123,97
"394",2006,"Medium","Afghanistan","Services","Residual",0.842192387606263,526
"395",2006,"Medium","Afghanistan","R&D","Residual",0.00177854029671461,6
"396",2006,"Medium","Domestic","Products","Disaster",0.266534438142918,1221
"397",2006,"Medium","Domestic","Products","Residual",30.2374068159708,1947048
"398",2006,"Medium","Domestic","Services","Disaster",4.97250938992681,4657
"399",2006,"Medium","Domestic","Services","Residual",55.8721178118709,361087
"400",2006,"Medium","Domestic","R&D","Disaster",0.0792506461434717,116
"401",2006,"Medium","Domestic","R&D","Residual",10.6829278360294,18459
