,SourceFiscalYear,AccountDSI,AccountTitle,Organization,BudgetActivity,BudgetActivityTitle,BudgetSubActivity,BudgetSubActivityTitle,Classified,FiscalYear,OriginType,ActualTotal,EnactedTotal,PBtotal,PBtype
46,2011,2070A,"Reserve Personnel, Army",ARMY,1,Unit And Individual Training,20,Pay Group B Training  (Backfill For Act Duty),U,2009,Total,32918,NA,NA,NA
47,2011,2070A,"Reserve Personnel, Army",ARMY,1,Unit And Individual Training,30,Pay Group F Training  (Recruits),U,2009,Total,317017,NA,NA,NA
48,2011,2070A,"Reserve Personnel, Army",ARMY,1,Unit And Individual Training,40,Pay Group P Training  (Pipeline Recruits),U,2009,Total,9637,NA,NA,NA
49,2011,2070A,"Reserve Personnel, Army",ARMY,1,Unit And Individual Training,60,Mobilization Training,U,2009,Total,7620,NA,NA,NA
50,2011,2070A,"Reserve Personnel, Army",ARMY,1,Unit And Individual Training,70,School Training,U,2009,Total,191283,NA,NA,NA
51,2011,2070A,"Reserve Personnel, Army",ARMY,1,Unit And Individual Training,80,Special Training,U,2009,Total,311058,NA,NA,NA
52,2011,2070A,"Reserve Personnel, Army",ARMY,1,Unit And Individual Training,90,Administration And Support,U,2009,Total,1984048,NA,NA,NA
53,2011,2070A,"Reserve Personnel, Army",ARMY,1,Unit And Individual Training,100,Education Benefits,U,2009,Total,117874,NA,NA,NA
54,2011,2070A,"Reserve Personnel, Army",ARMY,1,Unit And Individual Training,120,Health Profession Scholarship,U,2009,Total,55221,NA,NA,NA
55,2011,2070A,"Reserve Personnel, Army",ARMY,1,Unit And Individual Training,130,Other Programs,U,2009,Total,78138,NA,NA,NA
56,2011,1005A,"MEDICARE - Retiree Health Care Contribution , A RES",ARMY,1,Unit & Individual Training,300,"Reserve Personnel, Army",U,2009,Total,678893,NA,NA,NA
57,2011,2060A,"National Guard Personnel, Army",ARMY,1,Unit And Individual Training,10,Pay Group A Training  (15 Days & Drills 24/48),U,2009,Total,1934271,NA,NA,NA
58,2011,2060A,"National Guard Personnel, Army",ARMY,1,Unit And Individual Training,30,Pay Group F Training  (Recruits),U,2009,Total,566937,NA,NA,NA
59,2011,2060A,"National Guard Personnel, Army",ARMY,1,Unit And Individual Training,40,Pay Group P Training  (Pipeline Recruits),U,2009,Total,63492,NA,NA,NA
60,2011,2060A,"National Guard Personnel, Army",ARMY,1,Unit And Individual Training,70,School Training,U,2009,Total,598860,NA,NA,NA
61,2011,2060A,"National Guard Personnel, Army",ARMY,1,Unit And Individual Training,80,Special Training,U,2009,Total,1355082,NA,NA,NA
62,2011,2060A,"National Guard Personnel, Army",ARMY,1,Unit And Individual Training,90,Administration And Support,U,2009,Total,3668013,NA,NA,NA
63,2011,2060A,"National Guard Personnel, Army",ARMY,1,Unit And Individual Training,100,Education Benefits,U,2009,Total,297519,NA,NA,NA
64,2011,1006A,"MEDICARE - Retiree Health Care Contribution , A GUARD",ARMY,1,Unit & Individual Training,300,"National Guard Personnel, Army",U,2009,Total,1194467,NA,NA,NA
65,2011,1453N,"Military Personnel, Navy",NAVY,1,Pay And Allowances Of Officers,5,Basic Pay ,U,2009,Total,3628041,NA,NA,NA
66,2011,1453N,"Military Personnel, Navy",NAVY,1,Pay And Allowances Of Officers,10,Retired Pay Accrual ,U,2009,Total,1053272,NA,NA,NA
67,2011,1453N,"Military Personnel, Navy",NAVY,1,Pay And Allowances Of Officers,25,Basic Allowance For Housing,U,2009,Total,1232199,NA,NA,NA
68,2011,1453N,"Military Personnel, Navy",NAVY,1,Pay And Allowances Of Officers,30,Basic Allowance For Subsistence ,U,2009,Total,140377,NA,NA,NA
69,2011,1453N,"Military Personnel, Navy",NAVY,1,Pay And Allowances Of Officers,35,Incentive Pays     ,U,2009,Total,161782,NA,NA,NA
70,2011,1453N,"Military Personnel, Navy",NAVY,1,Pay And Allowances Of Officers,40,Special Pays       ,U,2009,Total,391126,NA,NA,NA
71,2011,1453N,"Military Personnel, Navy",NAVY,1,Pay And Allowances Of Officers,45,Allowances          ,U,2009,Total,126118,NA,NA,NA
72,2011,1453N,"Military Personnel, Navy",NAVY,1,Pay And Allowances Of Officers,50,Separation Pay      ,U,2009,Total,26063,NA,NA,NA
73,2011,1453N,"Military Personnel, Navy",NAVY,1,Pay And Allowances Of Officers,55,Social Security Tax  ,U,2009,Total,275583,NA,NA,NA
74,2011,1453N,"Military Personnel, Navy",NAVY,2,Pay And Allowances Of Enlisted,60,Basic Pay ,U,2009,Total,8259910,NA,NA,NA
75,2011,1453N,"Military Personnel, Navy",NAVY,2,Pay And Allowances Of Enlisted,65,Retired Pay Accrual ,U,2009,Total,2417206,NA,NA,NA
76,2011,1453N,"Military Personnel, Navy",NAVY,2,Pay And Allowances Of Enlisted,80,Basic Allowance For Housing ,U,2009,Total,3665915,NA,NA,NA
77,2011,1453N,"Military Personnel, Navy",NAVY,2,Pay And Allowances Of Enlisted,85,Incentive Pays     ,U,2009,Total,92174,NA,NA,NA
78,2011,1453N,"Military Personnel, Navy",NAVY,2,Pay And Allowances Of Enlisted,90,Special Pays       ,U,2009,Total,962735,NA,NA,NA
79,2011,1453N,"Military Personnel, Navy",NAVY,2,Pay And Allowances Of Enlisted,95,Allowances         ,U,2009,Total,640767,NA,NA,NA
80,2011,1453N,"Military Personnel, Navy",NAVY,2,Pay And Allowances Of Enlisted,100,Separation Pay     ,U,2009,Total,141554,NA,NA,NA
81,2011,1453N,"Military Personnel, Navy",NAVY,2,Pay And Allowances Of Enlisted,105,Social Security Tax   ,U,2009,Total,627291,NA,NA,NA
82,2011,1453N,"Military Personnel, Navy",NAVY,3,Pay And Allowances Of Cadets/Midshipmen,110,Midshipmen ,U,2009,Total,70413,NA,NA,NA
83,2011,1453N,"Military Personnel, Navy",NAVY,4,Subsistence Of Enlisted Personnel,115,Basic Allowance For Subsistence ,U,2009,Total,700694,NA,NA,NA
84,2011,1453N,"Military Personnel, Navy",NAVY,4,Subsistence Of Enlisted Personnel,120,Subsistence-In-Kind ,U,2009,Total,423700,NA,NA,NA
85,2011,1453N,"Military Personnel, Navy",NAVY,4,Subsistence Of Enlisted Personnel,121,Family Subsistence Supplemental Allowance ,U,2009,Total,12,NA,NA,NA
86,2011,1453N,"Military Personnel, Navy",NAVY,5,Permanent Change Of Station Travel,125,Accession Travel ,U,2009,Total,86238,NA,NA,NA
87,2011,1453N,"Military Personnel, Navy",NAVY,5,Permanent Change Of Station Travel,130,Training Travel ,U,2009,Total,91887,NA,NA,NA
88,2011,1453N,"Military Personnel, Navy",NAVY,5,Permanent Change Of Station Travel,135,Operational Travel  ,U,2009,Total,240165,NA,NA,NA
89,2011,1453N,"Military Personnel, Navy",NAVY,5,Permanent Change Of Station Travel,140,Rotational Travel  ,U,2009,Total,297457,NA,NA,NA
90,2011,1453N,"Military Personnel, Navy",NAVY,5,Permanent Change Of Station Travel,145,Separation Travel ,U,2009,Total,126869,NA,NA,NA
91,2011,1453N,"Military Personnel, Navy",NAVY,5,Permanent Change Of Station Travel,150,Travel Of Organized Units ,U,2009,Total,22369,NA,NA,NA
92,2011,1453N,"Military Personnel, Navy",NAVY,5,Permanent Change Of Station Travel,155,Non-Temporary Storage ,U,2009,Total,1357,NA,NA,NA
93,2011,1453N,"Military Personnel, Navy",NAVY,5,Permanent Change Of Station Travel,160,Temporary Lodging Expense ,U,2009,Total,8513,NA,NA,NA
94,2011,1453N,"Military Personnel, Navy",NAVY,5,Permanent Change Of Station Travel,165,Other ,U,2009,Total,7085,NA,NA,NA
95,2011,1453N,"Military Personnel, Navy",NAVY,6,Other Military Personnel Costs,170,Apprehension Of Military Deserters ,U,2009,Total,256,NA,NA,NA
96,2011,1453N,"Military Personnel, Navy",NAVY,6,Other Military Personnel Costs,175,Interest On Uniformed Services Savings ,U,2009,Total,1399,NA,NA,NA
97,2011,1453N,"Military Personnel, Navy",NAVY,6,Other Military Personnel Costs,180,Death Gratuities ,U,2009,Total,21500,NA,NA,NA
98,2011,1453N,"Military Personnel, Navy",NAVY,6,Other Military Personnel Costs,185,Unemployment Benefits ,U,2009,Total,113937,NA,NA,NA
99,2011,1453N,"Military Personnel, Navy",NAVY,6,Other Military Personnel Costs,195,Education Benefits ,U,2009,Total,6838,NA,NA,NA
100,2011,1453N,"Military Personnel, Navy",NAVY,6,Other Military Personnel Costs,200,Adoption Expenses ,U,2009,Total,271,NA,NA,NA
101,2011,1453N,"Military Personnel, Navy",NAVY,6,Other Military Personnel Costs,210,Transportation Subsidy ,U,2009,Total,9959,NA,NA,NA
102,2011,1453N,"Military Personnel, Navy",NAVY,6,Other Military Personnel Costs,215,Partial Dislocation Allowance ,U,2009,Total,180,NA,NA,NA
103,2011,1453N,"Military Personnel, Navy",NAVY,6,Other Military Personnel Costs,216,SGLI Extra Hazard Payments,U,2009,Total,68761,NA,NA,NA
104,2011,1453N,"Military Personnel, Navy",NAVY,6,Other Military Personnel Costs,217,Reserve Officers Training Corps (ROTC),U,2009,Total,20667,NA,NA,NA
105,2011,1453N,"Military Personnel, Navy",NAVY,6,Other Military Personnel Costs,218,Junior R.O.T.C,U,2009,Total,14140,NA,NA,NA
106,2011,1453N,"Military Personnel, Navy",,,Less Reimbursables,,Less Reimbursables,U,2009,Total,-328810,NA,NA,NA
107,2011,1000N,"MEDICARE - Retiree Health Care Contribution , N",NAVY,1,Pay And Allowances Of Officers,300,Navy,U,2009,Total,284853,NA,NA,NA
108,2011,1000N,"MEDICARE - Retiree Health Care Contribution , N",NAVY,2,Pay And Allowances Of Enlisted,300,Navy,U,2009,Total,1486172,NA,NA,NA
109,2011,1105N,"Military Personnel, Marine Corps",NAVY,1,Pay And Allowances Of Officers,5,Basic Pay ,U,2009,Total,1384405,NA,NA,NA
110,2011,1105N,"Military Personnel, Marine Corps",NAVY,1,Pay And Allowances Of Officers,10,Retired Pay Accrual ,U,2009,Total,407761,NA,NA,NA
111,2011,1105N,"Military Personnel, Marine Corps",NAVY,1,Pay And Allowances Of Officers,25,Basic Allowance For Housing ,U,2009,Total,431246,NA,NA,NA
112,2011,1105N,"Military Personnel, Marine Corps",NAVY,1,Pay And Allowances Of Officers,30,Basic Allowance For Subsistence ,U,2009,Total,55940,NA,NA,NA
113,2011,1105N,"Military Personnel, Marine Corps",NAVY,1,Pay And Allowances Of Officers,35,Incentive Pays     ,U,2009,Total,52177,NA,NA,NA
114,2011,1105N,"Military Personnel, Marine Corps",NAVY,1,Pay And Allowances Of Officers,40,Special Pays       ,U,2009,Total,38420,NA,NA,NA
115,2011,1105N,"Military Personnel, Marine Corps",NAVY,1,Pay And Allowances Of Officers,45,Allowances          ,U,2009,Total,46259,NA,NA,NA
116,2011,1105N,"Military Personnel, Marine Corps",NAVY,1,Pay And Allowances Of Officers,50,Separation Pay      ,U,2009,Total,11515,NA,NA,NA
117,2011,1105N,"Military Personnel, Marine Corps",NAVY,1,Pay And Allowances Of Officers,55,Social Security Tax  ,U,2009,Total,105667,NA,NA,NA
118,2011,1105N,"Military Personnel, Marine Corps",NAVY,2,Pay And Allowances Of Enlisted,60,Basic Pay ,U,2009,Total,4827915,NA,NA,NA
119,2011,1105N,"Military Personnel, Marine Corps",NAVY,2,Pay And Allowances Of Enlisted,65,Retired Pay Accrual ,U,2009,Total,1419437,NA,NA,NA
120,2011,1105N,"Military Personnel, Marine Corps",NAVY,2,Pay And Allowances Of Enlisted,80,Basic Allowance For Housing ,U,2009,Total,1613307,NA,NA,NA
121,2011,1105N,"Military Personnel, Marine Corps",NAVY,2,Pay And Allowances Of Enlisted,85,Incentive Pays     ,U,2009,Total,9242,NA,NA,NA
122,2011,1105N,"Military Personnel, Marine Corps",NAVY,2,Pay And Allowances Of Enlisted,90,Special Pays       ,U,2009,Total,709758,NA,NA,NA
123,2011,1105N,"Military Personnel, Marine Corps",NAVY,2,Pay And Allowances Of Enlisted,95,Allowances         ,U,2009,Total,342306,NA,NA,NA
124,2011,1105N,"Military Personnel, Marine Corps",NAVY,2,Pay And Allowances Of Enlisted,100,Separation Pay     ,U,2009,Total,58424,NA,NA,NA
125,2011,1105N,"Military Personnel, Marine Corps",NAVY,2,Pay And Allowances Of Enlisted,105,Social Security Tax   ,U,2009,Total,369350,NA,NA,NA
126,2011,1105N,"Military Personnel, Marine Corps",NAVY,4,Subsistence Of Enlisted Personnel,115,Basic Allowance For Subsistence ,U,2009,Total,469759,NA,NA,NA
127,2011,1105N,"Military Personnel, Marine Corps",NAVY,4,Subsistence Of Enlisted Personnel,120,Subsistence-In-Kind ,U,2009,Total,252430,NA,NA,NA
128,2011,1105N,"Military Personnel, Marine Corps",NAVY,4,Subsistence Of Enlisted Personnel,121,Family Subsistence Supplemental Allowance ,U,2009,Total,947,NA,NA,NA
129,2011,1105N,"Military Personnel, Marine Corps",NAVY,5,Permanent Change Of Station Travel,125,Accession Travel ,U,2009,Total,102849,NA,NA,NA
130,2011,1105N,"Military Personnel, Marine Corps",NAVY,5,Permanent Change Of Station Travel,130,Training Travel ,U,2009,Total,14717,NA,NA,NA
131,2011,1105N,"Military Personnel, Marine Corps",NAVY,5,Permanent Change Of Station Travel,135,Operational Travel  ,U,2009,Total,239261,NA,NA,NA
132,2011,1105N,"Military Personnel, Marine Corps",NAVY,5,Permanent Change Of Station Travel,140,Rotational Travel  ,U,2009,Total,130156,NA,NA,NA
133,2011,1105N,"Military Personnel, Marine Corps",NAVY,5,Permanent Change Of Station Travel,145,Separation Travel ,U,2009,Total,87253,NA,NA,NA
134,2011,1105N,"Military Personnel, Marine Corps",NAVY,5,Permanent Change Of Station Travel,150,Travel Of Organized Units ,U,2009,Total,951,NA,NA,NA
135,2011,1105N,"Military Personnel, Marine Corps",NAVY,5,Permanent Change Of Station Travel,155,Non-Temporary Storage ,U,2009,Total,6527,NA,NA,NA
136,2011,1105N,"Military Personnel, Marine Corps",NAVY,5,Permanent Change Of Station Travel,160,Temporary Lodging Expense ,U,2009,Total,14710,NA,NA,NA
137,2011,1105N,"Military Personnel, Marine Corps",NAVY,5,Permanent Change Of Station Travel,165,Other ,U,2009,Total,3188,NA,NA,NA
138,2011,1105N,"Military Personnel, Marine Corps",NAVY,6,Other Military Personnel Costs,170,Apprehension Of Military Deserters ,U,2009,Total,1497,NA,NA,NA
139,2011,1105N,"Military Personnel, Marine Corps",NAVY,6,Other Military Personnel Costs,175,Interest On Uniformed Services Savings ,U,2009,Total,1284,NA,NA,NA
140,2011,1105N,"Military Personnel, Marine Corps",NAVY,6,Other Military Personnel Costs,180,Death Gratuities ,U,2009,Total,23100,NA,NA,NA
141,2011,1105N,"Military Personnel, Marine Corps",NAVY,6,Other Military Personnel Costs,185,Unemployment Benefits ,U,2009,Total,87970,NA,NA,NA
142,2011,1105N,"Military Personnel, Marine Corps",NAVY,6,Other Military Personnel Costs,195,Education Benefits ,U,2009,Total,56,NA,NA,NA
143,2011,1105N,"Military Personnel, Marine Corps",NAVY,6,Other Military Personnel Costs,200,Adoption Expenses ,U,2009,Total,147,NA,NA,NA
144,2011,1105N,"Military Personnel, Marine Corps",NAVY,6,Other Military Personnel Costs,210,Transportation Subsidy ,U,2009,Total,3538,NA,NA,NA
145,2011,1105N,"Military Personnel, Marine Corps",NAVY,6,Other Military Personnel Costs,215,Partial Dislocation Allowance ,U,2009,Total,273,NA,NA,NA
146,2011,1105N,"Military Personnel, Marine Corps",NAVY,6,Other Military Personnel Costs,216,SGLI Extra Hazard Payments,U,2009,Total,42877,NA,NA,NA
147,2011,1105N,"Military Personnel, Marine Corps",NAVY,6,Other Military Personnel Costs,218,Junior R.O.T.C,U,2009,Total,6804,NA,NA,NA
148,2011,1105N,"Military Personnel, Marine Corps",,,Less Reimbursables,,Less Reimbursables,U,2009,Total,-18450,NA,NA,NA
149,2011,1001N,"MEDICARE - Retiree Health Care Contribution ,MC",NAVY,1,Pay And Allowances Of Officers,300,Marine Corps,U,2009,Total,112162,NA,NA,NA
150,2011,1001N,"MEDICARE - Retiree Health Care Contribution ,MC",NAVY,2,Pay And Allowances Of Enlisted,300,Marine Corps,U,2009,Total,940552,NA,NA,NA
151,2011,1405N,"Reserve Personnel, Navy",NAVY,1,Unit And Individual Training,10,Pay Group A Training  (15 Days & Drills 24/48),U,2009,Total,591392,NA,NA,NA
152,2011,1405N,"Reserve Personnel, Navy",NAVY,1,Unit And Individual Training,20,Pay Group B Training  (Backfill For Active Duty),U,2009,Total,6871,NA,NA,NA
153,2011,1405N,"Reserve Personnel, Navy",NAVY,1,Unit And Individual Training,30,Pay Group F Training  (Recruits),U,2009,Total,43792,NA,NA,NA
154,2011,1405N,"Reserve Personnel, Navy",NAVY,1,Unit And Individual Training,60,Mobilization Training,U,2009,Total,8090,NA,NA,NA
155,2011,1405N,"Reserve Personnel, Navy",NAVY,1,Unit And Individual Training,70,School Training,U,2009,Total,43204,NA,NA,NA
156,2011,1405N,"Reserve Personnel, Navy",NAVY,1,Unit And Individual Training,80,Special Training,U,2009,Total,125974,NA,NA,NA
157,2011,1405N,"Reserve Personnel, Navy",NAVY,1,Unit And Individual Training,90,Administration And Support,U,2009,Total,1038455,NA,NA,NA
158,2011,1405N,"Reserve Personnel, Navy",NAVY,1,Unit And Individual Training,100,Education Benefits,U,2009,Total,4644,NA,NA,NA
159,2011,1405N,"Reserve Personnel, Navy",NAVY,1,Unit And Individual Training,120,Health Profession Scholarship,U,2009,Total,44637,NA,NA,NA
160,2011,1002N,"MEDICARE - Retiree Health Care Contribution , N RES",NAVY,1,Unit & Individual Training,300,"Reserve Personnel, Navy",U,2009,Total,239846,NA,NA,NA
161,2011,1108N,"Reserve Personnel, Marine Corps",NAVY,1,Unit & Individual Training,10,Pay Group A Training  (15 Days & Drills 24/48),U,2009,Total,187007,NA,NA,NA
162,2011,1108N,"Reserve Personnel, Marine Corps",NAVY,1,Unit & Individual Training,20,Pay Group B Training  (Backfill For Act Duty),U,2009,Total,32059,NA,NA,NA
163,2011,1108N,"Reserve Personnel, Marine Corps",NAVY,1,Unit & Individual Training,30,Pay Group F Training  (Recruits),U,2009,Total,90168,NA,NA,NA
164,2011,1108N,"Reserve Personnel, Marine Corps",NAVY,1,Unit & Individual Training,60,Mobilization Training,U,2009,Total,2497,NA,NA,NA
165,2011,1108N,"Reserve Personnel, Marine Corps",NAVY,1,Unit & Individual Training,70,School Training,U,2009,Total,21256,NA,NA,NA
166,2011,1108N,"Reserve Personnel, Marine Corps",NAVY,1,Unit & Individual Training,80,Special Training,U,2009,Total,60696,NA,NA,NA
167,2011,1108N,"Reserve Personnel, Marine Corps",NAVY,1,Unit & Individual Training,90,Administration And Support,U,2009,Total,216299,NA,NA,NA
168,2011,1108N,"Reserve Personnel, Marine Corps",NAVY,1,Unit & Individual Training,95,Platoon Leader Class,U,2009,Total,11341,NA,NA,NA
169,2011,1108N,"Reserve Personnel, Marine Corps",NAVY,1,Unit & Individual Training,100,Education Benefits,U,2009,Total,27062,NA,NA,NA
170,2011,1003N,"MEDICARE - Retiree Health Care Contribution , MC RES",NAVY,1,Unit & Individual Training,300,"Reserve Personnel, Marine Corps",U,2009,Total,133868,NA,NA,NA
171,2011,3500F,"Military Personnel, Air Force",AF,1,Pay And Allowances Of Officers,5,Basic Pay ,U,2009,Total,4650688,NA,NA,NA
172,2011,3500F,"Military Personnel, Air Force",AF,1,Pay And Allowances Of Officers,10,Retired Pay Accrual ,U,2009,Total,1345753,NA,NA,NA
173,2011,3500F,"Military Personnel, Air Force",AF,1,Pay And Allowances Of Officers,25,Basic Allowance For Housing ,U,2009,Total,1325586,NA,NA,NA
174,2011,3500F,"Military Personnel, Air Force",AF,1,Pay And Allowances Of Officers,30,Basic Allowance For Subsistence ,U,2009,Total,179679,NA,NA,NA
175,2011,3500F,"Military Personnel, Air Force",AF,1,Pay And Allowances Of Officers,35,Incentive Pays     ,U,2009,Total,264162,NA,NA,NA
176,2011,3500F,"Military Personnel, Air Force",AF,1,Pay And Allowances Of Officers,40,Special Pays       ,U,2009,Total,290972,NA,NA,NA
177,2011,3500F,"Military Personnel, Air Force",AF,1,Pay And Allowances Of Officers,45,Allowances          ,U,2009,Total,133646,NA,NA,NA
178,2011,3500F,"Military Personnel, Air Force",AF,1,Pay And Allowances Of Officers,50,Separation Pay      ,U,2009,Total,55603,NA,NA,NA
179,2011,3500F,"Military Personnel, Air Force",AF,1,Pay And Allowances Of Officers,55,Social Security Tax  ,U,2009,Total,353028,NA,NA,NA
180,2011,3500F,"Military Personnel, Air Force",AF,2,Pay And Allowances Of Enlisted,60,Basic Pay ,U,2009,Total,8432078,NA,NA,NA
181,2011,3500F,"Military Personnel, Air Force",AF,2,Pay And Allowances Of Enlisted,65,Retired Pay Accrual ,U,2009,Total,2438057,NA,NA,NA
182,2011,3500F,"Military Personnel, Air Force",AF,2,Pay And Allowances Of Enlisted,80,Basic Allowance For Housing ,U,2009,Total,3114713,NA,NA,NA
