fiscal_year,ContractingCustomer,ContractingSubCustomer,MajorCommandID,ContractingOfficeID,ContractingOfficeName,IsOCOcrisisFunding,obligatedAmount,numberOfActions
2001,Defense,Navy,ORG-2940,C2836,FAR EAST CONTRACTS OFFICE,NULL,173602243.0000,1144
2001,Defense,Navy,ORG-2940,C8711,NAVAL FACILITIES ENGINEERING COM,NULL,904525375.4688,4981
2001,Defense,Navy,ORG-2941,BS456,SUPERVISOR SHIPBUILDING CONVERSI,NULL,17164235.0000,356
2001,Defense,Navy,ORG-2941,BS792,SUPERVISOR SHIPBUILDING CONVERSI,NULL,59911300.0000,517
2001,Defense,Navy,ORG-2941,BW14A,"NAVAL SURFACE WARFARE CENTER, IN",NULL,238386888.0000,816
2001,Defense,Navy,ORG-2941,BZ008,NAVAL SEA SYSTEMS COMMAND,NULL,1049743.0000,3
2001,Defense,Navy,ORG-2943,F0050,MARINE CORPS AIR STATION EL TORO,NULL,1381261.0000,21
2001,Defense,Navy,ORG-2943,F0263,MARINE CORPS RECRUIT DEPOT,NULL,9863294.0000,76
2001,Defense,Navy,ORG-2943,F7353,U.S. MARINE CORP HDQTRS BATTALIO,NULL,411577.0000,2
2001,Defense,Navy,ORG-2943,F9998,U.S. MARINE CORPS SYSCOM MCTSSA,NULL,10591618.0000,36
2001,Defense,Navy,ORG-2944,D0223,SPACE AND NAVAL WARFARE SYSTEMS,NULL,71716531.0000,117
2001,Defense,Navy,ORG-2944,D910F,SPACE & NAVAL WARFARE SYSTEMS,NULL,2866649.0000,9
2001,Defense,Navy,ORG-2945,E614A,"OFFICE OF NAVAL RESEARCH, HEADQU",NULL,103207159.0000,270
2001,DHS,FEMA,NULL,NULL,NULL,NULL,315680000.0000,1346
2001,Other Agencies,Agriculture,ORG-2203,03A94,DEPT OF AGRIC/FOOD SAFETY AND INSPECT SVC,NULL,14584000.0000,273
2001,Other Agencies,All other Customers,NULL,NULL,NULL,NULL,559115555.4917,4355
2001,Other Agencies,Interior,NULL,NULL,NULL,0,4599110.0000,7
2001,Other Agencies,Transportation,NULL,NULL,NULL,NULL,2369678852.6364,15734
2001,State and IAP,NULL,NULL,NULL,NULL,NULL,3203000.0000,29
2002,Defense,Air Force,NULL,NULL,NULL,NULL,10999953346.5480,26716
2002,Defense,Air Force,ORG-2825,GJ60,WARNER ROBINS ALC/LFK,NULL,379695450.0000,252
2002,Defense,Air Force,ORG-2825,GJ90,WARNER ROBINS AKC/LYK,NULL,237058534.0000,413
2002,Defense,Air Force,ORG-2825,GL10,AGMC/PK,NULL,27824264.0000,53
2002,Defense,Air Force,ORG-2825,GM11,AAC/YHK,NULL,246464932.0000,49
2002,Defense,Air Force,ORG-2825,GR05,AFRL/VAK AIR VEHICLES CONTRACTNG,NULL,79249000.0000,329
2002,Defense,Air Force,ORG-2825,GR14,AFRL/PRKB  ADVANCED PROPULSION,NULL,110762123.0000,283
2002,Defense,Air Force,ORG-2825,GS04,"DET 8, AFRL/PK (SUPPORTS OTHER)",NULL,486902.0000,3
2002,Defense,Air Force,ORG-2825,GU01,ASC/PK AERONAUTICAL SYSTEMS CTR,NULL,1582428.0000,1
2002,Defense,Air Force,ORG-2825,GU03,ASC/FBK,NULL,219886995.0000,24
2002,Defense,Air Force,ORG-2825,GU24,ASC/FBK,NULL,4791135.0000,2
2002,Defense,Air Force,ORG-2825,GU30,ASC/YCK,NULL,3318398624.0000,260
2002,Defense,Air Force,ORG-2825,GU720,DOD/DEPARTMENT OF THE AIR FORCE,NULL,45754208.0000,3
2002,Defense,Air Force,ORG-2825,GV56,ESC/AWK,NULL,318691267.0000,126
2002,Defense,Air Force,ORG-2825,GV63,ESC/DIGK,NULL,103070221.0000,107
2002,Defense,Air Force,ORG-2825,GV70,"MSG/PK  BLDG 262, ROOM C022",NULL,201188490.0000,649
2002,Defense,Air Force,ORG-2825,GW02,HSW/PKO,NULL,177531061.0000,397
2002,Defense,Air Force,ORG-2825,GW030,DOD/DEPARTMENT OF THE AIR FORCE,NULL,1000000.0000,1
2002,Defense,Air Force,ORG-2834,CZ390,SMC/PKZ LOS ANGELES AFB,NULL,10000000.0000,1
2002,Defense,Air Force,ORG-2834,GZ020,DOD/DEPARTMENT OF THE AIR FORCE,NULL,1500000.0000,1
2002,Defense,Air Force,ORG-2843,JA29,17 CONS/CC,NULL,22170184.0000,215
2002,Defense,Air Force,ORG-2844,QA140,DOD/DEPARTMENT OF THE AIR FORCE,NULL,0.0000,1
2002,Defense,Army,NULL,NULL,NULL,NULL,3428615855.7721,26626
2002,Defense,Army,ORG-2854,BT19,U.S. ARMY COMBINED ARMS CTR & FT,NULL,20446770.0000,545
2002,Defense,Army,ORG-2854,BT23,U.S. ARMY ARMOR CENTER AND FORT,NULL,311382602.0000,3726
2002,Defense,Army,ORG-2854,BT43,CARLISLE BARRACKS,NULL,8414302.0000,102
2002,Defense,Army,ORG-2855,JA02,RCO SECKENHEIM,NULL,200697209.0000,1276
2002,Defense,Army,ORG-2860,SA01,USA CENTRAL CMD - SAUDI ARABIA,1,5853360.0000,2
2002,Defense,Army,ORG-2863,KF06,DIRECTORATE OF CONTRACTING,NULL,84375482.0000,462
2002,Defense,Army,ORG-2863,KF10,DIRECTORATE OF CONTRACTING,NULL,56748313.0000,432
2002,Defense,Army,ORG-2863,KF23,DIRECTORATE OF CONTRACTING,NULL,84482249.0200,2182
2002,Defense,Army,ORG-2863,KF36,DIRECTORATE OF CONTRACTING,NULL,51393052.0000,527
2002,Defense,Army,ORG-2863,KF48,"HQ, III CORPS & FORT HOOD",NULL,164181134.9609,2479
2002,Defense,Army,ORG-2869,HA09,USPFO FOR GEORGIA,NULL,6659015.0000,186
2002,Defense,Army,ORG-2869,HA11,USPFO FOR ILLINOIS,NULL,3052550.0000,55
2002,Defense,Army,ORG-2869,HA26,USPFO FOR NEVADA,NULL,11693104.0000,88
2002,Defense,Army,ORG-2869,HA28,USPFO FOR NEW JERSEY,NULL,16118500.0000,475
2002,Defense,Army,ORG-2869,HA38,USPFO FOR SOUTH CAROLINA,NULL,10427638.0000,137
2002,Defense,Army,ORG-2869,HA42,USPFO FOR UTAH,NULL,5774452.0000,142
2002,Defense,Army,ORG-2869,HA49,USPFO FOR DISTRICT OF COLUMBIA,NULL,4229015.0000,46
2003,Defense,Navy,ORG-2940,C4255,NAVAL FACILITIES ENGINEERING FIE,NULL,351336310.0000,2563
2003,Defense,Navy,ORG-2940,C8711,NAVAL FACILITIES ENGINEERING COM,1,24838.0000,3
2003,Defense,Navy,ORG-2941,BS786,SUPERVISOR SHIPBUILDING CONVERSI,NULL,130783899.0000,494
2003,Defense,Navy,ORG-2941,BW10A,"NAVAL SURFACE WARFARE CENTER, DA",NULL,18767676.0000,30
2003,Defense,Navy,ORG-2941,BW12B,"NAVAL SURFACE WARFARE CENTER, DD",NULL,76139064.0000,345
2003,Defense,Navy,ORG-2941,BW14A,"NAVAL SURFACE WARFARE CENTER, IN",NULL,244300845.0000,1285
2003,Defense,Navy,ORG-2943,F0681,U.S. MARINE CORPS,NULL,184849609.0000,847
2003,Defense,Navy,ORG-2943,F7399,MARINE CORPS AIR GROUND COMBAT C,NULL,3692733.0000,50
2003,Defense,Navy,ORG-2943,F7400,MARINE CORPS CAMP BUTLER OKINAWA,NULL,24708431.0000,224
2003,Defense,Navy,ORG-2944,D0211,SPACE & NAVAL WARFARE SYSTEMS,NULL,20885901.0000,38
2003,Defense,Navy,ORG-2944,D0223,SPACE AND NAVAL WARFARE SYSTEMS,NULL,469130456.0000,365
2003,Defense,Navy,ORG-2944,D910E,SPACE & NAVAL WARFARE SYSTEMS,NULL,1044847.0000,10
2003,Defense,Other DoD,NULL,NULL,NULL,1,40504489.0000,32
2003,DHS,CBP,NULL,NULL,NULL,NULL,442760461.0625,1918
2003,DHS,ICE,NULL,NULL,NULL,NULL,210806244.0216,2819
2003,Other Agencies,Archives,NULL,NULL,NULL,NULL,103954197.1539,413
2003,Other Agencies,BROADCASTING BOARD OF GOVERNORS,NULL,NULL,NULL,NULL,94747840.3008,664
2003,Other Agencies,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,NULL,NULL,NULL,NULL,10999966.1038,85
2003,Other Agencies,NATIONAL ENDOWMENT FOR THE HUMANITIES,NULL,NULL,NULL,NULL,74130.0000,7
2003,Other Agencies,NATIONAL GALLERY OF ART,NULL,NULL,NULL,NULL,9836433.0000,33
2004,Defense,Air Force,ORG-2825,FA8750,FA8750  AFRL RIK,NULL,1022378.0000,3
2004,Defense,Air Force,ORG-2825,GD50,OKLAHOMA CITY ALC/LID,NULL,268266879.0000,804
2004,Defense,Air Force,ORG-2825,GJ30,WARNER ROBINS ALC/LBK,NULL,167801360.1250,192
2004,Defense,Air Force,ORG-2825,GJ35,WR-ALC/LMKM,NULL,61188462.0000,131
2004,Defense,Air Force,ORG-2825,GJ66,WR-ALC/LXKB,NULL,351517665.0000,261
2004,Defense,Air Force,ORG-2825,GJ67,WR-ALC/LXKC,NULL,532328680.0000,866
2004,Defense,Air Force,ORG-2825,GJ72,CONTRACTING OFFICE,1,35647260.0000,9
2004,Defense,Air Force,ORG-2825,GM02,AAC/PKO  OPERATIONAL CONTRACTING,0,1590.8998,4
2004,Defense,Air Force,ORG-2825,GM15,AAC/WMK,NULL,279954650.0000,152
2004,Defense,Air Force,ORG-2825,GU44,ASC/SDBK,NULL,86414811.0000,50
2004,Defense,Air Force,ORG-2825,GU86,ASC/YWK,NULL,398178124.0000,161
2004,Defense,Air Force,ORG-2825,GU91,AFSAC/PK,NULL,86084765.0000,173
2004,Defense,Air Force,ORG-2825,GV58,ESC/DIK,NULL,972028478.0000,269
2004,Defense,Air Force,ORG-2825,GV62,ESC/DIAK,NULL,17668428.0000,29
2004,Defense,Air Force,ORG-2825,GV63,ESC/DIGK,NULL,219298882.0000,87
2004,Defense,Air Force,ORG-2834,CA09,45 CONS/LGC,NULL,351038864.0000,728
2004,Defense,Air Force,ORG-2834,CA11,50 CONS/LGCW,NULL,210646396.0000,513
2004,Defense,Air Force,ORG-2834,CA17,821SPTS/LGC,NULL,25330152.0000,326
2004,Defense,Air Force,ORG-2835,AC10,28 CONS/CC,NULL,30283890.0000,360
2004,Defense,Air Force,ORG-2835,AC21,1 CONS/CC,NULL,193502487.0000,716
2004,Defense,Air Force,ORG-2835,AC39,509 CONS/CC,NULL,24669138.0000,235
2004,Defense,Air Force,ORG-2837,DA31,CONS/LGC,NULL,12543624.0000,133
2004,Defense,Air Force,ORG-2843,JA05,314 CONS/CC,NULL,34040191.0000,273
2004,Defense,Air Force,ORG-2843,JA23,56 CONS/CC,NULL,43269579.0000,317
2004,Defense,Air Force,ORG-2844,QA30,43 CONS/LGC,NULL,14528412.0000,179
2004,Defense,Army,ORG-2869,W911YN,W7M2 USPFO ACTIVITY FL ARNG,NULL,30728590.0000,937
2004,Defense,Army,ORG-2869,W9124X,W7NM USPFO ACTIVITY NV ARNG,NULL,10640096.0000,444
2004,Defense,Army,ORG-2869,W912J2,W7N8 USPFO ACTIVITY WI ARNG,NULL,22603298.0000,782
2004,Defense,Army,ORG-2869,W912JD,W7NC USPFO ACTIVITY ME ARNG,NULL,20156087.0000,453
2004,Defense,Army,ORG-2869,W912JF,W7MW USPFO ACTIVITY AR ARNG,NULL,14218664.0000,616
2004,Defense,Army,ORG-2869,W912LC,W7MY USPFO ACTIVITY CO ARNG,NULL,16277352.0000,355
2004,Defense,Army,ORG-2869,W912LQ,W7N5 USPFO ACTIVITY VA ARNG,NULL,32829990.0000,284
2004,Defense,Army,ORG-2869,W912NR,W7NB USPFO ACTIVITY LA ARNG,NULL,10348334.0000,661
2004,Defense,Army,ORG-2869,W9133L,W39L USA NG READINESS CENTER,NULL,227752910.0000,572
2004,Defense,Army,ORG-2870,W81GYE,W0QF HQ SURFACE DEPL&DISTR CMD,NULL,1041101573.0000,1437
2004,Defense,Army,ORG-2872,W91278,W074 ENDIST MOBILE,1,51615562.0000,21
2004,Defense,Army,ORG-2872,W912DR,W2SD ENDIST BALTIMORE,NULL,462502951.8501,2992
2004,Defense,Army,ORG-2872,W912GB,W2SD FEST NAU1 EUROPE,NULL,137055444.7773,730
2004,Defense,Army,ORG-2872,W912HV,W2SN ENDIST JAPAN,NULL,27036191.0000,420
2000,Other Agencies,MERIT SYSTEMS PROTECTION BOARD,NULL,NULL,NULL,NULL,72000.0000,1
2000,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,NULL,NULL,NULL,NULL,30221000.0000,119
2001,Defense,Air Force,ORG-2825,GE20,OGDEN ALC/PKO,NULL,104779677.0000,681
2001,Defense,Air Force,ORG-2825,GE37,OO-ALC/LGFD,NULL,167474250.0000,298
2001,Defense,Air Force,ORG-2825,GE60,OO-ALC/PKGA/LGKAC,NULL,-7090022.0000,25
2001,Defense,Air Force,ORG-2825,GE600,DOD/DEPARTMENT OF THE AIR FORCE,NULL,0.0000,0
2001,Defense,Air Force,ORG-2825,GJ200,DOD/DEPARTMENT OF THE AIR FORCE,NULL,150000.0000,1
2001,Defense,Air Force,ORG-2825,GM20,DET 8 AFRL/PKO,NULL,58492411.0000,236
2001,Defense,Air Force,ORG-2825,GP020,DOD/DEPARTMENT OF THE AIR FORCE,NULL,0.0000,0
2001,Defense,Air Force,ORG-2825,GP030,DOD/DEPARTMENT OF THE AIR FORCE,NULL,387849.0000,1
2001,Defense,Air Force,ORG-2825,GQ05,AFRL/IFKRF,NULL,86294311.0000,250
2001,Defense,Air Force,ORG-2825,GQ07,AFRL/IFQPB,NULL,10000.0000,2
2001,Defense,Air Force,ORG-2825,GR10,AFRL/MLKT MANUFACTURING TECH,NULL,24877807.0000,143
2001,Defense,Air Force,ORG-2825,GU030,DOD/DEPARTMENT OF THE AIR FORCE,NULL,734499968.0000,1
2001,Defense,Air Force,ORG-2825,GU04,ASC/GR,NULL,400521712.0000,85
2001,Defense,Air Force,ORG-2825,GU21,ASC/PKHF,NULL,-5038623.0000,11
2001,Defense,Air Force,ORG-2825,GU40,ASC/VFK,NULL,623307954.0000,94
2001,Defense,Air Force,ORG-2825,GU42,ASC/SMKA,NULL,25948334.0000,7
2001,Defense,Air Force,ORG-2825,GV640,DOD/DEPARTMENT OF THE AIR FORCE,NULL,1850000.0000,1
2001,Defense,Air Force,ORG-2825,GV68,ESC/ACK,NULL,217338481.0000,166
2001,Defense,Air Force,ORG-2834,CA030,DOD/DEPARTMENT OF THE AIR FORCE,NULL,103883.6799,4
2001,Defense,Air Force,ORG-2834,CA160,DOD/DEPARTMENT OF THE AIR FORCE,NULL,1220283.0000,1
2001,Defense,Air Force,ORG-2834,GZ01,SMC/PK/PKX,NULL,-81900.0000,2
2001,Defense,Air Force,ORG-2834,GZ02,61CONS/LGC,NULL,21883592.0000,97
2001,Defense,Air Force,ORG-2834,GZ04,SMC/PIK,NULL,565774547.0000,195
2001,Defense,Air Force,ORG-2834,GZ35,SMC/PKT,NULL,905047.0000,2
2001,Defense,Air Force,ORG-2834,GZ75,SMC/LRSW,NULL,396875754.0000,2
2001,Defense,Air Force,ORG-2839,BA050,DOD/DEPARTMENT OF THE AIR FORCE,NULL,1024458.0000,1
2001,Defense,Air Force,ORG-2843,JA050,DOD/DEPARTMENT OF THE AIR FORCE,NULL,0.0000,0
2001,Defense,Air Force,ORG-2844,QA020,DOD/DEPARTMENT OF THE AIR FORCE,NULL,0.0000,0
2001,Defense,Army,ORG-2849,JN01,U.S. SOUTHERN COMMAND,NULL,2096875.0000,39
2001,Defense,Army,ORG-2854,BT39,U.S. ARMY FIELD ARTILLERY CENTER,NULL,65969910.0000,343
2001,Defense,Army,ORG-2854,BT60,TRADOC CONTRACTING ACTIVITY,NULL,250989947.0000,762
2001,Defense,Army,ORG-2855,JA89,RCO WUERZBURG,NULL,60855325.0000,359
2001,Defense,Army,ORG-2856,DW34,"MDW, FORT A. P. HILL",NULL,3929458.0000,208
2001,Defense,Army,ORG-2856,DW36,FORT MEADE DIR. OF CONTRACTING,NULL,28452451.0000,589
2001,Defense,Army,ORG-2856,DW49,NATIONAL DEFENSE UNIVERSITY,NULL,20514277.0000,284
2001,Defense,Army,ORG-2863,KF10,DIRECTORATE OF CONTRACTING,NULL,36886078.0000,316
2001,Defense,Army,ORG-2869,HA07,USPFO FOR DELAWARE,NULL,1975949.0000,26
2001,Defense,Army,ORG-2869,HA22,USPFO FOR MISSISSIPPI,NULL,10982897.0000,143
2001,Defense,Army,ORG-2869,HA45,USPFO FOR WASHINGTON,NULL,4204281.0000,79
2001,Defense,Army,ORG-2872,CA25,"USA ENGINEER DISTRICT, ROCK",NULL,11082674.0000,48
2001,Defense,Army,ORG-2872,CA45,"USA ENGINEER DISTRICT, OMAHA",NULL,285000658.0000,1433
2001,Defense,Army,ORG-2872,CA56,"USA ENGINEER DISTRICT, TULSA",NULL,108282658.0000,317
2001,Defense,Army,ORG-2872,CA87,U.S. ARMY ENGINEER AND SUPPORT,NULL,579124692.0000,1370
2001,Defense,Army,ORG-2877,AA33,USA COMBAT EQUIPMENT GROUP-ASIA,NULL,234296.0000,6
2001,Defense,Army,ORG-2877,AB07,USA COMMUNICATIONS-ELECTRONICS,NULL,4299828563.0000,4717
2001,Defense,Army,ORG-2877,AE20,TACOM ROCK ISLAND,NULL,438271194.0000,925
2001,Defense,Army,ORG-2880,SC02,NATIONAL GROUND INTELLIGENCE CTR,NULL,10330331.6181,126
2001,Defense,Navy,ORG-2936,A8050,"NAVAL AIR WARFARE CENTER, AIRCRA",NULL,304140752.0000,1030
2001,Defense,Navy,ORG-2936,A8103,"NAVAL AIR WARFARE CENTER, AIRCRA",NULL,17922957.0000,68
2001,Defense,Navy,ORG-2936,A8106,"NAVAL AIR WARFARE CENTER, AIRCRA",NULL,57044637.0000,185
2001,Defense,Navy,ORG-2936,A8110,"NAVAL AIR WARFARE CENTER, AIRCRA",NULL,30810689.0000,54
2001,Defense,Navy,ORG-2936,A8111,"NAVAL AIR WARFARE CENTER, AIRCRA",NULL,16505826.0000,80
2001,Defense,Navy,ORG-2936,A8304,NAVAL AIR WARFARE CENTER TRAININ,NULL,219090496.0000,401
2001,Defense,Navy,ORG-2936,A8451,"NAVAL AIR WARFARE CENTER, WEAPON",NULL,114251805.0000,188
2001,Defense,Navy,ORG-2936,A8454,"NAVAL AIR WARFARE CENTER, WEAPON",NULL,27607642.0000,184
2001,Defense,Navy,ORG-2936,AA410,NAVAL AIR SYSTEMS COMMAND,NULL,48348715.0000,42
2000,Defense,Navy,ORG-2941,BW21F,NAVAL SURFACE WARFARE CENTER CAR,NULL,120326684.0000,574
2000,Defense,Navy,ORG-2941,BW24A,"NAVAL UNDERSEA WARFARE CENTER, N",NULL,259764252.0000,2049
2000,Defense,Navy,ORG-2941,BZ006,NAVAL SEA SYSTEMS COMMAND,NULL,772032503.0000,443
2000,Defense,Navy,ORG-2941,BZ009,NAVAL SEA SYSTEMS COMMAND,NULL,37894194.0000,130
2000,Defense,Navy,ORG-2943,F7004,MARINE CORPS LOGISTICS BASE,NULL,132766959.0000,395
2000,Defense,Navy,ORG-2944,D710F,SPACE AND NAVAL WARFARE SYSTEMS,NULL,63554780.0000,439
2000,Defense,Navy,ORG-2944,D910K,SPACE & NAVAL WARFARE SYSTEMS,NULL,1350680.0000,15
2000,Defense,Navy,ORG-2944,D990A,NAVY MANAGEMENT SYSTEMS SUPPORT,NULL,2211665.0000,18
2000,Defense,Navy,ORG-2945,E3410,NAVAL RESEARCH LABORATORY,NULL,24005002.0000,376
2000,Defense,Navy,ORG-2945,E612A,"OFFICE OF NAVAL RESEARCH, HEADQU",NULL,97454329.0000,288
2000,DHS,COAST GUARD,NULL,NULL,NULL,NULL,2522197.5894,37
2000,Energy,Energy,NULL,NULL,NULL,NULL,20644542574.9826,6414
2000,Other Agencies,Education,NULL,NULL,NULL,NULL,903276784.7266,1265
2000,Other Agencies,EPA,NULL,NULL,NULL,NULL,1010219209.8518,7370
2000,Other Agencies,FEDERAL MARITIME COMMISSION,NULL,NULL,NULL,NULL,238000.0000,6
2000,Other Agencies,Interior,NULL,NULL,NULL,NULL,1882902324.8708,13539
2000,Other Agencies,INTERNATIONAL TRADE COMMISSION,NULL,NULL,NULL,NULL,3163000.0000,51
2000,Other Agencies,NATIONAL LABOR RELATIONS BOARD,NULL,NULL,NULL,NULL,6601000.0000,39
2000,Other Agencies,NATIONAL MEDIATION BOARD,NULL,NULL,NULL,NULL,1689000.0000,197
2000,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,NULL,NULL,NULL,NULL,207109601.2896,2963
2000,Other Agencies,VA,NULL,NULL,NULL,NULL,3896271906.4051,21857
2000,State and IAP,USAID,NULL,NULL,NULL,NULL,536260037.2168,899
2001,Defense,Air Force,ORG-2825,GC200,DOD/DEPARTMENT OF THE AIR FORCE,NULL,1476523.0000,5
2001,Defense,Air Force,ORG-2825,GD70,OC-ALC/LCD (KC135),NULL,208713737.0000,168
2001,Defense,Air Force,ORG-2825,GD90,OC-ALC/LKD (CLS AIRCRAFT),NULL,522041751.0000,260
2001,Defense,Air Force,ORG-2825,GE10,OGDEN ALC/PK,NULL,89417001.0000,72
2001,Defense,Air Force,ORG-2825,GE39,OO-ALC/PKGF/LGKFD,NULL,80134488.0000,131
2001,Defense,Air Force,ORG-2825,GG010,DOD/DEPARTMENT OF THE AIR FORCE,NULL,0.0000,1
2001,Defense,Air Force,ORG-2825,GJ000,DOD/DEPARTMENT OF THE AIR FORCE,NULL,19644940.0000,1
2001,Defense,Air Force,ORG-2825,GJ050,DOD/DEPARTMENT OF THE AIR FORCE,NULL,7156990.0000,2
2001,Defense,Air Force,ORG-2825,GM12,AAC/YUK,NULL,291096158.0000,33
2001,Defense,Air Force,ORG-2825,GM14,AAC/YAK,NULL,326231065.0000,46
2001,Defense,Air Force,ORG-2825,GS05,DET 8 AFRL/PK (SUPPORTS VS),NULL,114167128.0000,483
2001,Defense,Air Force,ORG-2825,GU22,ASC/YSK,NULL,219512860.0000,78
2001,Defense,Air Force,ORG-2825,GU400,DOD/DEPARTMENT OF THE AIR FORCE,NULL,155680642.0000,2
2001,Defense,Air Force,ORG-2825,GU47,ASC/YTK,NULL,371524650.0000,90
2001,Defense,Air Force,ORG-2825,GU50,ASC/CDSK,NULL,64942349.0000,253
2001,Defense,Air Force,ORG-2825,GV01,ESC/PK  ELECTRONICS SYSTEM CTR,NULL,15400680.0000,55
2001,Defense,Air Force,ORG-2825,GV40,ESC/IYK,NULL,69674445.0000,161
2001,Defense,Air Force,ORG-2825,GV470,DOD/DEPARTMENT OF THE AIR FORCE,NULL,5250000.0000,1
2001,Defense,Air Force,ORG-2825,GV580,DOD/DEPARTMENT OF THE AIR FORCE,NULL,0.0000,0
2001,Defense,Air Force,ORG-2825,GW04,HSW/PKS,NULL,47708551.0000,110
2001,Defense,Air Force,ORG-2825,GY04,AEDC/PKM OPER CONTRACT DIVISION,NULL,213350309.0000,67
2001,Defense,Air Force,ORG-2834,GZ09,SMC/PKW,NULL,165945819.0000,86
2001,Defense,Air Force,ORG-2834,GZ39,SMC/PKZ DEFENSE SUPPORT SYSTEMS,NULL,846754492.0000,65
2001,Defense,Air Force,ORG-2834,GZ74,SMC/LRSW,NULL,709832377.0000,95
2001,Defense,Air Force,ORG-2837,DA17,"700 CONS/LGC  ROB, GERMANY",1,209548.0000,1
2001,Defense,Air Force,ORG-2843,JA040,DOD/DEPARTMENT OF THE AIR FORCE,NULL,0.0000,0
2001,Defense,Air Force,ORG-2844,QA080,DOD/DEPARTMENT OF THE AIR FORCE,NULL,0.0000,0
2001,Defense,Air Force,ORG-2844,QA24,319 CONS/LGC,NULL,31392033.0000,249
2001,Defense,Air Force,ORG-2844,QA270,DOD/DEPARTMENT OF THE AIR FORCE,NULL,11158667.0000,1
2001,Defense,Army,ORG-2848,PC01,"U.S. ARMY, PACIFIC",NULL,34867.0000,1
2001,Defense,Army,ORG-2854,BT11,U.S. ARMY SIGNAL CENTER & FORT,NULL,61631877.0000,264
2001,Defense,Army,ORG-2869,HA01,USPFO FOR ALABAMA,NULL,5710539.0000,96
2001,Defense,Army,ORG-2869,HA12,USPFO FOR INDIANA,NULL,5461419.0000,94
2001,Defense,Army,ORG-2869,HA14,USPFO FOR KANSAS,NULL,21584381.0000,137
2001,Defense,Army,ORG-2869,HA15,USPFO FOR KENTUCKY,NULL,2139757.0000,37
2001,Defense,Army,ORG-2869,HA32,USPFO FOR NORTH DAKOTA,NULL,3265933.0000,45
2001,Defense,Army,ORG-2869,HA36,USPFO FOR PENNSYLVANIA,NULL,18426329.0000,170
2001,Defense,Navy,ORG-2937,VN506,NAVAL HOSPITAL,NULL,898005.0000,15
2001,Defense,Navy,ORG-2937,WE704,NAVAL FACILITIES ENGINEERING COM,NULL,38812.0000,1
2001,Defense,Navy,ORG-2937,WL623,NAVAL AIR RESERVE,NULL,82000.0000,1
2001,Defense,Navy,ORG-2937,WN504,NAVAL MEDICAL CENTER,NULL,11533429.0000,163
2001,Defense,Navy,ORG-2937,WR903,NMPC DET DRUG AND ALCOHOL PROGRA,NULL,3286219.0000,25
2001,Defense,Navy,ORG-2939,G0233,MILITARY SEALIFT COMMAND,NULL,49120847.0000,75
2001,Defense,Navy,ORG-2939,G0733,MILITARY SEALIFT COMMAND,NULL,26665616.4687,188
2001,Defense,Navy,ORG-2939,G308A,MILITARY SEALIFT COMMAND,NULL,309246.0000,22
2001,Defense,Navy,ORG-2939,G6077,TAGOS SUPPORT UNIT ATLANTIC,NULL,129773981.0000,17
2001,Defense,Navy,ORG-2941,BS678,SUPERVISOR SHIPBUILDING CONVERSI,NULL,429476696.0000,1919
2001,Defense,Navy,ORG-2941,BW27A,"NAVAL UNDERSEA WARFARE CENTER, K",NULL,12304848.0000,151
2001,Defense,Navy,ORG-2941,BW27B,"NAVAL UNDERSEA WARFARE CENTER, K",NULL,35448654.0000,321
2001,Defense,Navy,ORG-2942,XSP04,DCMC LOCKHEED MARTIN DEFENSE SYS,NULL,5533872.0000,75
2001,Defense,Navy,ORG-2943,F0262,MCAF QUANTICO VA,NULL,117695.0000,2
2001,Defense,Navy,ORG-2943,F7001,MARINE CORP,NULL,29474391.0000,243
2001,Defense,Navy,ORG-2944,D710C,SPACE AND NAVAL WARFARE SYSTEMS,NULL,20239712.0000,58
2001,Defense,Navy,ORG-2944,D710E,SPACE AND NAVAL WARFARE SYSTEMS,NULL,142139437.0000,667
2001,Defense,Navy,ORG-2945,E3230,NAVAL RESEARCH LABORATORY,NULL,108497812.0000,475
2001,DHS,COAST GUARD,NULL,NULL,NULL,NULL,9203782.0971,130
2001,Other Agencies,VA,NULL,NULL,NULL,1,0.0000,1
2001,State and IAP,PEACE CORPS,NULL,NULL,NULL,NULL,34235064.0000,213
2001,State and IAP,USAID,NULL,NULL,NULL,NULL,867949550.5977,1965
2002,Defense,Air Force,ORG-2825,GC10,ASC/PKW,NULL,154012482.0000,319
2002,Defense,Air Force,ORG-2825,GD300,DOD/DEPARTMENT OF THE AIR FORCE,NULL,11615750.0000,3
2002,Defense,Air Force,ORG-2825,GD60,OKLAHOMA CITY ALC/LPD,NULL,1522681448.0000,1570
2002,Defense,Air Force,ORG-2825,GE30,OO-ALC/PKGF/LGKF,NULL,104299004.0000,328
2002,Defense,Air Force,ORG-2825,GE35,OO-ALC/PKC/LCK,NULL,92228804.0000,190
2002,Defense,Air Force,ORG-2825,GE470,DOD/DEPARTMENT OF THE AIR FORCE,NULL,0.0000,1
2002,Defense,Air Force,ORG-2825,GE60,OO-ALC/PKGA/LGKAC,NULL,-7250891.0000,11
2002,Defense,Air Force,ORG-2825,GJ050,DOD/DEPARTMENT OF THE AIR FORCE,NULL,3667500.0000,1
