"SourceFiscalYear","AccountDSI","Account","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","StateCountry","StateCountryTitle","FacilityCategoryTitle","LocationTitle","FiscalYear","Project.Title","BudgetMetric","OriginType","EnactedType","PBtotal","PBtype","EnactedTotal","Classified","ConstructionProjectTitle","ConstructionProject","ActualTotal"
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","AIRBORNE","2010","Waste Management Area","TOAamount","Base",,,5600,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","WOLVERINE","2010","DINING FACILITY","TOAamount","Base",,,4350,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","WOLVERINE","2010","Fuel System, Ph 1","TOAamount","Base",,,5800,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","WOLVERINE","2010","Waste Management Complex","TOAamount","Base",,,6900,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","DWYER","2010","Fuel System, Ph 1","TOAamount","Base",,,5800,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","DWYER","2010","Waste Management Complex","TOAamount","Base",,,6900,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","DWYER","2010","DINING FACILITY","TOAamount","Base",,,6600,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","DWYER","2010","Fuel Storage System","TOAamount","Base",,,13600,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","SALERNO","2010","Waste Management Complex","TOAamount","Base",,,5500,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ELECTRIC POWER SOURCE","SALERNO","2010","Electrical Distribution Grid","TOAamount","Base",,,2600,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","SALERNO","2010","Fuel System, Ph 1","TOAamount","Base",,,12800,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","SALERNO","2010","DINING FACILITY","TOAamount","Base",,,4300,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD RUNWAYS","SALERNO","2010","Runway Upgrade","TOAamount","Base",,,25000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","ASADABAD","2010","Waste Management Area","TOAamount","Base",,,5500,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","BOSTICK","2010","Waste Management Area","TOAamount","Base",,,5500,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","METHAR-LAM","2010","Waste Management Area","TOAamount","Base",,,4150,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD RUNWAYS","GARDEZ","2010","Tactical Runway","TOAamount","Base",,,28000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","GARDEZ","2010","DINING FACILITY","TOAamount","Base",,,2200,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","GARDEZ","2010","Fuel System, Ph 1","TOAamount","Base",,,6000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","FRONTENAC","2010","DINING FACILITY","TOAamount","Base",,,2200,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","BLESSING","2010","Waste Management Area","TOAamount","Base",,,5600,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","JALALABAD","2010","DINING FACILITY","TOAamount","Base",,,4350,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","DEPOT & ARSENAL AMMUNITION STORAGE","JALALABAD","2010","Ammunition Supply Point","TOAamount","Base",,,35000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","JALALABAD","2010","Perimeter Fence","TOAamount","Base",,,2050,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","DELARAM","2010","Waste Management Complex","TOAamount","Base",,,5600,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","DELARAM","2010","Fuel Storage & Distribution System","TOAamount","Base",,,16500,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","GROUNDS FENCING, GATES, & GUARD TOWERS","KUNDUZ","2010","Perimeter Fence and Guard Towers","TOAamount","Base",,,10400,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD APRONS","KUNDUZ","2010","Rotary Wing Apron","TOAamount","Base",,,26000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","GROUNDS FENCING, GATES, & GUARD TOWERS","MAZAR E SHARIF","2010","Perimeter Fence and Guard Towers","TOAamount","Base",,,10400,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","TRAINING FACILITIES OTHER THAN BUILDINGS","FORT RICHARDSON","2010","Airborne Sustainment Training Complex","TOAamount","Base",,,6100,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","AIRFIELD OPERATIONAL BUILDINGS","FORT RICHARDSON","2010","Training Aids Center","TOAamount","Base",,,2050,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","TRAINING RANGES","FORT RICHARDSON","2010","Combat Pistol Range","TOAamount","Base",,,4900,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","FORT RICHARDSON","2010","Warrior in Transition Complex","TOAamount","Base",,,43000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","RAILROAD TRACKS","FORT WAINWRIGHT","2010","Railhead Complex","TOAamount","Base",,,26000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","AIRFIELD OPERATIONAL BUILDINGS","FORT WAINWRIGHT","2010","Aviation Unit Operations Complex","TOAamount","Base",,,19000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","FORT WAINWRIGHT","2010","Aviation Task Force Complex, Ph 1","TOAamount","Base",,,95000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","FORT WAINWRIGHT","2010","Warrior in Transition Complex","TOAamount","Base",,,28000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AL","ALABAMA","ELECTRIC POWER TRANSMISSION & DIST LINES","ANNISTON ARMY DEPOT","2010","Underground Electric Lines","TOAamount","Base",,,3300,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AL","ALABAMA","AIRFIELD OPERATIONAL BUILDINGS","REDSTONE ARSENAL","2010","Gate 7 Access Control Point","TOAamount","Base",,,3550,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AR","ARKANSAS","DEPOT & ARSENAL AMMUNITION STORAGE","PINE BLUFF ARSENAL","2010","Fuse & Detonator Magazine, Depot Level","TOAamount","Base",,,25000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AZ","ARIZONA","SAFETY, DISP, & REHAB FAC","FORT HUACHUCA","2010","Fire Station","TOAamount","Base",,,6700,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AZ","ARIZONA","TRAINING BUILDINGS","FORT HUACHUCA","2010","UAV ER/MPEr/Mp","TOAamount","Base",,,15000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AZ","ARIZONA","AIRFIELD OPERATIONAL BUILDINGS","FORT HUACHUCA","2010","Battalion Headquarters Uav","TOAamount","Base",,,6000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","BE","BELGIUM","ADMIN BLDGS","BRUSSELS","2010","NATO SOF Operational Support","TOAamount","Base",,,20000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","TRAINING RANGES","FORT IRWIN","2010","MOUT Assault Course, Ph 4","TOAamount","Base",,,9500,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","AIRFIELD OPERATIONAL BUILDINGS","FORT CARSON, COLORADO","2010","Training Aids Center","TOAamount","Base",,,18500,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","FORT CARSON, COLORADO","2010","Brigade Complex","TOAamount","Base",,,69000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","RAILROAD TRACKS","FORT CARSON, COLORADO","2010","Railroad Tracks","TOAamount","Base",,,14000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","FORT CARSON, COLORADO","2010","Warrior in Transition (WT) Complex","TOAamount","Base",,,56000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","TRAINING RANGES","FORT CARSON, COLORADO","2010","Automated Qualification Training Range","TOAamount","Base",,,11000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","TRAINING RANGES","FORT CARSON, COLORADO","2010","Modified Record Fire Range","TOAamount","Base",,,4450,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","TRAINING RANGES","FORT CARSON, COLORADO","2010","Automated Multipurpose Machine Gun Range","TOAamount","Base",,,7400,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","TRAINING RANGES","FORT CARSON, COLORADO","2010","Scout/RECCE Gunnery Complex","TOAamount","Base",,,16000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","TRAINING RANGES","FORT CARSON, COLORADO","2010","Urban Assault Course","TOAamount","Base",,,3100,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","TRAINING FACILITIES OTHER THAN BUILDINGS","FORT CARSON, COLORADO","2010","Convoy Live Fire Range","TOAamount","Base",,,6500,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","RETAIL SALE & SERVICES FAC","FORT CARSON, COLORADO","2010","Commissary","TOAamount","Base",,,35000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","FORT CARSON, COLORADO","2010","Barracks & Dining, Increment 2","TOAamount","Base",,,60000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","FL","FLORIDA","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","EGLIN AFB","2010","Operations Complex, Ph 3","TOAamount","Base",,,80000,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","FL","FLORIDA","TRAINING BUILDINGS","EGLIN AFB","2010","Indoor Firing Range","TOAamount","Base",,,8900,,,,,
2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","FL","FLORIDA","TRAINING RANGES","EGLIN AFB","2010","Live Fire Exercise Shoothouse","TOAamount","Base",,,8000,,,,,
