"SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivity","BudgetSubActivityTitle","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype","SpecialTotal","SpecialType","IncludeInTOA","AddOrNonAdd"
2012,"2010A","Military Personnel, Army","ARMY","03","Pay And Allowances Of Cadets/Midshipmen","110","Academy Cadets ","U",2010,"Total",73317,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","04","Subsistence Of Enlisted Personnel","115","Basic Allowance For Subsistence ","U",2010,"Total",1767062,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","04","Subsistence Of Enlisted Personnel","120","Subsistence-In-Kind ","U",2010,"Total",2522177,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","04","Subsistence Of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2010,"Total",1302,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","125","Accession Travel ","U",2010,"Total",209257,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","130","Training Travel ","U",2010,"Total",167911,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","135","Operational Travel  ","U",2010,"Total",499406,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","140","Rotational Travel  ","U",2010,"Total",722099,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","145","Separation Travel ","U",2010,"Total",223708,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","150","Travel Of Organized Units ","U",2010,"Total",14837,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","155","Non-Temporary Storage ","U",2010,"Total",10392,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","160","Temporary Lodging Expense ","U",2010,"Total",41003,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","170","Apprehension Of Military Deserters ","U",2010,"Total",1019,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","175","Interest On Uniformed Services Savings ","U",2010,"Total",16648,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","180","Death Gratuities ","U",2010,"Total",94100,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2010,"Total",522139,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","190","Survivor Benefits ","U",2010,"Total",0,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","195","Education Benefits ","U",2010,"Total",45372,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2010,"Total",534,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2010,"Total",14323,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","212","Reserve Income Replacement Program","U",2010,"Total",728,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2010,"Total",330,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2010,"Total",138223,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","U",2010,"Total",104314,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","218","Junior ROTC","U",2010,"Total",38119,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","219","Tramatic Injury Protection Coverage (T-SGLI)","U",2010,"Total",43012,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","221","Stop-Loss Retroactive Payments","U",2010,"Total",204441,,,,,,,,
2012,"2010A","Military Personnel, Army","ARMY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2010,"Total",0,,,,,,,,
2012,"2010A","Military Personnel, Army","","","Less Reimbursables","","Less Reimbursables","U",2010,"Total",-232047,,,,,,,,
2012,"1004A","MEDICARE - Retiree Health Care Contribution , A","ARMY","01","Pay And Allowances Of Officers","300","Military Personnel, Army","U",2010,"Total",520994,,,,,,,,
2012,"1004A","MEDICARE - Retiree Health Care Contribution , A","ARMY","02","Pay And Allowances Of Enlisted","300","Military Personnel, Army","U",2010,"Total",2602626,,,,,,,,
2012,"1004A","MEDICARE - Retiree Health Care Contribution , A","ARMY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2010,"Total",0,,,,,,,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2010,"Total",1354471,,,,,,,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","20","Pay Group B Training  (Backfill For Act Duty)","U",2010,"Total",35250,,,,,,,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","30","Pay Group F Training  (Recruits)","U",2010,"Total",285000,,,,,,,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","40","Pay Group P Training  (Pipeline Recruits)","U",2010,"Total",14300,,,,,,,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","60","Mobilization Training","U",2010,"Total",5825,,,,,,,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","70","School Training","U",2010,"Total",230436,,,,,,,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","80","Special Training","U",2010,"Total",332454,,,,,,,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","90","Administration And Support","U",2010,"Total",2114427,,,,,,,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","100","Education Benefits","U",2010,"Total",66000,,,,,,,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","120","Health Profession Scholarship","U",2010,"Total",61398,,,,,,,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","130","Other Programs","U",2010,"Total",80056,,,,,,,,
2012,"2070A","Reserve Personnel, Army","ARMY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2010,"Total",0,,,,,,,,
2012,"1005A","MEDICARE - Retiree Health Care Contribution , A RES","ARMY","01","Unit & Individual Training","300","Reserve Personnel, Army","U",2010,"Total",694313,,,,,,,,
2012,"1005A","MEDICARE - Retiree Health Care Contribution , A RES","ARMY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2010,"Total",0,,,,,,,,
2012,"2060A","National Guard Personnel, Army","ARMY","01","Unit And Individual Training","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2010,"Total",2075286,,,,,,,,
2012,"2060A","National Guard Personnel, Army","ARMY","01","Unit And Individual Training","30","Pay Group F Training  (Recruits)","U",2010,"Total",555461,,,,,,,,
2012,"2060A","National Guard Personnel, Army","ARMY","01","Unit And Individual Training","40","Pay Group P Training  (Pipeline Recruits)","U",2010,"Total",44570,,,,,,,,
2012,"2060A","National Guard Personnel, Army","ARMY","01","Unit And Individual Training","70","School Training","U",2010,"Total",604303,,,,,,,,
2012,"2060A","National Guard Personnel, Army","ARMY","01","Unit And Individual Training","80","Special Training","U",2010,"Total",1422584,,,,,,,,
2012,"2060A","National Guard Personnel, Army","ARMY","01","Unit And Individual Training","90","Administration And Support","U",2010,"Total",3723884,,,,,,,,
2012,"2060A","National Guard Personnel, Army","ARMY","01","Unit And Individual Training","100","Education Benefits","U",2010,"Total",160460,,,,,,,,
2012,"2060A","National Guard Personnel, Army","ARMY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2010,"Total",0,,,,,,,,
2012,"1006A","MEDICARE - Retiree Health Care Contribution , A GUARD","ARMY","01","Unit & Individual Training","300","National Guard Personnel, Army","U",2010,"Total",1216585,,,,,,,,
2012,"1006A","MEDICARE - Retiree Health Care Contribution , A GUARD","ARMY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2010,"Total",0,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","5","Basic Pay ","U",2010,"Total",3810770,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","10","Retired Pay Accrual ","U",2010,"Total",1211185,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","25","Basic Allowance For Housing","U",2010,"Total",1289045,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","30","Basic Allowance For Subsistence ","U",2010,"Total",145013,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","35","Incentive Pays     ","U",2010,"Total",154243,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","40","Special Pays       ","U",2010,"Total",405260,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","45","Allowances          ","U",2010,"Total",133400,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","50","Separation Pay      ","U",2010,"Total",26187,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","55","Social Security Tax  ","U",2010,"Total",287564,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","60","Basic Pay ","U",2010,"Total",8503125,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","65","Retired Pay Accrual ","U",2010,"Total",2715155,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","80","Basic Allowance For Housing ","U",2010,"Total",3847291,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","85","Incentive Pays     ","U",2010,"Total",92718,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","90","Special Pays       ","U",2010,"Total",887266,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","95","Allowances         ","U",2010,"Total",616879,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","100","Separation Pay     ","U",2010,"Total",173910,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","105","Social Security Tax   ","U",2010,"Total",643378,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","03","Pay And Allowances Of Cadets/Midshipmen","110","Midshipmen ","U",2010,"Total",73431,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","04","Subsistence Of Enlisted Personnel","115","Basic Allowance For Subsistence ","U",2010,"Total",716049,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","04","Subsistence Of Enlisted Personnel","120","Subsistence-In-Kind ","U",2010,"Total",402667,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","04","Subsistence Of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2010,"Total",10,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","125","Accession Travel ","U",2010,"Total",93602,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","130","Training Travel ","U",2010,"Total",97408,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","135","Operational Travel  ","U",2010,"Total",256555,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","140","Rotational Travel  ","U",2010,"Total",374551,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","145","Separation Travel ","U",2010,"Total",136405,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","150","Travel Of Organized Units ","U",2010,"Total",26311,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","155","Non-Temporary Storage ","U",2010,"Total",1473,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","160","Temporary Lodging Expense ","U",2010,"Total",10374,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","165","Other ","U",2010,"Total",8227,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","170","Apprehension Of Military Deserters ","U",2010,"Total",247,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","175","Interest On Uniformed Services Savings ","U",2010,"Total",1657,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","180","Death Gratuities ","U",2010,"Total",16300,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2010,"Total",187252,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","195","Education Benefits ","U",2010,"Total",24635,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2010,"Total",280,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2010,"Total",9896,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2010,"Total",75,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2010,"Total",60281,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","U",2010,"Total",24936,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","218","Junior R.O.T.C","U",2010,"Total",11869,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","227","Stop-Loss Retroactive Payments","U",2010,"Total",213,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","228","Preventive Health Allowance Demonstration Project","U",2010,"Total",0,,,,,,,,
2012,"1453N","Military Personnel, Navy","NAVY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2010,"Total",0,,,,,,,,
2012,"1453N","Military Personnel, Navy","","","Less Reimbursables","","Less Reimbursables","U",2010,"Total",-306206,,,,,,,,
2012,"1000N","MEDICARE - Retiree Health Care Contribution , N","NAVY","01","Pay And Allowances Of Officers","300","Navy","U",2010,"Total",292617,,,,,,,,
2012,"1000N","MEDICARE - Retiree Health Care Contribution , N","NAVY","02","Pay And Allowances Of Enlisted","300","Navy","U",2010,"Total",1533044,,,,,,,,
2012,"1000N","MEDICARE - Retiree Health Care Contribution , N","NAVY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2010,"Total",0,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","5","Basic Pay ","U",2010,"Total",1474638,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","10","Retired Pay Accrual ","U",2010,"Total",461989,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","25","Basic Allowance For Housing ","U",2010,"Total",466025,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","30","Basic Allowance For Subsistence ","U",2010,"Total",59176,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","35","Incentive Pays     ","U",2010,"Total",49191,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","40","Special Pays       ","U",2010,"Total",23716,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","45","Allowances          ","U",2010,"Total",45489,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","50","Separation Pay      ","U",2010,"Total",13579,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","55","Social Security Tax  ","U",2010,"Total",112317,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","60","Basic Pay ","U",2010,"Total",5031946,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","65","Retired Pay Accrual ","U",2010,"Total",1579813,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","80","Basic Allowance For Housing ","U",2010,"Total",1740131,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","85","Incentive Pays     ","U",2010,"Total",9773,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","90","Special Pays       ","U",2010,"Total",381725,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","95","Allowances         ","U",2010,"Total",356935,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","100","Separation Pay     ","U",2010,"Total",69872,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","105","Social Security Tax   ","U",2010,"Total",384379,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence Of Enlisted Personnel","115","Basic Allowance For Subsistence ","U",2010,"Total",484266,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence Of Enlisted Personnel","120","Subsistence-In-Kind ","U",2010,"Total",263033,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence Of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2010,"Total",5,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","125","Accession Travel ","U",2010,"Total",59333,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","130","Training Travel ","U",2010,"Total",9907,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","135","Operational Travel  ","U",2010,"Total",225308,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","140","Rotational Travel  ","U",2010,"Total",119102,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","145","Separation Travel ","U",2010,"Total",84683,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","150","Travel Of Organized Units ","U",2010,"Total",66,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","155","Non-Temporary Storage ","U",2010,"Total",6236,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","160","Temporary Lodging Expense ","U",2010,"Total",13667,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","165","Other ","U",2010,"Total",5654,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","170","Apprehension Of Military Deserters ","U",2010,"Total",1358,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","175","Interest On Uniformed Services Savings ","U",2010,"Total",1370,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","180","Death Gratuities ","U",2010,"Total",29000,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2010,"Total",139974,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","195","Education Benefits ","U",2010,"Total",3784,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2010,"Total",70,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2010,"Total",3620,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2010,"Total",152,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2010,"Total",39012,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","218","Junior R.O.T.C","U",2010,"Total",6593,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","227","Stop-Loss Retroactive Payments","U",2010,"Total",9584,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","228","Preventive Health Allowance Demonstration Project","U",2010,"Total",0,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2010,"Total",0,,,,,,,,
2012,"1105N","Military Personnel, Marine Corps","","","Less Reimbursables","","Less Reimbursables","U",2010,"Total",-15317,,,,,,,,
2012,"1001N","MEDICARE - Retiree Health Care Contribution ,MC","NAVY","01","Pay And Allowances Of Officers","300","Marine Corps","U",2010,"Total",118171,,,,,,,,
2012,"1001N","MEDICARE - Retiree Health Care Contribution ,MC","NAVY","02","Pay And Allowances Of Enlisted","300","Marine Corps","U",2010,"Total",1017975,,,,,,,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2010,"Total",604122,,,,,,,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","20","Pay Group B Training  (Backfill For Active Duty)","U",2010,"Total",7657,,,,,,,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","30","Pay Group F Training  (Recruits)","U",2010,"Total",41977,,,,,,,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","60","Mobilization Training","U",2010,"Total",8325,,,,,,,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","70","School Training","U",2010,"Total",49554,,,,,,,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","80","Special Training","U",2010,"Total",143119,,,,,,,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","90","Administration And Support","U",2010,"Total",1036454,,,,,,,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","100","Education Benefits","U",2010,"Total",3771,,,,,,,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","120","Health Profession Scholarship","U",2010,"Total",49322,,,,,,,,
2012,"1405N","Reserve Personnel, Navy","NAVY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2010,"Total",0,,,,,,,,
2012,"1002N","MEDICARE - Retiree Health Care Contribution , N RES","NAVY","01","Unit & Individual Training","300","Reserve Personnel, Navy","U",2010,"Total",234278,,,,,,,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2010,"Total",203196,,,,,,,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","20","Pay Group B Training  (Backfill For Act Duty)","U",2010,"Total",35277,,,,,,,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","30","Pay Group F Training  (Recruits)","U",2010,"Total",117660,,,,,,,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","60","Mobilization Training","U",2010,"Total",3604,,,,,,,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","70","School Training","U",2010,"Total",20835,,,,,,,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","80","Special Training","U",2010,"Total",47894,,,,,,,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","90","Administration And Support","U",2010,"Total",217230,,,,,,,,
