"","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivity","BudgetSubActivityTitle","IncludeInTOA","IncludeInTOA","Classified","variable","value"
"33","2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","185","Unemployment Benefits","Y","Y","U","Add/.Non-Add","Add"
"34","2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","195","Education Benefits","Y","Y","U","Add/.Non-Add","Add"
"35","2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","200","Adoption Expenses","Y","Y","U","Add/.Non-Add","Add"
"36","2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","210","Transportation Subsidy","Y","Y","U","Add/.Non-Add","Add"
"37","2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance","Y","Y","U","Add/.Non-Add","Add"
"38","2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","Y","Y","U","Add/.Non-Add","Add"
"39","2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","Y","Y","U","Add/.Non-Add","Add"
"40","2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","218","Junior ROTC","Y","Y","U","Add/.Non-Add","Add"
"41","2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","219","Traumatic Injury Protection Coverage (T-SGLI)","Y","Y","U","Add/.Non-Add","Add"
"42","2010A","Military Personnel, Army","ARMY",NA,"Less Reimbursables",NA,"Less Reimbursables","N","N","U","Add/.Non-Add","Add"
"43","1004A","MEDICARE - Retiree Health Care Contribution, A","ARMY","01","Health Care Contribution - Officers","300","Military Personnel, Army","Y","Y","U","Add/.Non-Add","Add"
"44","1004A","MEDICARE - Retiree Health Care Contribution, A","ARMY","02","Health Care Contribution - Enlisted","300","Military Personnel, Army","Y","Y","U","Add/.Non-Add","Add"
"45","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","Y","Y","U","Add/.Non-Add","Add"
"46","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","Y","Y","U","Add/.Non-Add","Add"
"47","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","Y","Y","U","Add/.Non-Add","Add"
"48","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","040","Pay Group P Training  (Pipeline Recruits)","Y","Y","U","Add/.Non-Add","Add"
"49","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","060","Mobilization Training","Y","Y","U","Add/.Non-Add","Add"
"50","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","070","School Training","Y","Y","U","Add/.Non-Add","Add"
"51","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","080","Special Training","Y","Y","U","Add/.Non-Add","Add"
"52","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","090","Administration and Support","Y","Y","U","Add/.Non-Add","Add"
"53","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","100","Education Benefits","Y","Y","U","Add/.Non-Add","Add"
"54","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","120","Health Profession Scholarship","Y","Y","U","Add/.Non-Add","Add"
"55","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","130","Other Programs (Admin & Support)","Y","Y","U","Add/.Non-Add","Add"
"56","1005A","MEDICARE - Retiree Health Care Contribution, A RES","ARMY","01","Health Care Contribution - Reserve Component","300","Reserve Personnel, Army","Y","Y","U","Add/.Non-Add","Add"
"57","2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","Y","Y","U","Add/.Non-Add","Add"
"58","2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","Y","Y","U","Add/.Non-Add","Add"
"59","2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","040","Pay Group P Training  (Pipeline Recruits)","Y","Y","U","Add/.Non-Add","Add"
"60","2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","070","School Training","Y","Y","U","Add/.Non-Add","Add"
"61","2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","080","Special Training","Y","Y","U","Add/.Non-Add","Add"
"62","2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","090","Administration and Support","Y","Y","U","Add/.Non-Add","Add"
"63","2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","100","Education Benefits","Y","Y","U","Add/.Non-Add","Add"
"64","1006A","MEDICARE - Retiree Health Care Contribution, A GUARD","ARMY","01","Health Care Contribution - Reserve Component","300","National Guard Personnel, Army","Y","Y","U","Add/.Non-Add","Add"
"65","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","005","Basic Pay","Y","Y","U","Add/.Non-Add","Add"
"66","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","010","Retired Pay Accrual","Y","Y","U","Add/.Non-Add","Add"
"67","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","Y","Y","U","Add/.Non-Add","Add"
"68","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","Y","Y","U","Add/.Non-Add","Add"
"69","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","035","Incentive Pays","Y","Y","U","Add/.Non-Add","Add"
"70","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","040","Special Pays","Y","Y","U","Add/.Non-Add","Add"
"71","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","045","Allowances","Y","Y","U","Add/.Non-Add","Add"
"72","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","050","Separation Pay","Y","Y","U","Add/.Non-Add","Add"
"73","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","055","Social Security Tax","Y","Y","U","Add/.Non-Add","Add"
"74","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","060","Basic Pay","Y","Y","U","Add/.Non-Add","Add"
"75","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","065","Retired Pay Accrual","Y","Y","U","Add/.Non-Add","Add"
"76","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","080","Basic Allowance for Housing","Y","Y","U","Add/.Non-Add","Add"
"77","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","085","Incentive Pays","Y","Y","U","Add/.Non-Add","Add"
"78","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","090","Special Pays","Y","Y","U","Add/.Non-Add","Add"
"79","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","095","Allowances","Y","Y","U","Add/.Non-Add","Add"
"80","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","100","Separation Pay","Y","Y","U","Add/.Non-Add","Add"
"81","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","105","Social Security Tax","Y","Y","U","Add/.Non-Add","Add"
"82","1453N","Military Personnel, Navy","NAVY","03","Pay And Allowances Of Cadets","110","Midshipmen","Y","Y","U","Add/.Non-Add","Add"
"83","1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","Y","Y","U","Add/.Non-Add","Add"
"84","1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind","Y","Y","U","Add/.Non-Add","Add"
"85","1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance","Y","Y","U","Add/.Non-Add","Add"
"86","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","125","Accession Travel","Y","Y","U","Add/.Non-Add","Add"
"87","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","130","Training Travel","Y","Y","U","Add/.Non-Add","Add"
"88","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","135","Operational Travel","Y","Y","U","Add/.Non-Add","Add"
"89","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","140","Rotational Travel","Y","Y","U","Add/.Non-Add","Add"
"90","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","145","Separation Travel","Y","Y","U","Add/.Non-Add","Add"
"91","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","150","Travel of Organized Units","Y","Y","U","Add/.Non-Add","Add"
"92","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","155","Non-Temporary Storage","Y","Y","U","Add/.Non-Add","Add"
"93","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense","Y","Y","U","Add/.Non-Add","Add"
"94","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","Y","Y","U","Add/.Non-Add","Add"
"95","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","Y","Y","U","Add/.Non-Add","Add"
"96","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","180","Death Gratuities","Y","Y","U","Add/.Non-Add","Add"
"97","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits","Y","Y","U","Add/.Non-Add","Add"
"98","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","195","Education Benefits","Y","Y","U","Add/.Non-Add","Add"
"99","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses","Y","Y","U","Add/.Non-Add","Add"
"100","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy","Y","Y","U","Add/.Non-Add","Add"
"101","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","212","Reserve Income Replacement Program","Y","Y","U","Add/.Non-Add","Add"
"102","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance","Y","Y","U","Add/.Non-Add","Add"
"103","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","Y","Y","U","Add/.Non-Add","Add"
"104","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","Y","Y","U","Add/.Non-Add","Add"
"105","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","218","Junior ROTC","Y","Y","U","Add/.Non-Add","Add"
"106","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","240","Cancelled Account Payment","Y","Y","U","Add/.Non-Add","Add"
"107","1453N","Military Personnel, Navy","NAVY",NA,"Less Reimbursables",NA,"Less Reimbursables","N","N","U","Add/.Non-Add","Add"
"108","1000N","MEDICARE - Retiree Health Care Contribution, N","NAVY","01","Health Care Contribution - Officers","300","Navy","Y","Y","U","Add/.Non-Add","Add"
"109","1000N","MEDICARE - Retiree Health Care Contribution, N","NAVY","02","Health Care Contribution - Enlisted","300","Navy","Y","Y","U","Add/.Non-Add","Add"
"110","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","005","Basic Pay","Y","Y","U","Add/.Non-Add","Add"
"111","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","010","Retired Pay Accrual","Y","Y","U","Add/.Non-Add","Add"
"112","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","Y","Y","U","Add/.Non-Add","Add"
"113","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","Y","Y","U","Add/.Non-Add","Add"
"114","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","035","Incentive Pays","Y","Y","U","Add/.Non-Add","Add"
"115","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","040","Special Pays","Y","Y","U","Add/.Non-Add","Add"
"116","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","045","Allowances","Y","Y","U","Add/.Non-Add","Add"
"117","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","050","Separation Pay","Y","Y","U","Add/.Non-Add","Add"
"118","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","055","Social Security Tax","Y","Y","U","Add/.Non-Add","Add"
"119","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","060","Basic Pay","Y","Y","U","Add/.Non-Add","Add"
"120","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","065","Retired Pay Accrual","Y","Y","U","Add/.Non-Add","Add"
"121","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","080","Basic Allowance for Housing","Y","Y","U","Add/.Non-Add","Add"
"122","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","085","Incentive Pays","Y","Y","U","Add/.Non-Add","Add"
"123","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","090","Special Pays","Y","Y","U","Add/.Non-Add","Add"
"124","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","095","Allowances","Y","Y","U","Add/.Non-Add","Add"
"125","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","100","Separation Pay","Y","Y","U","Add/.Non-Add","Add"
"126","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","105","Social Security Tax","Y","Y","U","Add/.Non-Add","Add"
"127","1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","Y","Y","U","Add/.Non-Add","Add"
"128","1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind","Y","Y","U","Add/.Non-Add","Add"
"129","1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance","Y","Y","U","Add/.Non-Add","Add"
"130","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","125","Accession Travel","Y","Y","U","Add/.Non-Add","Add"
"131","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","130","Training Travel","Y","Y","U","Add/.Non-Add","Add"
"132","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","135","Operational Travel","Y","Y","U","Add/.Non-Add","Add"
"133","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","140","Rotational Travel","Y","Y","U","Add/.Non-Add","Add"
"134","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","145","Separation Travel","Y","Y","U","Add/.Non-Add","Add"
"135","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","150","Travel of Organized Units","Y","Y","U","Add/.Non-Add","Add"
"136","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","155","Non-Temporary Storage","Y","Y","U","Add/.Non-Add","Add"
"137","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense","Y","Y","U","Add/.Non-Add","Add"
"138","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","Y","Y","U","Add/.Non-Add","Add"
"139","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","Y","Y","U","Add/.Non-Add","Add"
"140","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","180","Death Gratuities","Y","Y","U","Add/.Non-Add","Add"
"141","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits","Y","Y","U","Add/.Non-Add","Add"
"142","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","195","Education Benefits","Y","Y","U","Add/.Non-Add","Add"
"143","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses","Y","Y","U","Add/.Non-Add","Add"
"144","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy","Y","Y","U","Add/.Non-Add","Add"
"145","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance","Y","Y","U","Add/.Non-Add","Add"
"146","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","Y","Y","U","Add/.Non-Add","Add"
"147","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","218","Junior ROTC","Y","Y","U","Add/.Non-Add","Add"
"148","1105N","Military Personnel, Marine Corps","NAVY",NA,"Less Reimbursables",NA,"Less Reimbursables","N","N","U","Add/.Non-Add","Add"
"149","1001N","MEDICARE - Retiree Health Care Contribution, MC","NAVY","01","Health Care Contribution - Officers","300","Marine Corps","Y","Y","U","Add/.Non-Add","Add"
"150","1001N","MEDICARE - Retiree Health Care Contribution, MC","NAVY","02","Health Care Contribution - Enlisted","300","Marine Corps","Y","Y","U","Add/.Non-Add","Add"
"151","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","Y","Y","U","Add/.Non-Add","Add"
"152","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","Y","Y","U","Add/.Non-Add","Add"
"153","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","Y","Y","U","Add/.Non-Add","Add"
"154","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","060","Mobilization Training","Y","Y","U","Add/.Non-Add","Add"
"155","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","070","School Training","Y","Y","U","Add/.Non-Add","Add"
"156","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","080","Special Training","Y","Y","U","Add/.Non-Add","Add"
"157","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","090","Administration and Support","Y","Y","U","Add/.Non-Add","Add"
"158","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","100","Education Benefits","Y","Y","U","Add/.Non-Add","Add"
"159","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","120","Health Profession Scholarship","Y","Y","U","Add/.Non-Add","Add"
"160","1002N","MEDICARE - Retiree Health Care Contribution, N RES","NAVY","01","Health Care Contribution - Reserve Component","300","Reserve Personnel, Navy","Y","Y","U","Add/.Non-Add","Add"
"161","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","Y","Y","U","Add/.Non-Add","Add"
"162","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","Y","Y","U","Add/.Non-Add","Add"
"163","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","Y","Y","U","Add/.Non-Add","Add"
"164","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","060","Mobilization Training","Y","Y","U","Add/.Non-Add","Add"
"165","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","070","School Training","Y","Y","U","Add/.Non-Add","Add"
"166","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","080","Special Training","Y","Y","U","Add/.Non-Add","Add"
"167","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","090","Administration and Support","Y","Y","U","Add/.Non-Add","Add"
"168","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","095","Platoon Leader Class","Y","Y","U","Add/.Non-Add","Add"
"169","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","100","Education Benefits","Y","Y","U","Add/.Non-Add","Add"
"170","1003N","MEDICARE - Retiree Health Care Contribution, MC RES","NAVY","01","Health Care Contribution - Reserve Component","300","Reserve Personnel, Marine Corps","Y","Y","U","Add/.Non-Add","Add"
"171","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","005","Basic Pay","Y","Y","U","Add/.Non-Add","Add"
"172","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","010","Retired Pay Accrual","Y","Y","U","Add/.Non-Add","Add"
"173","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","Y","Y","U","Add/.Non-Add","Add"
"174","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","Y","Y","U","Add/.Non-Add","Add"
"175","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","035","Incentive Pays","Y","Y","U","Add/.Non-Add","Add"
"176","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","040","Special Pays","Y","Y","U","Add/.Non-Add","Add"
"177","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","045","Allowances","Y","Y","U","Add/.Non-Add","Add"
"178","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","050","Separation Pay","Y","Y","U","Add/.Non-Add","Add"
"179","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","055","Social Security Tax","Y","Y","U","Add/.Non-Add","Add"
"180","3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","060","Basic Pay","Y","Y","U","Add/.Non-Add","Add"
"181","3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","065","Retired Pay Accrual","Y","Y","U","Add/.Non-Add","Add"
"182","3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","080","Basic Allowance for Housing","Y","Y","U","Add/.Non-Add","Add"
"183","3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","085","Incentive Pays","Y","Y","U","Add/.Non-Add","Add"
"184","3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","090","Special Pays","Y","Y","U","Add/.Non-Add","Add"
"185","3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","095","Allowances","Y","Y","U","Add/.Non-Add","Add"
"186","3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","100","Separation Pay","Y","Y","U","Add/.Non-Add","Add"
