"","Fiscal.Year","SimpleArea","ProductOrServiceArea","Customer","ContractingSubCustomer","ContractingOfficeID","PlaceCountryText","CrisisFundingTheater","VendorPlaceType","Vendor.Size","UnmodifiedUltimateDurationCategory","OMBagencyName","OMBbureauName","treasuryagencycode","mainaccountcode","isUndefinitizedAction","OCOcrisisScore","CompetitionClassification","IsUrgency","ClassifyNumberOfOffers","IsOMBocoList","PSCOCOcrisisScore","OfficeOCOcrisisScore","MajorCommandID","IsMultipleYearProcRnD","isforeign","ContractCrisisFunding","nationalinterestactioncode","CrisisFunding","localareasetaside","ContingencyHumanitarianPeacekeepingOperation","ConHumIsOCOcrisisFunding","CCRexception","IsOCOcrisisFunding","IsARRAcrisisFunding","DecisionTree","DecisionTreeStep4","pscOCOcrisisPoint","FundingAccountOCOpoint","OfficeOCOcrisisPoint","PercentFundingAccountOCO","OfficeOCOcrisisPercentSqrt","pscOCOcrisisPercentSqrt","Action.Obligation.Then.Year","numberOfActions","CrisisFundingLegacy","Theater","International","contingencyhumanitarianpeacekeepingoperationText","CHPKisCrisisFunding","ProductServiceOrRnDarea.sum","Is.Defense","nationalinterestactioncodeText","IsHurricane","NIAcrisisFunding","SubCustomer","SAMexceptionText","SAMexception.sum","SAMcrisisFunding","SubCustomer.detail","No.Competition.Offer","Dur.Simple","Obligation.2017","NoCompOffr","dFYear","NIAlist","CrisisFunding1A","CrisisFunding1B","CrisisFunding1C","CrisisFunding2","CrisisFunding3","CrisisFunding4A","CrisisFunding4B","MultipleYearProcRnD"
"13040",2003,"Products","Electronics & Communications","Defense","Other DoD","ZT02","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Unlabeled: No competition; multiple offers",NA,"Unlabeled: No competition; multiple offers",0,0,0,NA,0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.07,13267,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Other DoD","Unlabeled","No Exception",NA,"Other DoD","Unlabeled","Unlabeled",17348.5890708437,"Unlabeled",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"13167",2005,"Services","PAMS","Defense","Navy","M00264","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Competition with single offer",NA,"One Offer",0,0,0,"ORG-2943",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.06,0.02,20000,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","1 Offer","Unlabeled",24659.5208175724,"1 Offer",2005-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"13246",2006,"Products","Electronics & Communications","Defense","Army","W912CF","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Competition with single offer (Overrode blank Fair Opportunity)",NA,"One Offer",0,0,0,"ORG-2876",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.07,5327,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","1 Offer","Unlabeled",6372.29747374148,"1 Offer",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"13705",2004,"Products","Electronics & Communications","Defense","Navy","D710F","UNITED STATES","Domestic","Domestic US","Large",NA,NA,NA,NA,NA,0,-1,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,0,"ORG-2944",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.07,297000,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Unlabeled)","Unlabeled",377978.489587774,"Unlabeled",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"14319",2006,"Services","ERS","Defense","Navy","N00244","UNITED STATES","Domestic","Domestic US","Large",NA,NA,NA,NA,NA,0,-1,"No Competition (Only One Source Exception)",0,"No competition",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.08,0.07,-110566,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Only 1 Source)","Unlabeled",-132261.956538709,"Other No",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"17055",2006,"Services","FRS&C","Defense","Navy","M00681","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Competition with single offer (Overrode blank Fair Opportunity)",NA,"One Offer",0,0,0,"ORG-2943",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.01,0.08,152573,3,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","1 Offer","Unlabeled",182511.834514954,"1 Offer",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"18932",2004,"Services","ICT","Defense","Navy","D710C","UNITED STATES","Domestic","Domestic US","Large",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"Two Offers",0,0,0,"ORG-2944",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.11,0.01,-793763,9,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","2-4 Offers","Unlabeled",-1010186.32939616,"2-4 Offers",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"20390",2002,"Products","Electronics & Communications","Defense","Army","KF23","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Competition with single offer",NA,"One Offer",0,0,0,"ORG-2863",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.07,774,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","1 Offer","Unlabeled",1032.30642433336,"1 Offer",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"23060",2009,"Services","FRS&C","Defense","DLA","SP0600","",NA,"US Vendor abroad","Medium <1B",NA,NA,NA,NA,NA,0,0,"Full Competition (Multiple Offers)",NA,"3-4 Offers",NA,0,0,"ORG-2775",0,NA,"Unlabeled","W081","Disaster","N","",NA,"Unlabeled",NA,0,"Disaster","Disaster",0,0,0,NA,0.2,0.11,0,0,"Disaster","Unlabeled",NA,"Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","DLA","Unlabeled","No Exception",NA,"DLA","2-4 Offers","Unlabeled",0,"2-4 Offers",2009-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"24128",2004,"Services","ERS","Defense","Navy","C2467","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-2,"Full Competition (Multiple Offers)",NA,"Two Offers",0,0,-1,"ORG-2940",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.06,15000,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","2-4 Offers","Unlabeled",19089.8227064533,"2-4 Offers",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"27032",2006,"Services","PAMS","Defense","Navy","N00039","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"3-4 Offers",0,0,0,"ORG-2944",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.02,0.06,-38294,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","2-4 Offers","Unlabeled",-45808.2897427176,"2-4 Offers",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"28794",2010,"Products","Aircraft","Defense","Army","W58RGZ","UNITED STATES","Domestic","Domestic US","Large",">1-2 Years",NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"5-9 Offers",0,0,0,"ORG-2877",0,0,"Unlabeled","W081","Disaster","N","",NA,"Unlabeled",NA,0,"Disaster","Disaster",0,0,0,NA,0.09,0.05,0,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","5+ Offers","(~1 year,~2 years]",0,"5+ Offers",2010-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"31250",2004,"Services","PAMS","Defense","Navy","WN504","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Competition with single offer",NA,"One Offer",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.08,62184,3,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","1 Offer","Unlabeled",79138.7690118726,"1 Offer",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"32359",2005,"Products","Aircraft","Defense","Navy","N00104","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"5-9 Offers",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.07,0.04,-4004,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","5+ Offers","Unlabeled",-4936.836067678,"5+ Offers",2005-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"34013",2004,"Services","ERS","Defense","Army","W9124B","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-2,"Unlabeled: No competition; multiple offers",NA,"Unlabeled: No competition; multiple offers",0,0,-1,"ORG-2876",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0.01,0.1,13000,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","Unlabeled","Unlabeled",16544.5130122595,"Unlabeled",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"36687",2005,"Services","ERS","Defense","Navy","N55236","",NA,"US Vendor abroad","Small",NA,NA,NA,NA,NA,0,0,"Full Competition (Multiple Offers)",NA,"Two Offers",NA,0,0,"ORG-2941",0,NA,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.04,0.03,0,0,"Disaster","Unlabeled",NA,"Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","2-4 Offers","Unlabeled",0,"2-4 Offers",2005-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"37108",2005,"Services","FRS&C","Defense","Navy","N68711","UNITED STATES","Domestic","Foreign Vendor in US","Large",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"Two Offers",0,0,0,"ORG-2940",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.14,-264031,30,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","2-4 Offers","Unlabeled",-325543.897049223,"2-4 Offers",2005-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"38843",2002,"Services","ERS","Defense","Navy","A8302","UNITED STATES","Domestic","Domestic US","Large",NA,NA,NA,NA,NA,0,-2,"Limited Competition with multiple offers (Overrode blank Fair Opportunity)",NA,"Two Offers",0,0,-1,"ORG-2936",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.06,5721474,3,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","2-4 Offers","Unlabeled",7630897.11480144,"2-4 Offers",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"43289",2003,"Services","ERS","Defense","Navy","BS792","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,0,"ORG-2941",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.01,201452,4,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Unlabeled)","Unlabeled",263428.654970951,"Unlabeled",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"48238",2006,"Services","PAMS","Defense","Air Force","FA8650","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Limited Competition with multiple offers",NA,"25-99 Offers",0,0,0,"ORG-2825",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.01,0.01,374985,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","5+ Offers","Unlabeled",448566.917250038,"5+ Offers",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"51137",2004,"Services","ERS","Defense","Navy","N00259","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-1,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,0,NA,0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.02,0.07,1698,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Unlabeled)","Unlabeled",2160.96793037051,"Unlabeled",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"51293",2003,"Services","ERS","Defense","Army","BJ35","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Competition with single offer",NA,"One Offer",0,0,0,"ORG-2876",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.06,32130,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","1 Offer","Unlabeled",42014.7860741846,"1 Offer",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"54027",2006,"Products","Electronics & Communications","Defense","Navy","M62204","UNITED STATES","Domestic","Domestic US","Large",NA,NA,NA,NA,NA,0,-1,"Competition with single offer",0,"One Offer",0,0,0,"ORG-2943",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.07,282099,3,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","1 Offer","Unlabeled",337454.241607847,"1 Offer",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"54418",2004,"Services","PAMS","Defense","Navy","D0222","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-2,"No Competition (Other Exception)",0,"No competition",0,0,-1,"ORG-2944",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.08,384906,3,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Other)","Unlabeled",489852.486576673,"Other No",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"57681",2002,"Services","ERS","GSA","GSA","","",NA,"US Vendor abroad","Small",NA,NA,NA,NA,NA,0,0,"Unlabeled: Competition; Zero Offers",NA,"Unlabeled: Competition; Zero Offers",NA,0,0,NA,0,NA,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.03,0,0,"Disaster","Unlabeled",NA,"Unlabeled",NA,"Services (Non-R&D)","FALSE","California Wildfires 2008",0,"Disaster","GSA","Unlabeled","No Exception",NA,"GSA","Unlabeled","Unlabeled",0,"Unlabeled",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
