"","SourceFiscalYear","AccountDSI","Account","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","StateCountry","StateCountryTitle","FacilityCategoryTitle","LocationTitle","ConstructionProjectTitle","Classified","FiscalYear","BudgetMetric","OriginType","EnactedTotal","PBtotal","PBtype"
"11",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Aviation Navigation & Traffic Aids Building","Fort Carson, Colorado","Control Tower","U","2012","AuthAmount","Base",NA,NA,14200
"12",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Aircraft Maintenance Facilities","Fort Carson, Colorado","Aircraft Maintenance Hangar","U","2012","AuthAmount","Base",NA,NA,63000
"13",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Airfield Aprons","Fort Carson, Colorado","Aircraft Loading Area","U","2012","AuthAmount","Base",NA,NA,34000
"14",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Railroad Tracks","Fort Benning","Rail Loading Facility","U","2012","AuthAmount","Base",NA,NA,13600
"15",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Enlisted Personnel Unaccompanied Personnel Housing","Fort Benning","Trainee Barracks Complex, Ph 3","U","2012","AuthAmount","Base",NA,NA,23000
"16",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Training Ranges","Fort Gordon","Hand Grenade Familiarization Range","U","2012","AuthAmount","Base",NA,NA,1450
"17",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Airfield Operational Buildings","Fort Stewart, Georgia","Dog Kennel","U","2012","AuthAmount","Base",NA,NA,2600
"18",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","Personnel Support Facilities","Fort Shafter","Child Development Center","U","2012","AuthAmount","Base",NA,NA,17500
"19",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","Operational Support Facilities Other Than Buildings","Schofield Barracks","Centralized Wash Facility","U","2012","AuthAmount","Base",NA,NA,32000
"20",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","HI","HAWAII","Potable Water Distribution System","Schofield Barracks","Combat Aviation Brigade Complex, Ph 1","U","2012","AuthAmount","Base",NA,NA,73000
"21",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KS","KANSAS","Personnel Support Facilities","Fort Riley, Kansas","Physical Fitness Facility","U","2012","AuthAmount","Base",NA,NA,13000
"22",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KS","KANSAS","Religious Facilities","Fort Riley, Kansas","Chapel","U","2012","AuthAmount","Base",NA,NA,10400
"23",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KS","KANSAS","Aircraft Maintenance Facilities","Fort Riley, Kansas","Unmanned Aerial Vehicle Maintenance Hangar","U","2012","AuthAmount","Base",NA,NA,60000
"24",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KS","KANSAS","Airfield Operational Buildings","Forbes Air Field","Deployment Support Facility","U","2012","AuthAmount","Base",NA,NA,5300
"25",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Tank and Automotive Maintenance Facilities","Fort Campbell, Kentucky","Vehicle Maintenance Facility","U","2012","AuthAmount","Base",NA,NA,56000
"26",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Personnel Support Facilities","Fort Campbell, Kentucky","Physical Fitness Facility","U","2012","AuthAmount","Base",NA,NA,18500
"27",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Aircraft Maintenance Facilities","Fort Campbell, Kentucky","Unmanned Aerial Vehicle Maintenance Hangar","U","2012","AuthAmount","Base",NA,NA,67000
"28",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Training Ranges","Fort Campbell, Kentucky","Scout/Recce Gunnery Range","U","2012","AuthAmount","Base",NA,NA,18000
"29",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Enlisted Personnel Unaccompanied Personnel Housing","Fort Campbell, Kentucky","Barracks Complex","U","2012","AuthAmount","Base",NA,NA,65000
"30",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Enlisted Personnel Unaccompanied Personnel Housing","Fort Campbell, Kentucky","Barracks","U","2012","AuthAmount","Base",NA,NA,23000
"31",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Training Ranges","Fort Knox","Automated Infantry Platoon Battle Course","U","2012","AuthAmount","Base",NA,NA,7000
"32",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KY","KENTUCKY","Enlisted Personnel Unaccompanied Personnel Housing","Fort Knox","Battalion Complex","U","2012","AuthAmount","Base",NA,NA,48000
"33",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","LA","LOUISIANA","Safety, Disp, & Rehab Fac","Fort Polk, Louisiana","Fire Station","U","2012","AuthAmount","Base",NA,NA,9200
"34",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","LA","LOUISIANA","Airfield Operational Buildings","Fort Polk, Louisiana","Military Working Dog Facility","U","2012","AuthAmount","Base",NA,NA,2600
"35",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","LA","LOUISIANA","Airfield Operational Buildings","Fort Polk, Louisiana","Brigade Complex","U","2012","AuthAmount","Base",NA,NA,23000
"36",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","LA","LOUISIANA","Training Ranges","Fort Polk, Louisiana","Multipurpose Machine Gun Range","U","2012","AuthAmount","Base",NA,NA,8300
"37",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","MD","MARYLAND","RDT&E Facilities Other Than Buildings","Aberdeen Proving Ground","Auto Technology Evaluation Fac, Ph 3","U","2012","AuthAmount","Base",NA,NA,15500
"38",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","MD","MARYLAND","Airfield Operational Buildings","Aberdeen Proving Ground","Command and Control Facility","U","2012","AuthAmount","Base",NA,NA,63000
"39",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","MD","MARYLAND","Admin Bldgs","Fort Meade","Applied Instruction Facility","U","2012","AuthAmount","Base",NA,NA,43000
"40",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","MD","MARYLAND","Airfield Operational Buildings","Fort Meade","Brigade Complex","U","2012","AuthAmount","Base",NA,NA,36000
"41",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","MO","MISSOURI","Tank and Automotive Maintenance Facilities","Fort Leonard Wood","Vehicle Maintenance Facility","U","2012","AuthAmount","Base",NA,NA,49000
"42",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NY","NEW YORK","Install & Ready-Issue Ammunition Storage","Fort Drum, New York","Ammunition Supply Point","U","2012","AuthAmount","Base",NA,NA,5700
"43",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NY","NEW YORK","Religious Facilities","Fort Drum, New York","Chapel","U","2012","AuthAmount","Base",NA,NA,7600
"44",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NC","NORTH CAROLINA","Training Buildings","Fort Bragg","NCO Academy","U","2012","AuthAmount","Base",NA,NA,42000
"45",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NC","NORTH CAROLINA","Roads","Fort Bragg","Access Roads, Ph 2","U","2012","AuthAmount","Base",NA,NA,18000
"46",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NC","NORTH CAROLINA","Aircraft Maintenance Facilities","Fort Bragg","Unmanned Aerial Vehicle Maintenance Hangar","U","2012","AuthAmount","Base",NA,NA,54000
"47",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NC","NORTH CAROLINA","Sewage & Industrial Waste Collection Lines","Fort Bragg","Brigade Complex Facilities","U","2012","AuthAmount","Base",NA,NA,49000
"48",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","NC","NORTH CAROLINA","Simulation Facilities","Fort Bragg","Battle Command Training Center","U","2012","AuthAmount","Base",NA,NA,23000
"49",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Personnel Support Facilities","Fort Sill","Physical Fitness Facility","U","2012","AuthAmount","Base",NA,NA,25000
"50",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Religious Facilities","Fort Sill","Chapel","U","2012","AuthAmount","Base",NA,NA,13200
"51",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Admin Bldgs","Fort Sill","Reception Station, Ph 1","U","2012","AuthAmount","Base",NA,NA,36000
"52",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Railroad Fac Other Than Tracks","Fort Sill","Rail Deployment Facility","U","2012","AuthAmount","Base",NA,NA,3400
"53",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Tank and Automotive Maintenance Facilities","Fort Sill","Vehicle Maintenance Facility","U","2012","AuthAmount","Base",NA,NA,51000
"54",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Simulation Facilities","Fort Sill","Battle Command Training Center","U","2012","AuthAmount","Base",NA,NA,23000
"55",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Training Buildings","Fort Sill","THAAD Instruction Facility","U","2012","AuthAmount","Base",NA,NA,33000
"56",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Railroad Tracks","Mcalester","Railroad Tracks","U","2012","AuthAmount","Base",NA,NA,6300
"57",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","OK","OKLAHOMA","Install & Ready-Issue Ammunition Storage","Mcalester","Ammunition Loading Pads","U","2012","AuthAmount","Base",NA,NA,1700
"58",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","SC","SOUTH CAROLINA","Enlisted Personnel Unaccompanied Personnel Housing","Fort Jackson","Trainee Barracks Complex, Ph 2","U","2012","AuthAmount","Base",NA,NA,59000
"59",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","SC","SOUTH CAROLINA","Training Ranges","Fort Jackson","Modified Record Fire Range","U","2012","AuthAmount","Base",NA,NA,4900
"60",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","TX","TEXAS","Tank and Automotive Maintenance Facilities","Fort Bliss","Electronics Maintenance Facility","U","2012","AuthAmount","Base",NA,NA,14600
"61",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","TX","TEXAS","Electric Power Transmission & Dist Lines","Fort Bliss","Infrastructure","U","2012","AuthAmount","Base",NA,NA,11600
"62",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","TX","TEXAS","Tank and Automotive Maintenance Facilities","Fort Bliss","Vehicle Maintenance Facility","U","2012","AuthAmount","Base",NA,NA,33600
"63",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","TX","TEXAS","Enlisted Personnel Unaccompanied Personnel Housing","Fort Bliss","Barracks Complex","U","2012","AuthAmount","Base",NA,NA,13000
"64",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","TX","TEXAS","Training Buildings","Fort Bliss","JLENS Tactical Training Facility","U","2012","AuthAmount","Base",NA,NA,39000
"65",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","TX","TEXAS","Potable Water Supply, Treatment & Storage","Fort Bliss","Water Well, Potable","U","2012","AuthAmount","Base",NA,NA,2400
"66",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","TX","TEXAS","Training Buildings","Fort Bliss","Applied Instruction Building","U","2012","AuthAmount","Base",NA,NA,8300
"67",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","TX","TEXAS","Enlisted Personnel Unaccompanied Personnel Housing","Fort Hood, Texas","Operational Readiness Training Complex","U","2012","AuthAmount","Base",NA,NA,51000
"68",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","TX","TEXAS","Aircraft Maintenance Facilities","Fort Hood, Texas","Unmanned Aerial Vehicle Maintenance Hangar","U","2012","AuthAmount","Base",NA,NA,47000
"69",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","TX","TEXAS","Tank and Automotive Maintenance Facilities","Fort Hood, Texas","Vehicle Maintenance Facility","U","2012","AuthAmount","Base",NA,NA,34000
"70",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","TX","TEXAS","Tank and Automotive Maintenance Facilities","Red River Army Depot","Maneuver Systems Sustainment Ctr, Ph 3","U","2012","AuthAmount","Base",NA,NA,44000
"71",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","TX","TEXAS","Tank and Automotive Maintenance Facilities","Joint Base San Antonio","Vehicle Maintenance Facility","U","2012","AuthAmount","Base",NA,NA,10400
"72",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","UT","UTAH","Ammunition, Explosives, & Toxics RDT&E Buildings","Dugway Proving Ground","Life Sciences Test Facility Addition","U","2012","AuthAmount","Base",NA,NA,32000
"73",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","VA","VIRGINIA","Vehicle Facilities","Fort Belvoir","Information Dominance Center, Ph 1","U","2012","AuthAmount","Base",NA,NA,52000
"74",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","VA","VIRGINIA","Potable Water Distribution System","Fort Belvoir","Road and Infrastucture Improvements","U","2012","AuthAmount","Base",NA,NA,25000
"75",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","VA","VIRGINIA","Training Buildings","Joint Base Langley-Eustis","Aviation Training Facility","U","2012","AuthAmount","Base",NA,NA,26000
"76",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","WA","WASHINGTON","Enlisted Personnel Unaccompanied Personnel Housing","Joint Base Lewis-Mcchord","Brigade Complex, Ph 2","U","2012","AuthAmount","Base",NA,NA,56000
"77",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","WA","WASHINGTON","Enlisted Personnel Unaccompanied Personnel Housing","Joint Base Lewis-Mcchord","Operational Readiness Training Cplx, Ph 1","U","2012","AuthAmount","Base",NA,NA,28000
"78",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","WA","WASHINGTON","Training Buildings","Joint Base Lewis-Mcchord","Air Support Operations Facilities","U","2012","AuthAmount","Base",NA,NA,7300
"79",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","WA","WASHINGTON","Enlisted Personnel Unaccompanied Personnel Housing","Joint Base Lewis-Mcchord","Battalion Complex","U","2012","AuthAmount","Base",NA,NA,59000
"80",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","WA","WASHINGTON","Roads","Joint Base Lewis-Mcchord","Infrastructure, Ph 1","U","2012","AuthAmount","Base",NA,NA,64000
"81",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","WA","WASHINGTON","Enlisted Personnel Unaccompanied Personnel Housing","Joint Base Lewis-Mcchord","Aviation Unit Complex, Ph 1A","U","2012","AuthAmount","Base",NA,NA,34000
"82",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","WA","WASHINGTON","Misc Utilities-Gallons","Joint Base Lewis-Mcchord","Aviation Complex, Ph 1B","U","2012","AuthAmount","Base",NA,NA,48000
"83",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","Airfield Operational Buildings","Bagram Air Base, Afghanistan","Entry Control Point","U","2012","AuthAmount","Base",NA,NA,20000
"84",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","Clearing, Grading, & Landscaping","Bagram Air Base, Afghanistan","Construct Drainage System, Ph 3","U","2012","AuthAmount","Base",NA,NA,31000
"85",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","Enlisted Personnel Unaccompanied Personnel Housing","Bagram Air Base, Afghanistan","Barracks, Ph 5","U","2012","AuthAmount","Base",NA,NA,29000
"86",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GY","GERMANY","Religious Facilities","Grafenwoehr","Chapel","U","2012","AuthAmount","Base",NA,NA,15500
"87",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GY","GERMANY","Training Facilities Other Than Buildings","Grafenwoehr","Convoy Live Fire Range","U","2012","AuthAmount","Base",NA,NA,5000
"88",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GY","GERMANY","Enlisted Personnel Unaccompanied Personnel Housing","Grafenwoehr","Barracks","U","2012","AuthAmount","Base",NA,NA,17500
"89",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GY","GERMANY","Communication Buildings","Landstuhl","Satellite Communications Center","U","2012","AuthAmount","Base",NA,NA,63000
"90",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GY","GERMANY","Airfield Operational Buildings","Stuttgart","Access Control Point","U","2012","AuthAmount","Base",NA,NA,12200
"91",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GY","GERMANY","Enlisted Personnel Unaccompanied Personnel Housing","Vilseck","Barracks","U","2012","AuthAmount","Base",NA,NA,20000
"92",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","GY","GERMANY","Training Ranges","Oberdachstetten","Automated Record Fire Range","U","2012","AuthAmount","Base",NA,NA,12200
"93",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KR","KOREA","Enlisted Personnel Unaccompanied Personnel Housing","Camp Carroll","Barracks","U","2012","AuthAmount","Base",NA,NA,41000
"94",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","KR","KOREA","Enlisted Personnel Unaccompanied Personnel Housing","Camp Henry","Barracks Complex","U","2012","AuthAmount","Base",NA,NA,48000
"95",2014,"2050A","2050","A","MILCON, Army","ARMY","01","MAJOR CONSTRUCTION","ZU","WORLDWIDE UNSPECIFIED","Other Operational","Unspecified Worldwide Locations","Foreign Currency Fluctuation Account","U","2012","AuthAmount","Base",NA,NA,0
"96",2014,"2050A","2050","A","MILCON, Army","ARMY","02","MINOR CONSTRUCTION","ZU","WORLDWIDE UNSPECIFIED","Milcon Unspecified Minor Construction","Unspecified Worldwide Locations","Minor Construction","U","2012","AuthAmount","Base",NA,NA,0
"97",2014,"2050A","2050","A","MILCON, Army","ARMY","03","Planning & Design","ZU","WORLDWIDE UNSPECIFIED","Host Nation Support (P&D)","Unspecified Worldwide Locations","Host Nation Support","U","2012","AuthAmount","Base",NA,NA,0
"98",2014,"2050A","2050","A","MILCON, Army","ARMY","03","Planning & Design","ZU","WORLDWIDE UNSPECIFIED","Milcon Planning & Design","Unspecified Worldwide Locations","Planning & Design","U","2012","AuthAmount","Base",NA,NA,0
"99",2014,"2050A","2050","A","MILCON, Army","ARMY","04","SUPPORTING ACTIVITIES","GA","GEORGIA","Land Purchase, Condemnation, Donation or Transfer","Fort Benning","Land Acquisition","U","2012","AuthAmount","Base",NA,NA,30100
"100",2014,"2050A","2050","A","MILCON, Army","ARMY","04","SUPPORTING ACTIVITIES","LA","LOUISIANA","Land Purchase, Condemnation, Donation or Transfer","Fort Polk, Louisiana","Land Acquisition","U","2012","AuthAmount","Base",NA,NA,27000
"101",2014,"051001A","051001","A","BRAC - Army","ARMY","02","BASE CLOSURE II","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account IV","Base Realignment & Closure, Army","Base Realignment & Closure","U","2012","AuthAmount","Base",NA,NA,70716
"102",2014,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","AL","ALABAMA","Training Buildings","Fort Mc Clellan","Readiness Center PH2","U","2012","AuthAmount","Base",NA,NA,16500
"103",2014,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","AZ","ARIZONA","Training Buildings","Papago Military Reservation","Readiness Center","U","2012","AuthAmount","Base",NA,NA,17800
"104",2014,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","AR","ARKANSAS","Training Ranges","Fort Chaffee","Convoy Live Fire/Entry Control Point Range","U","2012","AuthAmount","Base",NA,NA,3500
"105",2014,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Sewage & Industrial Waste Collection Lines","Camp Roberts","Utilities Replacement Ph1","U","2012","AuthAmount","Base",NA,NA,32000
"106",2014,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Aircraft Maintenance Facilities","Camp Roberts","Tactical Unmanned Aircraft System Facility","U","2012","AuthAmount","Base",NA,NA,6160
"107",2014,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","Tank and Automotive Maintenance Facilities","Camp San Luis Obispo","Field Maintenance Shop","U","2012","AuthAmount","Base",NA,NA,8000
"108",2014,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Enlisted Personnel Unaccompanied Personnel Housing","Fort Carson, Colorado","Barracks Complex (ORTC)","U","2012","AuthAmount","Base",NA,NA,43000
"109",2014,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Aircraft Maintenance Facilities","Aurora","Tactical Unmanned Aircraft System Facility","U","2012","AuthAmount","Base",NA,NA,3600
"110",2014,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","Training Buildings","Alamosa","Readiness Center","U","2012","AuthAmount","Base",NA,NA,6400
"111",2014,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","DC","DISTRICT OF COLUMBIA","Admin Bldgs","Anacostia","US Property & Fiscal Office Add/Alt","U","2012","AuthAmount","Base",NA,NA,5300
"112",2014,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","FL","FLORIDA","Training Ranges","Camp Blanding","Convoy Live Fire/Entry Control Point Range","U","2012","AuthAmount","Base",NA,NA,2400
"113",2014,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","FL","FLORIDA","Training Ranges","Camp Blanding","Live Fire Shoot House","U","2012","AuthAmount","Base",NA,NA,3100
"114",2014,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Training Buildings","Atlanta","Readiness Center","U","2012","AuthAmount","Base",NA,NA,11000
"115",2014,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Tank and Automotive Maintenance Facilities","Hinesville","Maneuver Area Training & Equipment Site Ph1","U","2012","AuthAmount","Base",NA,NA,17500
"116",2014,"2085A","2085","A","MILCON, ARNG","ARMY","01","MAJOR CONSTRUCTION","GA","GEORGIA","Training Buildings","Macon","Readiness Center Ph1","U","2012","AuthAmount","Base",NA,NA,14500
