"","SourceFiscalYear","AccountDSI","Account","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","StateCountry","StateCountryTitle","FacilityCategoryTitle","LocationTitle","ConstructionProject","ConstructionProjectTitle","Classified","FiscalYear","BudgetMetric","OriginType","ActualTotal","EnactedTotal","PBtype"
"38",2017,"2086A","2086","A","MILCON, Army R","ARMY","01","MAJOR CONSTRUCTION","IL","ILLINOIS","Training Buildings","Arlington Heights","07722800","Army Reserve Center","U","2015","AuthAmount","Total",26000,NA,NA
"39",2017,"2086A","2086","A","MILCON, Army R","ARMY","01","MAJOR CONSTRUCTION","MS","MISSISSIPPI","Training Buildings","Starkville","07716300","Army Reserve Center","U","2015","AuthAmount","Total",9300,NA,NA
"40",2017,"2086A","2086","A","MILCON, Army R","ARMY","01","MAJOR CONSTRUCTION","NJ","NEW JERSEY","Training Buildings","Joint Base Mcguire-Dix-Lakehurst","07715100","Army Reserve Center","U","2015","AuthAmount","Total",26000,NA,NA
"41",2017,"2086A","2086","A","MILCON, Army R","ARMY","01","MAJOR CONSTRUCTION","NY","NEW YORK","Training Buildings","Mattydale","06766100","Army Reserve Center/AMSA","U","2015","AuthAmount","Total",23000,NA,NA
"42",2017,"2086A","2086","A","MILCON, Army R","ARMY","01","MAJOR CONSTRUCTION","VA","VIRGINIA","Training Buildings","Fort Lee","07229100","TASS Training Center","U","2015","AuthAmount","Total",16000,NA,NA
"43",2017,"2086A","2086","A","MILCON, Army R","ARMY","01","MAJOR CONSTRUCTION","WI","WISCONSIN","Airfield Operational Buildings","Fort Mccoy","06756700","Access Control Point/Mail/Freight Center","U","2015","AuthAmount","Total",0,NA,NA
"44",2017,"2086A","2086","A","MILCON, Army R","ARMY","02","MINOR CONSTRUCTION","ZU","WORLDWIDE UNSPECIFIED","Milcon Unspecified Minor Construction","Unspecified Worldwide Locations","07267300","Unspecified Minor Construction","U","2015","AuthAmount","Total",0,NA,NA
"45",2017,"2086A","2086","A","MILCON, Army R","ARMY","03","Planning & Design","ZU","WORLDWIDE UNSPECIFIED","Milcon Planning & Design","Unspecified Worldwide Locations","07267400","Planning and Design","U","2015","AuthAmount","Total",0,NA,NA
"46",2017,"0720A","0720","A","Fam Hsg Con, Army","ARMY","01","NEW CONSTRUCTION","IL","ILLINOIS","Fam Hsg Dewellings","Rock Island","07553600","Family Housing New Construction","U","2015","AuthAmount","Total",19500,NA,NA
"47",2017,"0720A","0720","A","Fam Hsg Con, Army","ARMY","01","NEW CONSTRUCTION","KR","KOREA","Fam Hsg Dewellings","Camp Walker","08123000","Family Housing New Construction","U","2015","AuthAmount","Total",57800,NA,NA
"48",2017,"0720A","0720","A","Fam Hsg Con, Army","ARMY","01","NEW CONSTRUCTION","ZU","WORLDWIDE UNSPECIFIED","Fam Hsg Dewellings","Unspecified Worldwide Locations","91072000","Foreign Currency Fluctuation","U","2015","AuthAmount","Total",0,NA,NA
"49",2017,"0720A","0720","A","Fam Hsg Con, Army","ARMY","04","PLANNING & DESIGN","ZU","WORLDWIDE UNSPECIFIED","Family Housing P&D","Unspecified Worldwide Locations","07196500","Planning & Design","U","2015","AuthAmount","Total",0,NA,NA
"50",2017,"0725A","0725","A","Fam Hsg O&M, Army","ARMY","05","UTILITIES","ZU","WORLDWIDE UNSPECIFIED","FH Utilities Account","Unspecified Worldwide Locations","19350000","Utilities","U","2015","AuthAmount","Total",0,NA,NA
"51",2017,"0725A","0725","A","Fam Hsg O&M, Army","ARMY","06","Operations","ZU","WORLDWIDE UNSPECIFIED","FH Management Account","Unspecified Worldwide Locations","19100000","Management","U","2015","AuthAmount","Total",0,NA,NA
"52",2017,"0725A","0725","A","Fam Hsg O&M, Army","ARMY","06","Operations","ZU","WORLDWIDE UNSPECIFIED","FH Management Account","Unspecified Worldwide Locations","19110000","Management","U","2015","AuthAmount","Total",0,NA,NA
"53",2017,"0725A","0725","A","Fam Hsg O&M, Army","ARMY","06","Operations","ZU","WORLDWIDE UNSPECIFIED","FH Services Account","Unspecified Worldwide Locations","19120000","Services","U","2015","AuthAmount","Total",0,NA,NA
"54",2017,"0725A","0725","A","Fam Hsg O&M, Army","ARMY","06","Operations","ZU","WORLDWIDE UNSPECIFIED","FH Furnishings Account","Unspecified Worldwide Locations","19130000","Furnishings","U","2015","AuthAmount","Total",0,NA,NA
"55",2017,"0725A","0725","A","Fam Hsg O&M, Army","ARMY","06","Operations","ZU","WORLDWIDE UNSPECIFIED","FH Miscellaneous Account","Unspecified Worldwide Locations","19140000","Miscellaneous","U","2015","AuthAmount","Total",0,NA,NA
"56",2017,"0725A","0725","A","Fam Hsg O&M, Army","ARMY","07","LEASING","ZU","WORLDWIDE UNSPECIFIED","FH Leasing Account","Unspecified Worldwide Locations","19400000","Leasing","U","2015","AuthAmount","Total",0,NA,NA
"57",2017,"0725A","0725","A","Fam Hsg O&M, Army","ARMY","08","Maintenance","ZU","WORLDWIDE UNSPECIFIED","FH Maintenance Of Real Property","Unspecified Worldwide Locations","19200000","Maintenance","U","2015","AuthAmount","Total",0,NA,NA
"58",2017,"0725A","0725","A","Fam Hsg O&M, Army","ARMY","12","HOUSING PVT  SUPPORT","ZU","WORLDWIDE UNSPECIFIED","FH Privatization Support","Unspecified Worldwide Locations","19500000","Housing Privitization Support","U","2015","AuthAmount","Total",0,NA,NA
"59",2017,"051001A","051001","A","BRAC - Army","ARMY","02","BASE CLOSURE II","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account IV","Base Realignment & Closure, Army","04900001","Base Realignment & Closure","U","2015","AuthAmount","Total",0,NA,NA
"60",2017,"051001A","051001","A","BRAC - Army","ARMY","03","BASE CLOSURE III","ZU","WORLDWIDE UNSPECIFIED","Other Improvements","Base Realignment & Closure, Army","A9900002","Defense Level Activities - Army","U","2015","AuthAmount","Total",0,NA,NA
"61",2017,"051601A","051601","A","DoD BRAC - Army","ARMY","01","DoD BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account IV","Base Realignment & Closure, Army","90000600","Base Realignment and Closure","U","2015","AuthAmount","Total",399586,NA,NA
"62",2017,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","COMM0004","Program Management Various Locations","U","2015","AuthAmount","Total",-41269,NA,NA
"63",2017,"051201A","051201","A","FY 2005 BRAC - A","ARMY","02","GLOBAL POSTURE MOVES","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","COMM0010","USA-221: Operational Army (LGBDS)","U","2015","AuthAmount","Total",0,NA,NA
"64",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","AZ","ARIZONA","Depot & Arsenal Covered Storage","Yuma","62974617","Aviation Maintenance and Support Complex","U","2015","AuthAmount","Total",16608,NA,NA
"65",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Tank and Automotive Maintenance Facilities","Barstow","62204939","Engine Dynamometer Facility","U","2015","AuthAmount","Total",14998,NA,NA
"66",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Communications Facilities Other Than Buildings","Bridgeport","67399222","E-LMR Communications Towers","U","2015","AuthAmount","Total",16180,NA,NA
"67",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Simulation Facilities","Lemoore","63042327","F-35C Operational Training Facility","U","2015","AuthAmount","Total",22391,NA,NA
"68",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Aircraft Maintenance Facilities","Lemoore","63042328","F-35C Facility Addition and Modification","U","2015","AuthAmount","Total",16594,NA,NA
"69",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Heat Transmission & Dist Lines","San Diego","00245800","Steam Distribution System Decentralization","U","2015","AuthAmount","Total",47110,NA,NA
"70",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Training Support Facilities","Twentynine Palms, California","67399159","Camp Wilson Infrastructure Upgrades","U","2015","AuthAmount","Total",33437,NA,NA
"71",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","DC","DISTRICT OF COLUMBIA","Rdt&E Science Laborartories","District Of Columbia","68469275","Electronics Science and Technology Laboratory","U","2015","AuthAmount","Total",31735,NA,NA
"72",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","FL","FLORIDA","Airfield Taxiways","Jacksonville","00207631","P-8A Runway Thresholds and Taxiways","U","2015","AuthAmount","Total",21652,NA,NA
"73",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","FL","FLORIDA","Airfield Aprons","Jacksonville","00207664","MH60 Parking Apron","U","2015","AuthAmount","Total",8583,NA,NA
"74",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","FL","FLORIDA","Piers and Wharfs","Mayport","60201423","LCS Operational Training Facility","U","2015","AuthAmount","Total",20520,NA,NA
"75",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","HI","HAWAII","Aircraft Maintenance Facilities","Kaneohe Bay","00318861","Facility Modifications for VMU, MWSD, & CH53E","U","2015","AuthAmount","Total",51182,NA,NA
"76",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","HI","HAWAII","Roads","Kaneohe Bay","00318924","Road and Infrastructure Improvements","U","2015","AuthAmount","Total",2200,NA,NA
"77",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","HI","HAWAII","Install & Org Covered Storage","Kaneohe Bay","N1000138","Armory Addition","U","2015","AuthAmount","Total",12952,NA,NA
"78",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","HI","HAWAII","Simulation Facilities","Pearl Harbor","62813048","Submarine Maneuvering Room Trainer Facility","U","2015","AuthAmount","Total",9698,NA,NA
"79",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","MD","MARYLAND","Training Buildings","Annapolis","61152621","Cyber Security Studies Building","U","2015","AuthAmount","Total",120112,NA,NA
"80",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","MD","MARYLAND","Rdt&E Science Laborartories","Indian Head","61151190","Advanced Energetics Research Lab Complex Ph 2","U","2015","AuthAmount","Total",15346,NA,NA
"81",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","MD","MARYLAND","Misc Items & Equip RDT&E Buildings","Patuxent River","47608155","Atlantic Test Range Facility","U","2015","AuthAmount","Total",9860,NA,NA
"82",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","NV","NEVADA","Training Buildings","Fallon","60495420","Air Wing Training Facility","U","2015","AuthAmount","Total",27763,NA,NA
"83",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","NV","NEVADA","Aircraft Maintenance Facilities","Fallon","60495430","Facility Alteration for F-35 Training Mission","U","2015","AuthAmount","Total",3499,NA,NA
"84",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","NC","NORTH CAROLINA","Admin Bldgs","Camp Lejeune, North Carolina","670011280","2nd Radio Bn Complex Operations Consolidation","U","2015","AuthAmount","Total",50706,NA,NA
"85",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","NC","NORTH CAROLINA","Potable Water Supply, Treatment & Storage","Cherry Point Marine Corps Air Station","00146193","Water Treatment Plant Replacement","U","2015","AuthAmount","Total",41588,NA,NA
"86",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","PA","PENNSYLVANIA","Propulsion RDT&E Buildings","Philadelphia","32414547","Ohio Replacement Power & Propulsion Facility","U","2015","AuthAmount","Total",23985,NA,NA
"87",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","SC","SOUTH CAROLINA","Training Buildings","Charleston","42237099","Nuclear Power Operational Support Facility","U","2015","AuthAmount","Total",35716,NA,NA
"88",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Rdt&E Science Laborartories","Dahlgren","61151287","Missile Support Facility","U","2015","AuthAmount","Total",27313,NA,NA
"89",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Operational Support Buildings","Norfolk","50092354","EOD Consolidated Ops & Logistics Facilities","U","2015","AuthAmount","Total",39274,NA,NA
"90",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Ships and Spares Maintenance Facilities","Portsmouth","32443527","Submarine Maintenance Facility","U","2015","AuthAmount","Total",9743,NA,NA
"91",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Depot & Arsenal Ammunition Storage","Quantico","00264635","Ammunition Supply Point Expansion","U","2015","AuthAmount","Total",12613,NA,NA
"92",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Enlisted Personnel Unaccompanied Personnel Housing","Yorktown","69212991","Bachelor Enlisted Quarters","U","2015","AuthAmount","Total",19152,NA,NA
"93",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Ship Operational Buildings","Yorktown","69212992","FAST Company Training Facility","U","2015","AuthAmount","Total",7836,NA,NA
"94",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","WA","WASHINGTON","Ships and Spares Maintenance Facilities","Bangor","68436401","Regional Ship Maintenance Support Facility","U","2015","AuthAmount","Total",13833,NA,NA
"95",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","WA","WASHINGTON","Piers and Wharfs","Bangor","68436990","Explosives Handling Wharf #2 (INC)","U","2015","AuthAmount","Total",83778,NA,NA
"96",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","WA","WASHINGTON","Aircraft Maintenance Facilities","Whidbey Island","00620259","P-8A Aircraft Apron and Supporting Facilities","U","2015","AuthAmount","Total",24390,NA,NA
"97",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","WA","WASHINGTON","Ships and Spares Maintenance Facilities","Bremerton","68436422","Integrated Water Treatment System, DD 1, 2, 5","U","2015","AuthAmount","Total",16401,NA,NA
"98",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","WA","WASHINGTON","Piers and Wharfs","Port Angeles","68436993","TPS Port Angeles Forward Operating Location","U","2015","AuthAmount","Total",20638,NA,NA
"99",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","BI","BAHRAIN ISLAND","Training Buildings","SW Asia","63005955","P-8A Hangar","U","2015","AuthAmount","Total",27826,NA,NA
"100",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","GU","GUAM","Misc Items & Equip Maint Facilities","Joint Region Marianas","61755230","GSE Shops at North Ramp","U","2015","AuthAmount","Total",21880,NA,NA
"101",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","GU","GUAM","Misc Items & Equip Maint Facilities","Joint Region Marianas","61755240","MWSS Facilities at North Ramp","U","2015","AuthAmount","Total",28771,NA,NA
"102",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","JA","JAPAN","Aircraft Maintenance Facilities","Iwakuni","62613602","Security Mods DPRI MC167-T (CVW-5 E2D EA-18G)","U","2015","AuthAmount","Total",6415,NA,NA
"103",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","JA","JAPAN","Aircraft Maintenance Facilities","Kadena AB","67400803","Aircraft Maint Hangar Alterations and SAP-F","U","2015","AuthAmount","Total",19411,NA,NA
"104",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","JA","JAPAN","Airfield Runways","Okinawa","67400801","LHD Practice Site Improvements","U","2015","AuthAmount","Total",35685,NA,NA
"105",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","JA","JAPAN","Aircraft Maintenance Facilities","MCAS Futenma","67400213","Hangar & Rinse Facility Modernizations","U","2015","AuthAmount","Total",4639,NA,NA
"106",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","SP","SPAIN","Electric Power Source","Rota","62863712","Ship Berthing Power Upgrades","U","2015","AuthAmount","Total",20233,NA,NA
"107",2017,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","DJ","DJIBOUTI","Installation Support Fac","Camp Lemonier, Djibouti","3379A330","Entry Control Point","U","2015","AuthAmount","Total",9923,NA,NA
"108",2017,"1205N","1205","N","Mil Con, Navy","NAVY","02","MINOR CONST","ZU","WORLDWIDE UNSPECIFIED","Milcon Unspecified Minor Construction","Unspecified Worldwide Locations","64481400","Unspecified Minor Construction","U","2015","AuthAmount","Total",0,NA,NA
"109",2017,"1205N","1205","N","Mil Con, Navy","NAVY","03","Planning & Design","ZU","WORLDWIDE UNSPECIFIED","Milcon Planning & Design","Unspecified Worldwide Locations","64482044","Planning and Design","U","2015","AuthAmount","Total",0,NA,NA
"110",2017,"1205N","1205","N","Mil Con, Navy","NAVY","05","MAJ REP CONST","ZU","WORLDWIDE UNSPECIFIED","General","Unspecified Worldwide Locations","000005000","Foreign Currency Fluctuation, CMA","U","2015","AuthAmount","Total",0,NA,NA
"111",2017,"1235N","1235","N","Mil Con, Navy Res","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Training Buildings","March AFB","61065202","NOSC Moreno Valley Reserve Training Center","U","2015","AuthAmount","Total",0,NA,NA
"112",2017,"1235N","1235","N","Mil Con, Navy Res","NAVY","01","MAJOR CONST","PA","PENNSYLVANIA","Training Buildings","Pittsburgh","68479149","Reserve Training Center - Pittsburgh, PA","U","2015","AuthAmount","Total",17650,NA,NA
"113",2017,"1235N","1235","N","Mil Con, Navy Res","NAVY","01","MAJOR CONST","TN","TENNESSEE","Training Buildings","Memphis","68479031","Reserve Boat Maintenance and Storage Facility","U","2015","AuthAmount","Total",0,NA,NA
