"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"155",2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","010","ES11","Working Capital Fund, DECA","Y","Y","U",2012,"Base",NA,NA,NA,NA,1376830
"156",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Base",NA,NA,NA,NA,NA
"157",2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Base",NA,NA,NA,NA,NA
"158",2012,"by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Base",NA,NA,NA,NA,NA
"159",2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Base",NA,NA,NA,NA,NA
"160",2012,"level for each appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Base",NA,NA,NA,NA,NA
"161",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","010","200","Prepositioned War Reserve Stocks","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"162",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","020","ES01","Prepositioned War Reserve Stocks","Y","Y","U",2012,"OCO",NA,NA,NA,NA,54000
"163",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"164",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"165",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"166",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","040","0200","National Def Sealift Vessel","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"167",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"168",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","060","0230","DoD Mobilization Alterations","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"169",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","070","0250","TAH Maintenance","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"170",2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","080","0300","Strategic Sealift Support","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"171",2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","090","0900","Research And Development","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"172",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","100","0500","Ready Reserve Force","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"173",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","110","0510","MARAD Ship Financing Guarantee Program","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"174",2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","120","CR11","Adj to Match Continuing Resolution","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"175",2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","010","ES17","Fuel Costs","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"176",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","010","200","Transportation Fallen Heroes","Y","Y","U",2012,"OCO",NA,NA,NA,NA,10000
"177",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","020","210","Container Deconsolidation","Y","Y","U",2012,"OCO",NA,NA,NA,NA,2000
"178",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","030","220","War Reserve Material","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"179",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","040","ES17","Fuel Costs","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"180",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","010","110","Defense Coalition Support","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"181",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","020","CR11","Adj to Match Continuing Resolution","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"182",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","020","CR11","Adj to Match Continuing Resolution","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"183",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","010","ES08","Defense Logistics Agency (DLA)","Y","Y","U",2012,"OCO",NA,NA,NA,NA,369013
"184",2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","","CR11","Adj to Match Continuing Resolution","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"185",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","030","010","Supply Chain Management - Def","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"186",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","040","010","Energy Management - Def","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"187",2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","010","ES11","Working Capital Fund, DECA","Y","Y","U",2012,"OCO",NA,NA,NA,NA,0
"188",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"OCO",NA,NA,NA,NA,NA
"189",2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"OCO",NA,NA,NA,NA,NA
"190",2012,"by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"OCO",NA,NA,NA,NA,NA
"191",2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"OCO",NA,NA,NA,NA,NA
"192",2012,"level for each appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"OCO",NA,NA,NA,NA,NA
"193",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","010","200","Prepositioned War Reserve Stocks","Y","Y","U",2012,"Total",NA,NA,NA,101194,NA
"194",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","020","ES01","Prepositioned War Reserve Stocks","Y","Y","U",2012,"Total",NA,NA,NA,54000,NA
"195",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","Y","U",2012,"Total",NA,NA,NA,0,NA
"196",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","Y","U",2012,"Total",NA,NA,NA,425865,NA
"197",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","Y","U",2012,"Total",NA,NA,NA,24161,NA
"198",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","040","0200","National Def Sealift Vessel","Y","Y","U",2012,"Total",NA,NA,NA,1138,NA
"199",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","Y","U",2012,"Total",NA,NA,NA,92567,NA
"200",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","060","0230","DoD Mobilization Alterations","Y","Y","U",2012,"Total",NA,NA,NA,184109,NA
"201",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","070","0250","TAH Maintenance","Y","Y","U",2012,"Total",NA,NA,NA,40831,NA
"202",2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","080","0300","Strategic Sealift Support","Y","Y","U",2012,"Total",NA,NA,NA,0,NA
"203",2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","090","0900","Research And Development","Y","Y","U",2012,"Total",NA,NA,NA,48443,NA
"204",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","100","0500","Ready Reserve Force","Y","Y","U",2012,"Total",NA,NA,NA,309270,NA
"205",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","110","0510","MARAD Ship Financing Guarantee Program","Y","Y","U",2012,"Total",NA,NA,NA,0,NA
"206",2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","120","CR11","Adj to Match Continuing Resolution","Y","Y","U",2012,"Total",NA,NA,NA,0,NA
"207",2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","010","ES17","Fuel Costs","Y","Y","U",2012,"Total",NA,NA,NA,0,NA
"208",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","010","200","Transportation Fallen Heroes","Y","Y","U",2012,"Total",NA,NA,NA,10000,NA
"209",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","020","210","Container Deconsolidation","Y","Y","U",2012,"Total",NA,NA,NA,2000,NA
"210",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","030","220","War Reserve Material","Y","Y","U",2012,"Total",NA,NA,NA,65372,NA
"211",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","040","ES17","Fuel Costs","Y","Y","U",2012,"Total",NA,NA,NA,0,NA
"212",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","010","110","Defense Coalition Support","Y","Y","U",2012,"Total",NA,NA,NA,0,NA
"213",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","020","CR11","Adj to Match Continuing Resolution","Y","Y","U",2012,"Total",NA,NA,NA,0,NA
"214",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","020","CR11","Adj to Match Continuing Resolution","Y","Y","U",2012,"Total",NA,NA,NA,0,NA
"215",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","010","ES08","Defense Logistics Agency (DLA)","Y","Y","U",2012,"Total",NA,NA,NA,400627,NA
"216",2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","","CR11","Adj to Match Continuing Resolution","Y","Y","U",2012,"Total",NA,NA,NA,0,NA
"217",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","030","010","Supply Chain Management - Def","Y","Y","U",2012,"Total",NA,NA,NA,0,NA
"218",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","040","010","Energy Management - Def","Y","Y","U",2012,"Total",NA,NA,NA,0,NA
"219",2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","010","ES11","Working Capital Fund, DECA","Y","Y","U",2012,"Total",NA,NA,NA,1376830,NA
"220",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Total",NA,NA,NA,NA,NA
"221",2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Total",NA,NA,NA,NA,NA
"222",2012,"by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Total",NA,NA,NA,NA,NA
"223",2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Total",NA,NA,NA,NA,NA
"224",2012,"level for each appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Total",NA,NA,NA,NA,NA
