"","SourceFiscalYear","AccountDSI","Account","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","StateCountry","StateCountryTitle","FacilityCategoryTitle","LocationTitle","FiscalYear","Project.Title","BudgetMetric","OriginType","EnactedType","PBtotal","PBtype","EnactedTotal"
"7697",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","GROUNDS FENCING, GATES, & GUARD TOWERS","BAGRAM AIR BASE, AFGHANISTAN","2010","Perimeter Fence and Guard Towers","TOAamount","Base",NA,NA,7000,NA
"7698",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD OPERATIONAL BUILDINGS","BAGRAM AIR BASE, AFGHANISTAN","2010","Aviation Support Facility","TOAamount","Base",NA,NA,2600,NA
"7699",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD OPERATIONAL BUILDINGS","BAGRAM AIR BASE, AFGHANISTAN","2010","Command and Control Facility","TOAamount","Base",NA,NA,38000,NA
"7700",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","OTHER OPERATIONAL","BAGRAM AIR BASE, AFGHANISTAN","2010","Drainage System, Ph 2","TOAamount","Base",NA,NA,21000,NA
"7701",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ROADS","BAGRAM AIR BASE, AFGHANISTAN","2010","Access Roads","TOAamount","Base",NA,NA,21000,NA
"7702",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD OPERATIONAL BUILDINGS","BAGRAM AIR BASE, AFGHANISTAN","2010","Command & Control Facility","TOAamount","Base",NA,NA,4500,NA
"7703",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD OPERATIONAL BUILDINGS","BAGRAM AIR BASE, AFGHANISTAN","2010","MedLog Warehouse","TOAamount","Base",NA,NA,3350,NA
"7704",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","KABUL, AFGHANISTAN","2010","USFOR-A Headquarters & Housing","TOAamount","Base",NA,NA,98000,NA
"7705",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","KABUL, AFGHANISTAN","2010","Camp Phoenix Western Expansion","TOAamount","Base",NA,NA,39000,NA
"7706",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","INSTALL & READY-ISSUE AMMUNITION STORAGE","TOMBSTONE/BASTION","2010","Basic Load Ammunition Holding Area","TOAamount","Base",NA,NA,7500,NA
"7707",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","TOMBSTONE/BASTION","2010","DINING FACILITY","TOAamount","Base",NA,NA,8900,NA
"7708",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","OTHER OPERATIONAL","TOMBSTONE/BASTION","2010","Entry Control Point and Access Roads","TOAamount","Base",NA,NA,14200,NA
"7709",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","TOMBSTONE/BASTION","2010","Fuel System, Ph 2","TOAamount","Base",NA,NA,14200,NA
"7710",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ROADS","TOMBSTONE/BASTION","2010","Roads","TOAamount","Base",NA,NA,4300,NA
"7711",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","MEDICAL CENTERS & HOSPITALS","TOMBSTONE/BASTION","2010","Level 3 Medical Facility","TOAamount","Base",NA,NA,16500,NA
"7712",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","POTABLE WATER SUPPLY, TREATMENT & STORAGE","TOMBSTONE/BASTION","2010","Water Supply and Distribution System","TOAamount","Base",NA,NA,6200,NA
"7713",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ADMIN BLDGS","TOMBSTONE/BASTION","2010","Command & Control HQ Facility","TOAamount","Base",NA,NA,24000,NA
"7714",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","SEWAGE & INDUSTRIAL WASTE COLLECTION LINES","TOMBSTONE/BASTION","2010","Utilities Infrastructure","TOAamount","Base",NA,NA,21000,NA
"7715",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ROADS","TOMBSTONE/BASTION","2010","Gravel Roads","TOAamount","Base",NA,NA,8600,NA
"7716",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD APRONS","SHARANA","2010","Rotary-Wing Parking","TOAamount","Base",NA,NA,32000,NA
"7717",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","DEPOT & ARSENAL AMMUNITION STORAGE","SHARANA","2010","Ammunition Supply Point","TOAamount","Base",NA,NA,14000,NA
"7718",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ADMIN BLDGS","SHARANA","2010","Aircraft Maintenance Facility","TOAamount","Base",NA,NA,12200,NA
"7719",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ELECTRIC POWER SOURCE","SHARANA","2010","Electrical Distribution Grid","TOAamount","Base",NA,NA,2600,NA
"7720",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","SHANK","2010","DINING FACILITY","TOAamount","Base",NA,NA,4350,NA
"7721",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ELECTRIC POWER SOURCE","SHANK","2010","Electrical Distribution Grid","TOAamount","Base",NA,NA,4600,NA
"7722",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","SHANK","2010","Waste Management Complex","TOAamount","Base",NA,NA,8100,NA
"7723",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","POTABLE WATER SUPPLY, TREATMENT & STORAGE","SHANK","2010","Water Distribution System","TOAamount","Base",NA,NA,2650,NA
"7724",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ADMIN BLDGS","MAYWAND","2010","Dining Facility","TOAamount","Base",NA,NA,2200,NA
"7725",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","MAYWAND","2010","Waste Management Area","TOAamount","Base",NA,NA,5600,NA
"7726",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","JOYCE","2010","Dining Facilty","TOAamount","Base",NA,NA,2100,NA
"7727",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","JOYCE","2010","Waste Management Area","TOAamount","Base",NA,NA,5600,NA
"7728",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","ALTIMUR","2010","DINING FACILITY","TOAamount","Base",NA,NA,2150,NA
"7729",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","ALTIMUR","2010","Waste Management Area","TOAamount","Base",NA,NA,5600,NA
"7730",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","TARIN KOWT","2010","DINING FACILITY","TOAamount","Base",NA,NA,2200,NA
"7731",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","TARIN KOWT","2010","Fuel System, Ph 2","TOAamount","Base",NA,NA,11800,NA
"7732",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","TARIN KOWT","2010","Waste Management Area","TOAamount","Base",NA,NA,6800,NA
"7733",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","DEPOT & ARSENAL AMMUNITION STORAGE","TARIN KOWT","2010","Ammunition Supply Point","TOAamount","Base",NA,NA,35000,NA
"7734",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","AIRBORNE","2010","Dining Facility","TOAamount","Base",NA,NA,2200,NA
"7735",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","AIRBORNE","2010","Waste Management Area","TOAamount","Base",NA,NA,5600,NA
"7736",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","WOLVERINE","2010","DINING FACILITY","TOAamount","Base",NA,NA,4350,NA
"7737",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","WOLVERINE","2010","Fuel System, Ph 1","TOAamount","Base",NA,NA,5800,NA
"7738",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","WOLVERINE","2010","Waste Management Complex","TOAamount","Base",NA,NA,6900,NA
"7739",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","DWYER","2010","Fuel System, Ph 1","TOAamount","Base",NA,NA,5800,NA
"7740",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","DWYER","2010","Waste Management Complex","TOAamount","Base",NA,NA,6900,NA
"7741",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","DWYER","2010","DINING FACILITY","TOAamount","Base",NA,NA,6600,NA
"7742",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","DWYER","2010","Fuel Storage System","TOAamount","Base",NA,NA,13600,NA
"7743",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","SALERNO","2010","Waste Management Complex","TOAamount","Base",NA,NA,5500,NA
"7744",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ELECTRIC POWER SOURCE","SALERNO","2010","Electrical Distribution Grid","TOAamount","Base",NA,NA,2600,NA
"7745",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","SALERNO","2010","Fuel System, Ph 1","TOAamount","Base",NA,NA,12800,NA
"7746",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","SALERNO","2010","DINING FACILITY","TOAamount","Base",NA,NA,4300,NA
"7747",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD RUNWAYS","SALERNO","2010","Runway Upgrade","TOAamount","Base",NA,NA,25000,NA
"7748",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","ASADABAD","2010","Waste Management Area","TOAamount","Base",NA,NA,5500,NA
"7749",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","BOSTICK","2010","Waste Management Area","TOAamount","Base",NA,NA,5500,NA
"7750",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","METHAR-LAM","2010","Waste Management Area","TOAamount","Base",NA,NA,4150,NA
"7751",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD RUNWAYS","GARDEZ","2010","Tactical Runway","TOAamount","Base",NA,NA,28000,NA
"7752",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","GARDEZ","2010","DINING FACILITY","TOAamount","Base",NA,NA,2200,NA
"7753",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","GARDEZ","2010","Fuel System, Ph 1","TOAamount","Base",NA,NA,6000,NA
"7754",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","FRONTENAC","2010","DINING FACILITY","TOAamount","Base",NA,NA,2200,NA
"7755",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","BLESSING","2010","Waste Management Area","TOAamount","Base",NA,NA,5600,NA
"7756",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","UNACCOM PERSONNEL HOUSING MESS FAC","JALALABAD","2010","DINING FACILITY","TOAamount","Base",NA,NA,4350,NA
"7757",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","DEPOT & ARSENAL AMMUNITION STORAGE","JALALABAD","2010","Ammunition Supply Point","TOAamount","Base",NA,NA,35000,NA
"7758",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","JALALABAD","2010","Perimeter Fence","TOAamount","Base",NA,NA,2050,NA
"7759",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","REFUSE & GARBAGE FAC","DELARAM","2010","Waste Management Complex","TOAamount","Base",NA,NA,5600,NA
"7760",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","BULK LIQUID FUEL STORAGE","DELARAM","2010","Fuel Storage & Distribution System","TOAamount","Base",NA,NA,16500,NA
"7761",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","GROUNDS FENCING, GATES, & GUARD TOWERS","KUNDUZ","2010","Perimeter Fence and Guard Towers","TOAamount","Base",NA,NA,10400,NA
"7762",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","AIRFIELD APRONS","KUNDUZ","2010","Rotary Wing Apron","TOAamount","Base",NA,NA,26000,NA
"7763",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AF","AFGHANISTAN","GROUNDS FENCING, GATES, & GUARD TOWERS","MAZAR E SHARIF","2010","Perimeter Fence and Guard Towers","TOAamount","Base",NA,NA,10400,NA
"7764",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","TRAINING FACILITIES OTHER THAN BUILDINGS","FORT RICHARDSON","2010","Airborne Sustainment Training Complex","TOAamount","Base",NA,NA,6100,NA
"7765",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","AIRFIELD OPERATIONAL BUILDINGS","FORT RICHARDSON","2010","Training Aids Center","TOAamount","Base",NA,NA,2050,NA
"7766",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","TRAINING RANGES","FORT RICHARDSON","2010","Combat Pistol Range","TOAamount","Base",NA,NA,4900,NA
"7767",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","FORT RICHARDSON","2010","Warrior in Transition Complex","TOAamount","Base",NA,NA,43000,NA
"7768",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","RAILROAD TRACKS","FORT WAINWRIGHT","2010","Railhead Complex","TOAamount","Base",NA,NA,26000,NA
"7769",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","AIRFIELD OPERATIONAL BUILDINGS","FORT WAINWRIGHT","2010","Aviation Unit Operations Complex","TOAamount","Base",NA,NA,19000,NA
"7770",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","FORT WAINWRIGHT","2010","Aviation Task Force Complex, Ph 1","TOAamount","Base",NA,NA,95000,NA
"7771",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AK","ALASKA","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","FORT WAINWRIGHT","2010","Warrior in Transition Complex","TOAamount","Base",NA,NA,28000,NA
"7772",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AL","ALABAMA","ELECTRIC POWER TRANSMISSION & DIST LINES","ANNISTON ARMY DEPOT","2010","Underground Electric Lines","TOAamount","Base",NA,NA,3300,NA
"7773",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AL","ALABAMA","AIRFIELD OPERATIONAL BUILDINGS","REDSTONE ARSENAL","2010","Gate 7 Access Control Point","TOAamount","Base",NA,NA,3550,NA
"7774",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AR","ARKANSAS","DEPOT & ARSENAL AMMUNITION STORAGE","PINE BLUFF ARSENAL","2010","Fuse & Detonator Magazine, Depot Level","TOAamount","Base",NA,NA,25000,NA
"7775",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AZ","ARIZONA","SAFETY, DISP, & REHAB FAC","FORT HUACHUCA","2010","Fire Station","TOAamount","Base",NA,NA,6700,NA
"7776",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AZ","ARIZONA","TRAINING BUILDINGS","FORT HUACHUCA","2010","UAV ER/MPEr/Mp","TOAamount","Base",NA,NA,15000,NA
"7777",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","AZ","ARIZONA","AIRFIELD OPERATIONAL BUILDINGS","FORT HUACHUCA","2010","Battalion Headquarters Uav","TOAamount","Base",NA,NA,6000,NA
"7778",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","BE","BELGIUM","ADMIN BLDGS","BRUSSELS","2010","NATO SOF Operational Support","TOAamount","Base",NA,NA,20000,NA
"7779",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CA","CALIFORNIA","TRAINING RANGES","FORT IRWIN","2010","MOUT Assault Course, Ph 4","TOAamount","Base",NA,NA,9500,NA
"7780",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","AIRFIELD OPERATIONAL BUILDINGS","FORT CARSON, COLORADO","2010","Training Aids Center","TOAamount","Base",NA,NA,18500,NA
"7781",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","FORT CARSON, COLORADO","2010","Brigade Complex","TOAamount","Base",NA,NA,69000,NA
"7782",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","RAILROAD TRACKS","FORT CARSON, COLORADO","2010","Railroad Tracks","TOAamount","Base",NA,NA,14000,NA
"7783",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","ENLISTED PERSONNEL UNACCOMPANIED PERSONNEL HOUSING","FORT CARSON, COLORADO","2010","Warrior in Transition (WT) Complex","TOAamount","Base",NA,NA,56000,NA
"7784",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","TRAINING RANGES","FORT CARSON, COLORADO","2010","Automated Qualification Training Range","TOAamount","Base",NA,NA,11000,NA
"7785",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","TRAINING RANGES","FORT CARSON, COLORADO","2010","Modified Record Fire Range","TOAamount","Base",NA,NA,4450,NA
"7786",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","TRAINING RANGES","FORT CARSON, COLORADO","2010","Automated Multipurpose Machine Gun Range","TOAamount","Base",NA,NA,7400,NA
"7787",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","TRAINING RANGES","FORT CARSON, COLORADO","2010","Scout/RECCE Gunnery Complex","TOAamount","Base",NA,NA,16000,NA
"7788",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","TRAINING RANGES","FORT CARSON, COLORADO","2010","Urban Assault Course","TOAamount","Base",NA,NA,3100,NA
"7789",2012,"2050A","2050","A","Milcon, A","ARMY","01","MAJOR CONSTRUCTION","CO","COLORADO","TRAINING FACILITIES OTHER THAN BUILDINGS","FORT CARSON, COLORADO","2010","Convoy Live Fire Range","TOAamount","Base",NA,NA,6500,NA
