"","Contract Number","Military
Department","Contract
Type","Days From Award
To Qualifying
Proposal*","Days from
Qualifying
Proposal To
Definitization","Days from Award
to Definitization","Obligation At
Definitization
(in Millions)","IDVpiid","PIID","CSIScontractID","Action_Obligation_Then_Year","IsClosed","IsTerminated","LastCurrentCompletionDate","MinOfSignedDate","MaxBoostDate","MinOfEffectiveDate","IsParentCSIScontractID","StartFiscal_Year","IsComplete","topContractingOfficeAgencyID","topContractingOfficeID","topProductOrServiceCode","topPrincipalNAICScode","Pricing_Mechanism_Code","UnmodifiedTypeOfContractPricing","IsLabeledPricing","UCA","Action_Obligation_OMB20_GDP18","DaysToDefinitize","qToDefinitize","ObligatedAmountIsUCA_Then_Year","Customer","SubCustomer","UnmodifiedNumberOfOffersReceived","UnmodifiedIsFullAndOpen","UnmodifiedIsSomeCompetition","UnmodifiedIsOnlyOneSource","UnmodifiedIsFollowonToCompetedAction","UnmodifiedIsUrgency","Unmodifiedmultipleorsingleawardidc","unmodifiedaward_type_code","unmodifiedidv_type_code","NumberOfOffersReceived","IsFullAndOpen","IsSomeCompetition","ObligatedAmountIsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","IsUrgency","IsIDV","multipleorsingleawardidc","Award_Type_Code","IDV_Type_Code","Veh","ObligatedAmountIsUCA_OMB20_GDP18","IsUCA","UnmodifiedIsUCA","ObligatedAmountIsUCA","MinOfChangeOrderDate","MinOfDefinitizeDate","MinOfNotUCA"
"70","W31P4Q-16-C-0028","Army","FFP",0,221,221,35,"","W31P4Q16C0028",66913858,114181049,0,0,2019-12-31 00:00:00,2015-12-21,2018-07-25,2016-01-01,0,2016,0,"2100","W31P4Q","5998","335999","J","J",1,"UCA",107677337.797058,221.958333333333,"[~7 months-~1 year]",35017089,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",33022528.2912109,NA,1,35017089,2017-05-25,2016-07-29,2016-02-03
"71","FA8807-08-C-0010","Air Force","FFP/CP",134,84,218,31.4,"","FA880708C0010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","FA8621-13-C-6323","Air Force","FFP",0,217,217,5.5,"","FA862113C6323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","W56HZV-14-C-0054","Army","FFP/CP",35,181,216,32.5,"","W56HZV14C0054",27381038,92052069.1407,0,0,2017-01-31 00:00:00,2014-01-31,2016-11-09,2014-01-31,NA,2014,1,"2100","W56HZV","2350","336992","J","J",1,"UCA",88673604.7979,234.958333333333,"[~7 months-~1 year]",61604339,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",59343357.0946922,NA,1,61604339,NA,2014-09-22,2014-05-14
"74","N00024-09-C-5111","Navy","FFP",0,216,216,93.9,"","N0002409C5111",2964531,335173963.2031,0,0,2017-09-30 00:00:00,2009-09-23,2018-09-07,2009-09-23,NA,2009,1,"1700","N00024","1260","335929",NA,NA,1,"UCA",351335391.198218,335,"[~7 months-~1 year]",216554234,"Defense","Navy",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",226996052.410901,NA,1,216554234,NA,2010-08-23,2010-08-27
"75","N00019-12-C-0059","Navy","FFP/CP",92,113,205,187.8,"","N0001912C0059",2961731,406735942.22,0,0,2018-05-31 00:00:00,2012-04-23,2019-09-30,2012-04-23,0,2012,1,"1700","N00019","AC15","541712",NA,NA,1,"UCA",406735942.22,206.041666666667,"[~2 months,~7 months)",191410499.96,"Defense","Navy",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",191410499.96,NA,1,191410499.96,2012-08-30,2012-11-14,2012-07-03
"76","W31P4Q-17-C-0193","Army","FFP/CP",124,80,204,22.5,"","W31P4Q17C0193",71600060,84883664.3907,0,0,2020-09-30 12:09:00,2017-09-27,2019-09-25,2017-09-27,0,2017,0,"2100","W31P4Q","1410","336414","J","J",1,"UCA",78625105.956558,206,"[~2 months,~7 months)",57162011,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",52947398.1104113,NA,1,57162011,2019-07-05,2018-04-20,2017-12-06
"77","N00019-15-G-0026 DO 0502","Navy","CP",89,113,202,10.5,"N0001915G0026","502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","FA8726-18-C-0007","Air Force","CP",60,136,196,63.1,"","FA872618C0007",72127937,92367461.25,0,0,2020-08-26 00:00:00,2017-12-19,2019-09-30,2017-12-19,0,2018,0,NA,NA,NA,NA,NA,NA,1,"UCA",83742031.9582956,297.958333333333,"[~7 months-~1 year]",17201370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15595077.0625567,NA,1,17201370,2019-03-29,2018-10-12,2018-03-01
"79","FA8807-10-C-0001","Air Force","CP",0,194,194,24.9,"","FA880710C0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","W56HZV-16-C-0047","Army","FFP",108,84,192,15.9,"","W56HZV16C0047",66917229,72802301.375,0,0,2018-12-29 12:12:00,2015-12-15,2017-12-27,2015-12-15,0,2016,1,"2100","W56HZV","2815","333618","J","J",1,"UCA",68655508.6523953,192.958333333333,"[~2 months,~7 months)",23012595.5,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",21701806.3938137,NA,1,23012595.5,2017-12-19,2016-06-24,2016-03-01
"81","N00019-11-C-0061","Navy","FFP",0,192,192,27.8,"","N0001911C0061",2961653,181140791.7305,0,0,2014-03-31 00:00:00,2011-05-31,2013-08-15,2011-05-31,NA,2011,1,"1700","N00019","L015","541990","J","J",1,"UCA",184573865.631241,120,"[~2 months,~7 months)",56198401.75,"Defense","Navy",1,0,0,0,0,1,NA,"D",NA,1,0,0,NA,0,0,1,"fed_uca/Pur",NA,"D",NA,"Def/Pur",57263502.9040147,NA,1,56198401.75,NA,NA,2011-09-27
"82","FA8620-11-G-4025 DO 1640","Air Force","FFP/CP",0,186,186,72.5,"FA862011G4025","1640",63009381,72054516.5468,0,0,2017-04-18 00:00:00,2016-03-18,2016-09-20,2016-03-18,NA,2016,1,"5700","FA8620","J015","336413",NA,NA,1,"UCA",67950317.3772161,187,"[~2 months,~7 months)",66211026,"Defense","Air Force",1,0,0,0,0,0,"SINGLE AWARD","C","D",1,0,0,NA,0,0,0,"IDV","SINGLE AWARD","C","D","BPA/BOA",62439669.9358733,NA,1,66211026,NA,2016-09-20,2016-06-02
"83","FA8726-09-C-0010","Air Force","CP",36,149,185,133.1,"","FA872609C0010",1424837,1578642295.0346,0,0,2018-02-02 00:00:00,2009-06-24,2018-06-08,2009-06-24,0,2009,1,"5700","FA8726","AC64","334419",NA,NA,1,"UCA",1654761315.5499,496,"(~1 year,~2 years]",336780667.5,"Defense","Air Force",1,0,NA,0,0,1,NA,"D",NA,1,0,NA,150056757.98,0,0,1,"fed_uca/Pur",NA,"D",NA,"Def/Pur",353019567.610063,NA,1,336780667.5,2010-08-31,2010-11-01,2009-07-29
"84","N00024-05-C-5346","Navy","CP",42,140,182,6.7,"","N0002405C5346",2963497,5670343612.2703,0,0,2019-09-29 00:00:00,2005-05-25,2019-09-23,2005-05-25,0,2005,0,"1700","N00024","AJ43","541330",NA,"R",1,"UCA",6505671881.90718,308.041666666667,"[~7 months-~1 year]",5186431691,"Defense","Navy",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",5950472339.37586,NA,1,5186431691,2006-03-28,2006-03-28,2009-12-04
"85","N00019-12-C-0074","Navy","FFP",34,148,182,24,"","N0001912C0074",2961740,83460792.7328,0,0,2018-08-31 00:00:00,2012-03-28,2017-12-29,2012-03-28,0,2012,1,"1700","N00019","5865","334511","J","J",1,"UCA",83460792.7328,183,"[~2 months,~7 months)",46059323.6,"Defense","Navy",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",46059323.6,NA,1,46059323.6,NA,2012-09-26,2013-02-27
"86","N00019-12-D-0009 DO 0004","Navy","FFP",169,11,180,29.7,"N0001912D0009","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","N00019-12-D-0011 DO 0007","Navy","FFP",65,115,180,27.7,"N0001912D0011","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","W56HZV-12-C-0344","Army","FFP",43,132,175,61,"","W56HZV12C0344",7977832,1067014154.6441,0,0,2023-02-28 12:02:00,2012-07-30,2019-09-19,2012-07-30,0,2012,0,"2100","W56HZV","2835","336992","J","J",1,"UCA",1067014154.6441,305,"[~7 months-~1 year]",98945492,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",98945492,NA,1,98945492,2014-12-16,2013-05-30,2012-10-01
"89","FA8823-17-C-0001","Air Force","FFP",0,173,173,20,"","FA882317C0001",69417798,70846208.3125,0,0,2019-12-31 00:00:00,2016-12-28,2019-07-12,2017-01-01,0,2017,0,"5700","FA8823","R425","517919",NA,NA,1,"UCA",65622645.7136903,177.958333333333,"[~2 months,~7 months)",11104708,"Defense","Air Force",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",10285946.6469063,NA,1,11104708,NA,2017-06-23,2017-04-27
"90","FA8611-08-C-2897","Air Force","CP",49,123,172,44.2,"","FA861108C2897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","FA8730-16-C-0015","Air Force","CP",11,161,172,10.3,"","FA873016C0015",65610641,50819882,0,0,2018-01-31 00:00:00,2016-03-24,2017-10-20,2016-03-24,NA,2016,1,"5700","FA8730","5841","334511","U","U",1,"UCA",47925199.9245568,173,"[~2 months,~7 months)",7500000,"Defense","Air Force",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",7072802.71595624,NA,1,7500000,NA,2016-09-12,2016-07-20
"92","N00019-10-G-0004","Navy","FFP/CP",29,141,170,15.6,"","N0001910G0004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","FA8726-09-C-0010","Air Force","CP",74,93,167,5.2,"","FA872609C0010",1424837,1578642295.0346,0,0,2018-02-02 00:00:00,2009-06-24,2018-06-08,2009-06-24,0,2009,1,"5700","FA8726","AC64","334419",NA,NA,1,"UCA",1654761315.5499,496,"(~1 year,~2 years]",336780667.5,"Defense","Air Force",1,0,NA,0,0,1,NA,"D",NA,1,0,NA,150056757.98,0,0,1,"fed_uca/Pur",NA,"D",NA,"Def/Pur",353019567.610063,NA,1,336780667.5,2010-08-31,2010-11-01,2009-07-29
"94","FA8808-17-C-0001","Air Force","FFP",25,141,166,9.5,"","FA880817C0001",69417753,9525935,0,0,2019-12-31 00:00:00,2017-07-07,2017-12-20,2017-07-07,0,2017,0,"5700","FA8808","1675","334220","J","J",1,"UCA",8823578.17710263,260,"[~7 months-~1 year]",9525935,"Defense","Air Force",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",8823578.17710263,NA,1,9525935,2018-03-23,NA,2018-03-23
"95","FA8611-08-C-2897","Air Force","FFP/CP",0,161,161,559.6,"","FA861108C2897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","FA8726-09-C-0010","Air Force","CP",0,157,157,120.8,"","FA872609C0010",1424837,1578642295.0346,0,0,2018-02-02 00:00:00,2009-06-24,2018-06-08,2009-06-24,0,2009,1,"5700","FA8726","AC64","334419",NA,NA,1,"UCA",1654761315.5499,496,"(~1 year,~2 years]",336780667.5,"Defense","Air Force",1,0,NA,0,0,1,NA,"D",NA,1,0,NA,150056757.98,0,0,1,"fed_uca/Pur",NA,"D",NA,"Def/Pur",353019567.610063,NA,1,336780667.5,2010-08-31,2010-11-01,2009-07-29
"97","FA8730-17-F-0015","Air Force","CP",82,70,152,12.4,"","FA873017F0015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","FA8621-13-C-6323","Air Force","FFP",53,95,148,5.8,"","FA862113C6323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","FA8726-17-C-0004","Air Force","FFP",70,77,147,32,"","FA872617C0004",69416597,32012558.5938,0,0,2019-01-04 00:00:00,2017-05-03,2017-09-26,2017-05-03,0,2017,1,"5700","FA8726","1510","334419",NA,NA,1,"UCA",29652240.2684328,140,"[~2 months,~7 months)",10759076,"Defense","Air Force",1,0,0,0,0,1,NA,"D",NA,1,0,0,NA,0,0,1,"fed_uca/Pur",NA,"D",NA,"Def/Pur",9965798.4438681,NA,1,10759076,NA,2017-09-19,2017-05-25
"100","FA8730-16-C-0016","Air Force","CP",11,133,144,10.2,"","FA873016C0016",65610642,66069810.0391,0,0,2019-11-27 00:00:00,2016-03-24,2019-09-26,2016-03-24,0,2016,0,"5700","FA8730","5841","334511",NA,NA,1,"UCA",62306497.5849679,145,"[~2 months,~7 months)",7500000,"Defense","Air Force",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",7072802.71595624,NA,1,7500000,NA,2016-08-15,2016-07-19
"101","FA8611-08-C-2897","Air Force","CP",0,126,126,584.4,"","FA861108C2897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","N00019-11-C-0036","Navy","CP",25,97,122,9,"","N0001911C0036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","FA8611-08-C-2897","Air Force","FFP",0,108,108,12.7,"","FA861108C2897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","FA8611-08-C-2896","Air Force","FFP/CP",0,108,108,221.3,"","FA861108C2896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","FA8611-08-C-2896","Air Force","FFP/CP",0,102,102,198.3,"","FA861108C2896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","FA8807-10-C-0001","Air Force","CP",0,97,97,26.7,"","FA880710C0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","W58RGZ-16-C-0030","Army","CP",48,44,92,25.1,"","W58RGZ16C0030",66918658,89044160.94,0,0,2020-09-30 12:09:00,2016-05-13,2019-01-22,2016-05-13,0,2016,0,"2100","W58RGZ","1095","541712","V","V",1,"UCA",83972237.7781969,93,"[~2 months,~7 months)",25090148,"Defense","Army",1,0,0,0,0,0,NA,"D",NA,1,0,0,NA,0,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",23661022.2557525,NA,1,25090148,2017-10-17,2016-08-13,2016-09-30
"108","F04701-02-D-0006 DO 239","Air Force","FFP",7,85,92,2.3,"F0470102D0006","239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","N00019-17-C-0024","Navy","CP",0,89,89,80,"","N0001917C0024",69862620,84176199,0,0,2020-04-27 00:00:00,2017-05-25,2019-09-26,2017-05-25,0,2017,0,"1700","N00019","1680","336411","V","V",1,"UCA",77969802.7047054,90,"[~2 months,~7 months)",40463152,"Defense","Navy",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",37479762.8751389,NA,1,40463152,2017-08-22,2017-08-22,2017-11-02
"110","FA8726-09-C-0010","Air Force","CP",42,46,88,4.5,"","FA872609C0010",1424837,1578642295.0346,0,0,2018-02-02 00:00:00,2009-06-24,2018-06-08,2009-06-24,0,2009,1,"5700","FA8726","AC64","334419",NA,NA,1,"UCA",1654761315.5499,496,"(~1 year,~2 years]",336780667.5,"Defense","Air Force",1,0,NA,0,0,1,NA,"D",NA,1,0,NA,150056757.98,0,0,1,"fed_uca/Pur",NA,"D",NA,"Def/Pur",353019567.610063,NA,1,336780667.5,2010-08-31,2010-11-01,2009-07-29
"111","W56HZV-12-C-0130","Army","FFP",0,85,85,17,"","W56HZV12C0130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","FA8625-12-C-6598","Air Force","FFP",0,83,83,304.3,"","FA862512C6598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","FA8730-16-C-0050","Air Force","FFP/CP",31,49,80,8.7,"","FA873016C0050",65610661,10130257.75,0,0,2017-11-30 00:00:00,2016-08-30,2017-01-03,2016-08-30,NA,2016,1,"5700","FA8730","1230","334310","J","J",1,"UCA",9553241.9370049,81.0416666666667,"[~2 months,~7 months)",4392371,"Defense","Air Force",1,0,0,0,0,1,NA,"D",NA,1,0,0,NA,0,0,1,"fed_uca/Pur",NA,"D",NA,"Def/Pur",4142183.13843832,NA,1,4392371,NA,2016-11-18,2016-10-07
"114","FA8808-10-C-0001","Air Force","FFP",0,80,80,21,"","FA880810C0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","FA8814-15-C-0006","Air Force","CP",22,30,52,7.7,"","FA881415C0006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","N00024-14-C-4411","Navy","FFP",0,48,48,37.5,"","N0002414C4411",27204029,44301290,0,0,2014-10-10 00:00:00,2014-01-21,2016-12-08,2014-01-21,NA,2014,1,"1700","N00024","J999","336611","J","J",1,"UCA",42675358.8286292,48.9583333333333,"[0 months,~2 months)",37527825,"Defense","Navy",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",36150491.2821501,NA,1,37527825,NA,2014-03-10,2014-04-03
